globalID_A,globalID_B
BL263402,BL245653
DR96172,DR96172
CW935955,CW935955
BH148364,BH148364
AP79283,AP79283
EH870816,EH870816
DN93603,EH431830
DE55589,DE55589
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
DR68908,DR68908
BL501956,BL501956
EH680633,EH680633
DX57928,DX57928
CW518629,CW518629
BY381420,BY430721
BE275934,BE275934
EH1013050,EH1013050
CW99478,CW99478
EH1074354,EH1074354
AL312812,AL312812
BN515859,BN515859
DD145581,DX40893
BD128610,BD128610
EH467363,EH467363
BH70011,BH70011
AL155807,AL155807
BE378062,BE378062
AN110068,DE11010
DW79972,DW79972
EH828746,EH828746
DL220647,DL244270
DT134409,DT134409
DX7689,DX7689
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
AG39148,AG39148
BR45261,BR45261
DE265301,DE265301
DE281454,DE281454
EH638865,EH638865
EH651093,EH651093
CH51923,CH51923
CW475722,CW1182829
DL198943,AS46613
BN419071,BN419071
DN94629,DN94629
DD12044,DD12044
DN160666,DN160666
AN27611,AN27611
DD202483,DD202483
BL385307,BL385307
BS6734,BS6734
BR178747,BR178747
BK14738,BK14738
BD137298,BD137298
AN4402,AN4402
CW776598,CW776598
BE23422,BE132075
BL497251,BL497251
DN94774,DN94774
DW36346,DW36346
CJ180866,CJ180866
DL127851,CW843609
CM52088,CM52088
BW56516,BW56516
EH1122420,EH1122420
BE363367,BE363367
ER17295,CP4198
CJ72768,CJ72768
EF73194,CB73432
CW27539,CW143256
AL246516,AL246516
CW976327,CW976327
EH385411,DE250807
CC102983,CC102983
BE298480,BE298480
BG50638,BG50638
CW1035390,CW1035390
CL31997,CL31997
CW1087095,CW1087095
CW824801,CW824801
BH184408,BH184408
BL142648,BL164487
AL228705,AL228705
AL120780,AL120780
DX39165,DX39165
EG51000,EG51000
DE220496,DE220496
CR9226,CR9226
AL199194,BL338665
EH866775,EH866775
EH768829,EH768829
DB153840,DB153840
EH1021621,EH1021621
AK97846,AK97846
BH76847,BH76847
DP23822,CW644799
BE367609,BE367609
EM6171,EM6171
CW949093,CW949093
EA44824,EA44824
EH641878,EL58969
ER28949,ER28949
CC63778,CC63778
EF208319,DD123069
BN418977,BN418977
DA36452,DA36452
AK142289,AK142289
AN66456,AN66456
AS63442,AS63442
AA59653,AA103068
DB259254,DB259254
EH1107194,EH1107194
DR89025,DR89025
AA150365,AA150365
AA146746,AA72466
CW855896,CW855896
CW142482,CW142482
EH864237,EH864237
BD138946,BD138946
BN412411,BN412411
DB242998,DB242998
AL50677,AL50677
AN144527,AN144527
DR94354,DR94354
EJ3049,EJ3049
AL191266,AL5494
BN306933,BN306933
EP102069,EP102069
DX53346,DX53346
DE198939,DE198939
EH1074535,EH1074535
CW733706,CW1097021
BL509977,BL509977
CW517755,CW347111
DB257443,DB257443
DB48890,DB48890
CW1207523,CW1207523
CW774113,CW774113
CW374336,CW374336
BE325615,BE325615
BN505632,BN505632
EM100317,EM100317
AS81868,AS81868
DZ13036,DZ13036
CW1178925,CW499931
AS83961,AS83961
AM83579,AM83579
DL232533,DL232533
AL109233,AL109233
CW138868,CW672046
BR128112,BR109620
BN325603,BN325603
BL283169,BL283169
EH570908,EH570908
DD149197,DD149197
BK44569,BK44569
CL54184,CL54184
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
BE159336,BE159336
EH1118629,EH1118629
DE71456,DE96499
AJ42900,AJ42900
BP43188,DA76812
CW889948,CW889948
CL48787,CB61784
BD103266,BD103266
EH757836,EH757836
BB98596,BB98596
EF18347,EF18347
BL455875,BL455875
BL508317,BL508317
EH957483,EH957483
AD2805,BR6704
EM27169,EM27169
DT142452,DT142452
CH53126,CH53126
CC141618,CC141618
BL405608,BL405608
CW122110,CW54931
EH770566,EH770566
DZ71015,DT64036
AX41776,AX41776
BY714645,BY714645
EH773803,EH773803
BR141334,BR141334
DB268170,BY483826
EH1116492,EH1116492
DA107842,DA107842
CN97014,CN97014
AN40864,AN40864
AW212216,AW212216
BL450963,BL450963
EM88867,EM88867
AN154371,AN154371
CW820495,CW820495
DB42558,DB42558
BE381483,BE381483
BN366675,BN121712
EP92296,EP92296
CW662372,CW662372
AW125487,AW125487
CW658012,CW658012
BN449562,BN449562
DE287233,DE326043
AE29558,AE29558
DK24814,BR174123
DB188586,DB188586
ER40003,DH54460
CW143256,CW143256
EH1126051,EH997946
CW883502,CW412811
BC68827,BC68827
DB260464,DB260464
BY677877,BY677877
EH895217,EH895217
EH395687,EH395687
DE300599,DE300599
CW1072015,CW1101312
CW826293,CW826293
DD178879,DD178879
AM77025,AM77025
EH157899,EH157899
AF5004,AF2122
AK34180,AK34180
CW299279,CW299279
EH572052,EH572052
AL27439,AL27439
CW847903,CW847903
EH171754,EH713403
CW1156618,CW1156618
BE53550,BE53550
EH825545,EH825545
CM34706,CM34706
CW809104,CW955472
CW30364,CW30364
CJ72265,CJ72265
DE291085,DE291085
BL363447,BL363447
DZ6946,DZ6946
CW1159872,CW1159872
DD147526,DD152420
BL206364,BL206364
BY391044,BY391044
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
BK43807,BK43807
BL493311,BL493311
DK34694,DK34694
ED37292,ED37292
BE339631,BE339631
CW745359,CW745359
CA66650,BY362021
CW78484,CW78484
EH683813,EH683813
EH976657,EH170713
EH155433,EA24598
AN153798,AN153798
EH194945,EH194945
DB296329,DB296329
BE403246,BE312417
BN315027,BN315027
BN456091,BN456091
EH732691,EH732691
CW630036,CW630036
BM26061,BM26061
CW120187,CW354406
EH1080847,EH1080847
DB58236,DB58236
BY548895,BY79082
CW843687,CW843687
CW728982,CW109670
BZ16025,BZ16025
DX61767,DX61767
AP77086,AP77086
EH47939,EH47939
BY637270,BY637270
DR129831,DR129831
BE435184,BE435184
AL60170,AL60170
DC18353,DC18353
EH609676,EH609676
BY492079,BY73814
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
BK49786,BK49786
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
CW845719,CW664745
CW774026,BB72755
DE290491,DE290491
CL62577,EH500654
BL162192,AP13404
DX48334,DX48334
CW104882,CW104882
BR222182,BR222182
CW102540,CW102540
EH770176,EH770176
AW93116,AW93116
DP24306,DP24306
CW225649,CW349195
BH51948,BH51948
DC6316,DC6316
EH1053611,EH1053611
EH827821,EH827821
CR26944,CR26944
CW910311,CW1092736
