globalID_A,globalID_B
CK5176,BZ10879
CW1055619,CW420485
AL132675,BE94031
BL263402,BL245653
BM22369,BM22369
DR96172,DR96172
CW799927,CW799927
BR107935,BR107935
CW876308,CW876308
CC74493,CC74493
AA138924,AA138924
CW819661,CW419689
EH1154213,EH1154213
CH36563,AL173589
BH137229,BH137229
EP29512,CZ28505
EH41064,BK10717
CW872988,CW872988
BC66583,BC66583
CW280837,CW280837
BG51026,BG51026
AN85314,AN214341
DB171510,DB171510
BC59414,DK40086
AL303170,AL303170
EF99933,EF99933
DB149771,DB169978
CP39084,CP39084
BH84333,CG37684
CW813802,CW813802
CW99478,CW99478
CW491583,DL115405
CW1122379,CW1122379
BR8783,BR8783
EH1074354,EH1074354
AL119535,AL87291
CW1258811,CW467725
CW727586,CW122703
DD145581,DX40893
AA189574,CW399851
CG35865,CC75864
EH868352,EH868352
EH694232,EL21583
EH637971,EH637971
EH1138041,DB182279
DB286659,DB60568
BW45817,BW45817
EH54636,EH188583
BE309090,BE309090
AL249025,AL249025
BE284336,BE456245
BH112284,BH88895
CW608300,CW608300
EL23028,CB52532
AW97330,AW97330
CW350114,CW1290228
DB262140,DB262140
BB101331,BR205142
CL38142,BY682517
BN184764,AD6058
CW1066928,CW1066928
CW379796,CW263319
BB95698,BB95698
AN110068,DE11010
CW958322,CW501481
EH225065,EH225065
BE187931,BE307040
DA55812,DA55812
BY557433,BY557433
BR45261,BR45261
BB55638,BB72493
DE270687,DE270687
BR132731,BR132731
BY543711,BH136593
BB89109,BB89109
EH681219,EH681219
EA32643,EA32643
DL223468,DL57250
CW475722,CW1182829
DL198943,AS46613
CW1121259,CW659406
AA158604,AA158604
AL177442,AL119853
CW368088,CW283513
AK21293,DL227027
DN61565,BB59852
DN35997,DN3746
CW733706,CW766653
EH321861,EH423288
BN451653,BN451653
CW707328,CW1361518
AS67129,BY3943
BR141116,BR141116
EH1142278,EH137689
DR7756,DR7756
CW119177,CW304074
BE8321,BE250862
DR46979,DR29611
CW845894,CW845894
CW765780,EH1156720
BC57897,BC57897
CW92175,CW59498
BN157081,BN15521
BL407395,BL407395
CJ83002,EP20684
CL22740,AC3148
DB9462,DB9462
ER17295,CP4198
AA207501,EA37018
CW298441,CW231025
DB124955,BH184479
BH21191,BH20338
DL129280,EH509927
DX13014,CX17061
AW84331,BH122081
AL246516,AL246516
DN90190,EF18229
EH385411,DE250807
CJ135591,CJ135591
CG12765,CG12765
CW348082,CW613187
BN406067,AA116976
AG36709,BR72621
DA43546,BM42959
CW252040,CW231806
DA73458,DL180915
CW199674,CW315477
BH184408,BH184408
BN8167,BN8167
EH19436,BL27952
