globalID_A,globalID_B
DD37260,CD11763
DB186674,DB186674
CJ140315,CJ140315
DH20458,DH20458
AK12554,AK12554
BP51944,BP51944
EH499774,EA32000
EH1067588,EH1067588
EH1150665,EH544597
CD19005,DD105207
EH1153059,EH109401
CC88093,CC88093
BL178388,BL138829
CW441887,CW272129
AB37048,CW798355
CW319145,CW974765
BZ49396,BZ49396
BE221549,BE221549
DB60959,DB60959
CW185427,CW257892
CW1033457,CW495026
CW506197,CW1363278
CW485458,CW796355
CC145306,BP19213
BE346828,BE399495
DX57928,DX57928
CW164756,CW268445
CW789903,CW789903
CH54839,CW381067
EH831109,EH831109
CL49159,CL49159
EH710463,EH553334
DT33249,DT33249
BY20690,BY322748
CW762165,CW172263
CW573430,CW573430
CG160762,EH764246
AL57748,AL106065
BL317389,BL317389
CW686133,BZ36519
CW676989,CW378060
DS107356,DS68139
BL101080,BL101080
BL349410,BL349410
BY26738,BY276493
CW489947,CW489947
CW625203,CW507995
BD128610,BD128610
DE212083,DE212083
EH467363,EH467363
EH642364,EH642364
DR56090,DL95209
EF105095,EF105095
AL155807,AL155807
AP55497,AP55497
AA137785,EH963597
AP85952,AP49126
EH401556,EH401556
EH285265,EH316924
CW488975,EH646111
AL100628,AL100628
DT106904,AN168168
CW710812,CW602202
DE183133,DE117426
AE16597,CN45217
BJ29318,BJ29318
CW641753,BL250794
BY266127,BL259145
BY609463,BY20014
BL217345,EH230527
CL49610,BN293437
BY431141,BY423471
EF154436,CA61478
BY361026,BY361026
BK10331,CW184004
DA66105,CH47173
CW550293,CW939193
CW362921,CW720353
CG114255,CG114255
BS6734,BS6734
DL93775,DL93775
CW682124,CW533290
CW466998,CW261874
CW1200617,CW1200617
CW141759,CW1352414
CW502900,CW184635
CW248898,CW214690
CW776598,CW776598
BD89443,BD89443
DR97753,DR97753
EH186317,EH363741
EH489266,DE269401
CJ32494,BH86355
DE101033,EH485166
CW721965,CW223304
EH238733,EH173606
AX71812,AX71812
EH280124,EH230527
CW517873,CW1292564
BE283515,BE283515
EB69142,EN35127
DE177691,BH117188
DB182074,DB182074
CW1010123,CW1010123
DE113618,DE164778
EP71685,EP71685
BN449928,BN347194
DN34588,AP73094
AL254970,AL99280
CA66987,BR51277
CW498346,CW491199
CW588692,CW443533
AA113631,BY327461
DE113391,BE208676
BN304492,BN343511
EH752482,AM11426
CW655811,CW199905
CW771660,CW771660
CW824801,CW824801
EA41434,BY463912
AF12193,DN72617
CW637663,CW648514
DA77505,DH43701
BN553104,CJ131524
CA30275,EL13836
BL245904,CA144046
DP13353,DP13353
CW685262,CW645988
CC29635,CZ69648
BW26876,BW26876
ES18690,ES18690
CW708148,CW670215
BN359783,BN214072
AE14506,AE14506
CW937975,CW255991
EH413244,EH413244
CW705410,CW705410
CW434591,CW891410
DL180540,DL180540
BY378905,DD127318
EH543584,DD190605
BZ69598,BZ69598
CW577084,CW1070675
EH458323,DE218898
BL476954,BY377296
AN183167,AN183167
CW419165,CW181469
CW383679,CW383679
EH346486,EH1008306
CW723675,CW735197
CW908668,CW879595
CW371220,CW740380
AL205310,DK21684
CW531621,CW385872
CW702002,CW303830
BB51760,BB51760
CW901299,CW873079
CG64654,CG64654
EH917169,EH917169
DL247273,EP30087
CW599171,CW599171
BN240634,DE86624
CW211852,CW135387
BL415979,BL415979
AP62415,AP62415
EH787662,EH787662
CW1035413,CW904682
DR89025,DR89025
EH843267,EH843267
DL146308,DB67018
CT30695,AL112656
CW1365817,EH365510
BY318377,BY74731
CW424565,CW795339
CW405610,CW847594
BN231639,EP36395
DB242998,DB242998
AL78362,EF106228
DB177108,DB134203
CW336746,CW731041
DC18333,DC18333
AL153239,AL237647
DR94354,DR94354
DL160478,DL160478
BL231586,DL90739
CW818789,CW339221
AA108645,AA75847
DE198939,DE198939
DT57437,DT108446
CW485458,CW643944
DD177498,DD177498
CW248898,CW725852
BE314225,BE314225
CW565706,CW292258
DE87704,DE139900
CW939815,CW939815
BL127802,DN72617
EL14853,EL74827
CW517755,CW347111
EH415605,EH693104
CW486577,CW807585
CZ110535,CX3361
BN123448,BN182206
DB235761,AG35227
BE320842,CW503045
CW525138,CW603679
DD123325,DD123325
EH798997,EH798997
CW495550,CW495550
EH1204208,EH1204208
BM52167,BM52167
CJ80670,CW798355
DR61228,DR61228
CB69298,CB69298
DB150145,DS68139
CW317430,EH402324
BB69133,BB69133
CW539401,CW876823
AM83579,AM83579
CW412941,CW305757
CW291751,CW496044
BE326289,BE309136
AL222836,AL222836
AL109233,AL109233
DB237192,DB237192
EH816468,DD83657
BL283169,BL283169
DR119640,DA55837
DB124646,DB88871
EL19501,EL19501
DB99269,DB99269
AN128412,AN128412
DD71502,DD37174
DA87354,BM58816
EH480837,EH480837
BW35601,BW35601
CJ165257,BE101888
BH154496,BH60758
BE355183,BE355183
CG71177,CG71177
CW566646,CW232303
DN46205,DN46205
CW640239,CW558867
AM96385,DB95918
BH117462,BH117462
BL252678,EH591988
DT131303,DX14528
EH980721,EH324677
CW554093,CW477513
CN59157,CN59157
CW666979,CW854616
CW517329,CW1031628
DT132527,DT132527
DT74242,DT60292
CW611143,CW744108
BL478361,BL478361
CL39785,AR14474
EH999082,EH999082
EH429287,EH389255
CW285620,CW276423
CD21638,CD21638
AK62234,AK62234
BN140681,BN172043
EH889283,BL251846
CW755752,CW1060587
CW242741,CW649163
CW1013468,CJ131524
DX34882,EH682071
BN388920,BN388920
CW824733,CW456450
EH1027469,EH1027469
DB229704,DB229704
DT113255,DT64464
CW178221,CW1245881
BN268455,BN268455
BN366675,BN121712
EP92296,EP92296
EH115074,EH348526
AL204345,AL247242
DW37791,AW85892
EH472020,EH312566
CJ70833,CJ136989
BN449562,BN449562
BY567831,BY463738
CA47201,CA60338
AW61330,AP78767
BL356985,CJ130292
EH423159,EH480947
CW1053962,AN132266
EH703951,EH305177
AK141045,CC77739
AA160300,AA160300
EF141831,EH780233
BN472754,BN256559
CH54371,CH54371
DL173993,DL173993
EH828480,EH500913
AE6565,ED25156
EH87825,EH447427
EH765373,DS68139
CW378670,CW521007
CG100874,CG81509
BY544151,BY540092
EH963694,EH783747
CE25463,EH360423
DN127662,DN71557
EH486030,EH807770
DB189161,DB114728
BY677877,BY677877
CW1072015,CW1101312
BK38167,BK38167
CW1138267,CW610178
CW397352,CW432710
AM77025,AM77025
BY509305,BY691967
EH735396,EH735396
BL112816,CW418177
BE306421,BE232273
BY460800,BY449120
CW595863,CW212963
CW697313,CW227960
CW423343,CW360094
EH397519,DK16057
CW637095,CW305052
CW667191,CW488760
EP60019,EP60019
DL88121,DL88121
CW1156618,CW1156618
DB193137,DB110208
CW800133,CW329900
CW218115,CW204908
CJ72265,CJ72265
BH155653,BH124128
DB96636,DB110391
CW622777,CW522188
DA95157,DA95157
CW634988,CW478823
EG37827,EG37827
CB61283,CB61283
EH961360,EL36247
EH508824,EH478943
EA31499,EA31499
CW954145,CW479567
EH506488,EH759181
EM109928,EH1109327
DA87354,EB45789
CW533847,CW550719
DD103882,DD103882
DX44797,DX44797
EA32260,EA32260
EH1090476,EH395992
EH608519,EH608519
DA92413,BH157768
BY715818,BY220267
EF90180,EF185093
EH1038050,CJ192373
BW25266,BW25266
AG50829,AG50829
CW971741,CW1083150
CW662442,CW217850
CW499115,CW547767
EF59548,EF59548
CW574525,CW384670
CW840379,CW476273
CW460352,CW371987
EH1080847,EH1080847
DB58236,DB58236
BY548895,BY79082
CW356742,CW356742
BY23712,AL214411
CW947585,CW377484
CG121913,CG121913
BL217511,CZ63532
CW908668,AM11426
EH676087,EH676087
CW365024,CW1373697
EL46925,EL46925
CW175376,CW540599
CW981224,CW981224
AM80778,EH262857
DC18353,DC18353
AG30207,AG30207
EM16904,EM16904
EH821470,EH821470
CW322984,CW873496
EH739440,EH1007808
CW967356,CW657451
BL382944,BL382944
AM60913,EH385417
DL198943,AS99480
CW273810,CW731041
EH816468,EH755293
EH478532,CW947489
EH881415,EH547971
AZ15984,AZ15984
DJ11514,DJ11514
EF100089,EF100089
DS41188,DS41188
EF153124,AD22726
AL324156,BE170604
EH151548,BR231932
BR98178,BR98178
CW223222,CW142777
DS59973,DS52778
CA88435,CW675918
EH827821,EH827821
EH419376,EM58262
CY29047,CY29047
DA92413,AP13711
CW694815,CW118400
EH876337,EH836091
EF141831,AN52777
BY325433,DB171625
CW365697,CW365697
CW482214,EF120086
EH907959,EH907959
BH102187,BH102187
BN477275,BN477275
CZ111303,CZ111303
EF39677,CW1054092
BT5608,BT5608
CG60641,CW509829
BN361632,DE115161
CC79113,CC66439
EH276029,EH343422
CW909027,CW452680
ES11956,EH195658
BL329991,BH84925
CW1064046,CW1064046
CW423771,CW939193
CW785723,CW489574
EH462165,EH593022
CW777503,CW658760
BY539940,BY377296
BY42901,BY270034
CW218122,DS39544
DW45304,DW45304
EH902556,EH382678
EH494621,DD216114
CW322824,CW638169
BY243803,BY744489
CW491583,CW340774
CW1284428,CW481610
CW574899,CW305052
CW890098,CW306197
CW867867,CW321956
BY457731,BY457731
CW1157030,CW716511
DB279539,DB279539
BM54714,AN98663
BY573452,BY402353
BZ43400,BZ43400
DW51407,DW79993
CW440555,CW440555
AA111784,AA111784
EH565427,AG30921
EH864495,EH310964
EH823504,EH823504
CW946124,CW946124
BE379566,BE379566
AB41679,CG13355
ES11956,AJ16046
DT141459,DT141459
EH339108,EH189802
DN73518,DN120497
BL241341,BL271131
BC28591,BC28591
BE281634,BE281634
EH1189737,EH1017284
BY663989,BY457954
ER22595,ER22595
AL90080,BD116970
ER28767,ER28767
BN156971,BN156971
EH580319,EH1210225
CW130305,CW227634
CW1154130,CW917853
BN384681,CG46467
CW421441,CW345925
AL249688,DN90936
CW476309,CW177121
EP29526,AR11953
CW1321750,CW485123
DK28923,BL119194
EH1099215,EH1099215
CW404564,CW254744
CW675867,CW293012
AL249688,AL336292
BW48370,BW48370
CW190379,CW506824
BY387987,BY387987
CW920153,CW460898
