globalID_A,globalID_B
DD37260,CD11763
DB186674,DB186674
CJ140315,CJ140315
DH20458,DH20458
AK12554,AK12554
DH44127,BY272701
BP51944,BP51944
EH1067588,EH1067588
EH1153059,EH109401
CC88093,CC88093
BL178388,BL138829
AB37048,CW798355
CW319145,CW974765
CW441751,DH24301
BZ49396,BZ49396
BE221549,BE221549
AB25016,AE17255
DB60959,DB60959
BL293491,BC42004
CW185427,CW257892
CW1033457,CW495026
CW506197,CW1363278
CW485458,CW796355
CC145306,BP19213
EL58895,BR209292
CC37539,CT16743
DX57928,DX57928
CW164756,CW268445
CW789903,CW789903
CJ44514,CJ44514
CH54839,CW381067
DL157732,DL157732
EH831109,EH831109
CL49159,CL49159
CW1024308,AW98653
DT33249,DT33249
BY20690,BY322748
CW762165,CW172263
CW573430,CW573430
AL57748,AL106065
BL317389,BL317389
CW686133,BZ36519
CW676989,CW378060
BL101080,BL101080
BL349410,BL349410
CW489947,CW489947
CW625203,CW507995
AA150286,DB114312
BD128610,BD128610
DE212083,DE212083
EH715264,EH372988
EH467363,EH467363
EH642364,EH642364
EF105095,EF105095
AL155807,AL155807
AP55497,AP55497
AA137785,EH963597
AP85952,AP49126
EH401556,EH401556
EH285265,EH316924
EH194386,CW515155
CW488975,EH646111
AL100628,AL100628
CW710812,CW602202
DE183133,DE117426
AE16597,CN45217
AH16932,DE116694
BJ29318,BJ29318
BY266127,BL259145
DW38541,AS52420
BY609463,BY20014
BN339855,CD26640
BL217345,EH230527
CL49610,BN293437
BY431141,BY423471
DB206031,DB115427
BY361026,BY361026
BK10331,CW184004
CW862954,CW759395
DB116579,BL440511
CG114255,CG114255
BS6734,BS6734
DL93775,DL93775
CW682124,CW533290
CW466998,CW261874
CW1200617,CW1200617
CW502900,CW184635
CW248898,CW214690
CW776598,CW776598
EH515748,DE218898
BD89443,BD89443
DR97753,DR97753
EH186317,EH363741
EH489266,DE269401
EH644076,EH644076
CJ32494,BH86355
DE101033,EH485166
EH149209,AY17041
CW721965,CW223304
AX71812,AX71812
EH280124,EH230527
CW517873,CW1292564
BE283515,BE283515
DE177691,BH117188
BB41978,AD7321
DB182074,DB182074
CW1010123,CW1010123
AM58238,DR73656
AN94738,AN221881
DE113618,DE164778
EP71685,EP71685
BN449928,BN347194
BE213183,BE46957
BY353127,BY102013
DN34588,AP73094
CJ35795,EL47655
EP47317,BR53634
AW111561,AN102929
AL254970,AL99280
CA66987,BR51277
DZ18814,EF211874
CW498346,CW491199
AE6565,CC116240
AA113631,BY327461
EH458323,DA50805
DE113391,BE208676
AY30004,BE269235
BN304492,BN343511
EH752482,AM11426
CW655811,CW199905
CW771660,CW771660
CW824801,CW824801
BL127802,DA10217
EH961360,CW899235
AF12193,DN72617
CW637663,CW648514
DA77505,DH43701
BN553104,CJ131524
DR117094,ED31576
BL245904,CA144046
DP13353,DP13353
EH495025,CZ63532
ES18690,ES18690
BN359783,BN214072
AE14506,AE14506
CW937975,CW255991
EH413244,EH413244
CW705410,CW705410
CW434591,CW891410
DL180540,DL180540
BY378905,DD127318
EH543584,DD190605
BZ69598,BZ69598
CW577084,CW1070675
EA41434,EH1013687
CW834715,CW404759
EH458323,DE218898
BL476954,BY377296
AN183167,AN183167
BN258016,BN258016
CW419165,CW181469
CW307393,CJ122849
EH408945,DE127957
CW383679,CW383679
EH346486,EH1008306
CW723675,CW735197
CW908668,CW879595
CW371220,CW740380
CW531621,CW385872
CG9390,CG110103
CW702002,CW303830
BB51760,BB51760
EH606989,EH430846
CW901299,CW873079
CG64654,CG64654
EH917169,EH917169
DL247273,EP30087
CW599171,CW599171
CW211852,CW135387
BL415979,BL415979
DN106812,EH285475
CW152277,CW232417
AP62415,AP62415
EH787662,EH787662
CW1035413,CW904682
DR89025,DR89025
EH843267,EH843267
DL146308,DB67018
AL232307,AL232307
EH442246,EH446697
BY318377,BY74731
CW424565,CW795339
BR130302,DZ53713
CZ35131,BR140089
CW405610,CW847594
DB242998,DB242998
AL78362,EF106228
DB177108,DB134203
CW336746,CW731041
DC18333,DC18333
AL153239,AL237647
DR94354,DR94354
DL160478,DL160478
CW818789,CW339221
CW485458,CW643944
DD177498,DD177498
BN433234,BN411064
CW248898,CW725852
BL226009,BL172011
CC143104,AL126049
BE314225,BE314225
DE87704,DE139900
CW939815,CW939815
BL127802,DN72617
BY662416,BH180809
EL14853,EL74827
CC93527,BN307998
CW517755,CW347111
CW719007,CW1104000
EH415605,EH693104
CW486577,CW807585
BN123448,BN182206
BE320842,CW503045
BL112012,BN133984
CW310825,CW690014
EH400546,EH502819
ES21395,AM85451
CW525138,CW603679
DD123325,DD123325
EH863439,EH280558
EH798997,EH798997
CW495550,CW495550
EH1204208,EH1204208
BM52167,BM52167
DE80194,CP44883
AW127609,BB72819
CJ80670,CW798355
CW577084,DB135677
DR61228,DR61228
EH414163,EH349219
CB69298,CB69298
DB150145,DS68139
CW317430,EH402324
CP31485,EF64304
CW539401,CW876823
AM83579,AM83579
CW412941,CW305757
BE326289,BE309136
AL222836,AL222836
AL109233,AL109233
DB237192,DB237192
EH806546,EH317452
CN21106,BS5426
CW573011,CW460645
DB124646,DB88871
EM105472,DT128532
EH802440,EH768800
EL19501,EL19501
DB99269,DB99269
AN128412,AN128412
EH510357,EH294466
EH1056862,BD95616
DD71502,DD37174
DA87354,BM58816
AE22873,CP44927
EH480837,EH480837
BW35601,BW35601
CJ165257,BE101888
BH154496,BH60758
BE355183,BE355183
CG71177,CG71177
CW566646,CW232303
BB57807,DT103481
DN46205,DN46205
CJ111091,BL266141
DE230305,AA87314
CW640239,CW558867
AM96385,DB95918
EF142715,BE101251
CW602922,CW602922
EH768845,EL32924
BH117462,BH117462
BY410249,BY464399
BL252678,EH591988
BL246613,BL95597
DT131303,DX14528
DB78682,AN98757
CW416158,CW1049697
BL287268,AA120727
BY563553,BY347253
CW554093,CW477513
CW1205370,CW593312
CN59157,CN59157
CW666979,CW854616
CW517329,CW1031628
DT132527,DT132527
CW157742,CW111116
DT74242,DT60292
CW611143,CW744108
BL478361,BL478361
CL39785,AR14474
EH999082,EH999082
EM57747,EH448275
BH92545,BR210371
EH744768,EH575333
EH429287,EH389255
CW285620,CW276423
CD21638,CD21638
AK62234,AK62234
BN140681,BN172043
EH631690,EH565279
EH482799,AL34924
EH889283,BL251846
CW242741,CW649163
BN388920,BN388920
EH1027469,EH1027469
AP44546,AP44546
DB229704,DB229704
EM49236,DR123364
EH546069,BE206336
ES21395,BN212669
AN89921,EF146596
CN57387,AL112656
BN268455,BN268455
BN366675,BN121712
EP92296,EP92296
DZ68118,AA97015
EH115074,EH348526
DW37791,AW85892
BC47902,BC47902
EH477274,EH357638
EH315229,EH350809
CZ34331,CC116240
BN449562,BN449562
CW934261,BY311397
CA47201,CA60338
AW61330,AP78767
EH423159,EH480947
CW1053962,AN132266
EP55460,CZ32294
AE16810,CT31779
EH703951,EH305177
AK141045,CC77739
AA160300,AA160300
EF141831,EH780233
BN472754,BN256559
CH54371,CH54371
DL173993,DL173993
EH828480,EH500913
AE6565,ED25156
EH87825,EH447427
EH765373,DS68139
CW378670,CW521007
CG100874,CG81509
BY544151,BY540092
DN127662,DN71557
DB189161,DB114728
EF203286,CW261637
BY677877,BY677877
CW1072015,CW1101312
BK38167,BK38167
AM77025,AM77025
BY509305,BY691967
EH735396,EH735396
BL112816,CW418177
BY403751,BY403751
AN41450,CJ65656
BE306421,BE232273
BY460800,BY449120
CW595863,CW212963
CW697313,CW227960
CW423343,CW360094
EH397519,DK16057
EH282030,EP47774
CW637095,CW305052
DL245710,DL107231
CW667191,CW488760
EP60019,EP60019
DL88121,DL88121
CW1156618,CW1156618
ER18965,ER27472
CW800133,CW329900
CW218115,CW204908
CJ72265,CJ72265
BH155653,BH124128
DB96636,DB110391
DE187478,CZ34056
CW917055,CW550719
CW622777,CW522188
DA95157,DA95157
CW634988,CW478823
EG37827,EG37827
CB61283,CB61283
EH961360,EL36247
EH508824,EH478943
EA31499,EA31499
CW954145,CW479567
AN100629,AL129674
DA87354,EB45789
EH890154,EH816383
CW533847,CW550719
DD103882,DD103882
DX44797,DX44797
EA32260,EA32260
AA111551,EH238244
EH1090476,EH395992
CH38118,EF167453
EH608519,EH608519
EH298370,EH425017
BY715818,BY220267
EF90180,EF185093
EH1038050,CJ192373
BW25266,BW25266
AG50829,AG50829
CW971741,CW1083150
CW662442,CW217850
CW499115,CW547767
DL218447,DL205162
EF59548,EF59548
EH454156,CT33344
CW840379,CW476273
CW460352,CW371987
EG29410,DB34496
EH1080847,EH1080847
DB58236,DB58236
BY548895,BY79082
CJ83543,BZ33557
BY23712,AL214411
CW947585,CW377484
BN301903,DN91007
CG121913,CG121913
CJ126665,EF185093
CW908668,AM11426
EH676087,EH676087
CW849817,CW383267
EL46925,EL46925
CW175376,CW540599
CW981224,CW981224
AM80778,EH262857
EH318593,BY74731
DC18353,DC18353
AG30207,AG30207
EM16904,EM16904
BN318856,EH659569
EH821470,EH821470
CW914060,CW898324
DE177416,DE285012
CW322984,CW873496
EH739440,EH1007808
CW967356,CW657451
BL382944,BL382944
EH478532,CW947489
EH881415,EH547971
EG28487,DB11614
AZ15984,AZ15984
DJ11514,DJ11514
BE201230,BE167963
EF100089,EF100089
CW216484,CW218122
DE115503,DE115503
DS41188,DS41188
EF153124,AD22726
EH151548,BR231932
BR98178,BR98178
DS59973,DS52778
CA88435,CW675918
DN109150,DN109150
EH827821,EH827821
DW49639,DE219082
EH419376,EM58262
CY29047,CY29047
EH934523,EH934523
DA92413,AP13711
DK28923,AL103378
AY17966,AY46109
CW694815,CW118400
EF141831,AN52777
CJ40652,CJ58973
EH589962,EH589962
CG174882,EH117982
BY325433,DB171625
CW365697,CW365697
CW482214,EF120086
EH907959,EH907959
BH102187,BH102187
AY38196,EH1032787
BN477275,BN477275
BC53967,CW631669
CW650951,DT85352
CZ111303,CZ111303
EF39677,CW1054092
DT90487,CW368131
BT5608,BT5608
