globalID_A,globalID_B
CW383914,CW245310
EH150999,DZ19888
DR96172,DR96172
CB19041,BH151572
AK26386,AK26386
AW121082,AW148046
CW55962,CW55962
CW131498,CW212675
AN171179,AN171179
EH980499,EG15321
CW105988,CW16941
DD167494,DD95086
AL50791,AL50791
CW522612,CW106719
EH72162,BL408601
DP22530,AL37864
BH24125,BH24125
CW138356,CC32380
BS5930,BS5930
BH24380,BH37095
CG47557,CG47557
CW848225,CW318611
CW99478,CW99478
EH203702,EF117882
EC16065,EC16065
AW60873,AW60873
CW254978,CW468652
AA49632,AA26224
CW1055977,CW407784
CW679293,CW409415
CW215339,CW208817
CT6785,CT6785
CZ50330,CZ50330
CC24304,CW215697
EH116383,DE200751
AA95406,AA95406
BE407496,BE87585
BR37764,BR58804
BE378062,BE378062
DE112353,DE68999
BB97032,BB97032
BY106412,BY540363
BY85907,BY130505
AW76953,AW99430
AL56290,AL56290
CW26406,CW26406
EF31268,EF31268
CW66436,CW651881
DE48730,DE51356
EL33263,EL33263
AZ15436,AZ15436
EH243514,DD34368
CT19938,CT34296
CW247498,CW261073
CH15647,CH15647
BE398514,BE398514
BN212016,BN52651
EH346403,EH346403
BJ25701,BJ25701
AL58983,AL96732
BG7935,BG7935
CW225043,CW81863
EH1239589,CC25297
DD6093,CN5354
AA24271,AA62687
BY509197,BY149626
EP83839,CJ48533
CW1082180,CW933518
CG193993,AJ33266
CW528393,CW877948
BE363367,BE363367
AK146829,AK106726
BY104273,BY136053
EH1128123,EH1128123
EH373452,AM41966
BY33947,DL70220
CG10880,CG10880
BL306587,BL123724
CC111145,CC111145
CW599774,CW337759
EH476437,EH476437
AM61150,AM61150
BD57517,BD32737
AW109481,AW109481
CW144184,CW257242
EK18353,EK18353
CW186575,CW186575
ER10814,CC66543
BN204249,BN246117
EH125088,EH125088
AL32880,AL32838
CW76639,CW175451
BM74817,BM74817
DT67849,DT67849
CW332926,CC124899
BE39238,BE39238
CZ85345,DE69936
BE59354,BE59354
CW318050,CW1317428
CW454757,CW173974
BE74376,BE74376
CW573572,CW596066
CW449197,CW1053024
BL334866,BL334866
AN34937,AN58437
EC22570,EC22570
BY705858,EG54001
DN3241,BN6051
AL237708,DN101806
CW512505,CW95910
EH106404,EH247373
