globalID_A,globalID_B
DD37260,CD11763
DB186674,DB186674
CJ140315,CJ140315
DH20458,DH20458
AK12554,AK12554
BP51944,BP51944
AS84554,AX52225
EH1067588,EH1067588
CD19005,DD105207
EH1153059,EH109401
CC88093,CC88093
BL178388,BL138829
BY524274,BY179135
AB37048,CW798355
CW319145,CW974765
BZ49396,BZ49396
BE221549,BE221549
DB60959,DB60959
CW185427,CW257892
CW1033457,CW495026
CW506197,CW1363278
CW485458,CW796355
CC145306,BP19213
BE346828,BE399495
CC37539,CT16743
DX57928,DX57928
CW164756,CW268445
CW789903,CW789903
CJ44514,CJ44514
CH54839,CW381067
EH363478,EJ3148
CW518861,CW932577
DL157732,DL157732
EH831109,EH831109
CL49159,CL49159
CW1024308,AW98653
CD22419,DW54284
DT33249,DT33249
CA20527,AW158497
BY20690,BY322748
CW762165,CW172263
CW573430,CW573430
AL57748,AL106065
BL317389,BL317389
CW676989,CW378060
DS107356,DS68139
BL101080,BL101080
BL349410,BL349410
CW489947,CW489947
BN297641,BN216367
CZ33252,DE293591
BD128610,BD128610
DE212083,DE212083
EH715264,EH372988
EH467363,EH467363
DN54267,EH558682
EH642364,EH642364
CW438707,CW340776
DR56090,DL95209
EF105095,EF105095
AL155807,AL155807
AP55497,AP55497
AA137785,EH963597
AP85952,AP49126
EH401556,EH401556
EH285265,EH316924
EH194386,CW515155
CW488975,EH646111
AL100628,AL100628
CW710812,CW602202
DE183133,DE117426
AE16597,CN45217
AH16932,DE116694
BJ29318,BJ29318
BY266127,BL259145
BY609463,BY20014
BY433422,BY10146
BL217345,EH230527
CL49610,BN293437
BY431141,BY423471
DB206031,DB115427
EF154436,CA61478
BY361026,BY361026
DB116579,BL440511
CG114255,CG114255
BS6734,BS6734
DL93775,DL93775
CW682124,CW533290
EF208864,BP34570
CW466998,CW261874
CW1200617,CW1200617
CW141759,CW1352414
CW248898,CW214690
CW776598,CW776598
EH515748,DE218898
BD89443,BD89443
DR97753,DR97753
EH186317,EH363741
EH489266,DE269401
CJ32494,BH86355
DE101033,EH485166
DB221453,BY267448
CW721965,CW223304
EH238733,EH173606
AX71812,AX71812
EH280124,EH230527
CW517873,CW1292564
BE283515,BE283515
EB69142,EN35127
BB41978,AD7321
DB182074,DB182074
CW1010123,CW1010123
AM58238,DR73656
EH383452,BJ14499
DE113618,DE164778
EP71685,EP71685
DB124955,BH184479
BN449928,BN347194
BY353127,BY102013
DT115196,EL57912
AL254970,AL99280
AM53014,DB39372
CA66987,BR51277
DZ18814,EF211874
CW225618,CW491905
CW498346,CW491199
AE6565,CC116240
AA113631,BY327461
DE113391,BE208676
AY30004,BE269235
BN304492,BN343511
AF12193,DA10217
CW655811,CW199905
CW771660,CW771660
CW824801,CW824801
AF12193,DN72617
CW637663,CW648514
DA77505,DH43701
CA30275,EL13836
DR117094,ED31576
BL245904,CA144046
DP13353,DP13353
AS11563,EH249917
CW685262,CW645988
BW26876,BW26876
ES18690,ES18690
CW708148,CW670215
BN359783,BN214072
AE14506,AE14506
CW937975,CW255991
EH413244,EH413244
CW705410,CW705410
CW434591,CW891410
DL180540,DL180540
BY378905,DD127318
EH543584,DD190605
BZ69598,BZ69598
CW577084,CW1070675
EH458323,DE218898
BL476954,BY377296
AN183167,AN183167
CW419165,CW181469
CW383679,CW383679
EH346486,EH1008306
CW723675,CW735197
CW908668,CW879595
CW371220,CW740380
CW494380,DT90685
CG9390,CG110103
CW702002,CW303830
BB51760,BB51760
CW901299,CW873079
CG64654,CG64654
AN138480,AN138480
EH917169,EH917169
AL91413,AL106065
DL247273,EP30087
CW599171,CW599171
BN240634,DE86624
CW211852,CW135387
BL415979,BL415979
DL140588,BZ22486
CW152277,CW232417
AP62415,AP62415
EH787662,EH787662
EH904731,EH904731
CW1035413,CW904682
DR89025,DR89025
EH843267,EH843267
DL146308,DB67018
DD35077,AL63509
CT30695,AL112656
AL232307,AL232307
BY318377,BY74731
CW424565,CW795339
CW405610,CW847594
BN231639,EP36395
DB242998,DB242998
AL78362,EF106228
CW336746,CW731041
DC18333,DC18333
AL153239,AL237647
DR94354,DR94354
DL160478,DL160478
BL231586,DL90739
AA108645,AA75847
DT57437,DT108446
CW457984,BR3520
EG20618,ER28508
CW485458,CW643944
CW554780,CW500644
DD177498,DD177498
EH974012,EH974012
BL226009,BL172011
DT103618,CW472230
BE314225,BE314225
DE87704,DE139900
CW939815,CW939815
BL127802,DN72617
BY662416,BH180809
EL14853,EL74827
CC93527,BN307998
CW517755,CW347111
EH415605,EH693104
CW486577,CW807585
CZ110535,CX3361
DN52146,DB147421
BN123448,BN182206
DB235761,AG35227
BE320842,CW503045
EB34098,DT155471
BL112012,BN133984
CW310825,CW690014
EH450021,DT133783
CW525138,CW603679
BN470093,AN91775
DD123325,DD123325
EH798997,EH798997
CW495550,CW495550
EH1204208,EH1204208
BM52167,BM52167
BN305591,BN227128
CJ80670,CW798355
CW577084,DB135677
DR61228,DR61228
DR119640,AX14269
CB69298,CB69298
DB150145,DS68139
CW317430,EH402324
BB69133,BB69133
CW539401,CW876823
AM83579,AM83579
CW412941,CW305757
BE326289,BE309136
AL222836,AL222836
BB57377,BD131461
AL109233,AL109233
EH806546,EH317452
CN21106,BS5426
CW573011,CW460645
AX39783,AW118552
BL283169,BL283169
DR119640,DA55837
EH703951,EH149790
DB124646,DB88871
EM105472,DT128532
EL19501,EL19501
DB99269,DB99269
AN128412,AN128412
DN108015,EH807223
EH510357,EH294466
DC4232,AX14269
DA87354,BM58816
EH480837,EH480837
DB179153,DB74422
EH392334,EH741121
BW35601,BW35601
CJ165257,BE101888
BL494708,BL183913
BH154496,BH60758
BE355183,BE355183
CG71177,CG71177
DN46205,DN46205
CJ111091,BL266141
DE230305,AA87314
AM96385,DB95918
EF142715,BE101251
BE13613,DZ40431
EH768845,EL32924
BH117462,BH117462
BL252678,EH591988
EH580335,DX39089
CW141672,DB307658
DT131303,DX14528
DB78682,AN98757
EH980721,EH324677
CW500682,EF116634
CW554093,CW477513
CW1205370,CW593312
CN59157,CN59157
CW666979,CW854616
CW517329,CW1031628
DT132527,DT132527
EK11204,CJ58470
CW157742,CW111116
BL478361,BL478361
CW768171,CW475478
CW155886,CW363738
EH999082,EH999082
EM57747,EH448275
EH744768,EH575333
CW285620,CW276423
CD21638,CD21638
AK62234,AK62234
BN140681,BN172043
EH482799,AL34924
EH889283,BL251846
CW588692,CW528604
CW242741,CW649163
BN388920,BN388920
EH1044677,AA132645
EH1027469,EH1027469
DB229704,DB229704
EH546069,BE206336
AN89921,EF146596
CN57387,AL112656
BN268455,BN268455
BN366675,BN121712
EH991835,EH320741
EP92296,EP92296
CA82585,BL237592
EH115074,EH348526
AL204345,AL247242
DW37791,AW85892
EH472020,EH312566
BN449562,BN449562
BY567831,BY463738
CW934261,BY311397
CA47201,CA60338
BL356985,CJ130292
EH423159,EH480947
CW1053962,AN132266
EH703951,EH305177
AK141045,CC77739
AA160300,AA160300
EF141831,EH780233
BN472754,BN256559
CH54371,CH54371
DL173993,DL173993
EH828480,EH500913
AE6565,ED25156
EH87825,EH447427
EH765373,DS68139
CW378670,CW521007
CG100874,CG81509
BY544151,BY540092
CE25463,EH360423
DN127662,DN71557
DB189161,DB114728
EH1146012,EH304119
BY677877,BY677877
CW1072015,CW1101312
BK38167,BK38167
BY131168,BY261510
AM77025,AM77025
BY509305,BY691967
EH735396,EH735396
BH46935,BH161149
CW853050,CW509719
BL112816,CW418177
DN79204,BL300943
BE306421,BE232273
BY460800,BY449120
BR173136,DL179289
CW595863,CW212963
CW423343,CW360094
EH397519,DK16057
EH282030,EP47774
CW637095,CW305052
BD102996,DB113351
CW667191,CW488760
EP60019,EP60019
EP64728,EL38874
DL88121,DL88121
CW1156618,CW1156618
CP37155,AK50677
CW800133,CW329900
CW218115,CW204908
CJ72265,CJ72265
BH155653,BH124128
CW917055,CW550719
CW622777,CW522188
DA95157,DA95157
CW634988,CW478823
EG37827,EG37827
CB61283,CB61283
EH961360,EL36247
EA31499,EA31499
CW954145,CW479567
EH749812,EH324660
DA87354,EB45789
CW533847,CW550719
DD103882,DD103882
DX44797,DX44797
EA32260,EA32260
AA111551,EH238244
EH1090476,EH395992
CH38118,EF167453
EH608519,EH608519
EH298370,EH425017
BP37594,CC118220
BY715818,BY220267
EF90180,EF185093
EH1038050,CJ192373
AJ15940,EH274725
BW25266,BW25266
AG50829,AG50829
EH489266,CW231746
CC59391,AL126049
CW662442,CW217850
CW499115,CW547767
DL218447,DL205162
EF59548,EF59548
DB245057,DB245057
CW574525,CW384670
EH454156,CT33344
CL13398,CL20657
CW460352,CW371987
EG29410,DB34496
EH1080847,EH1080847
DB58236,DB58236
DY18519,EM58235
CJ83543,BZ33557
EH175742,EH851040
CW356742,CW356742
BY23712,AL214411
CW947585,CW377484
CG121913,CG121913
CW563497,AL153501
CJ126665,EF185093
CW908668,AM11426
EH676087,EH676087
DD55908,CW377063
CK13253,DA33365
EL46925,EL46925
EH164920,EH87352
CW981224,CW981224
DC18353,DC18353
AN195247,BA17543
AG30207,AG30207
CW1078292,EH237430
BY309282,CJ116394
EH821470,EH821470
CW914060,CW898324
EH158324,DR50275
DE177416,DE285012
CW322984,CW873496
EH739440,EH1007808
CW967356,CW657451
BL382944,BL382944
EL58784,EL58784
AM60913,EH385417
DL198943,AS99480
CW845719,CW664745
EH478532,CW947489
EH881415,EH547971
CW889391,CW700816
EG28487,DB11614
AZ15984,AZ15984
DJ11514,DJ11514
EF100089,EF100089
CW216484,CW218122
DE115503,DE115503
DS41188,DS41188
EF153124,AD22726
AS34864,DD53122
EF109607,EH534928
AL324156,BE170604
EH151548,BR231932
BR98178,BR98178
CW223222,CW142777
DS59973,DS52778
AL68892,BR39916
CA88435,CW675918
EH827821,EH827821
EH419376,EM58262
CY29047,CY29047
DA92413,AP13711
AY17966,AY46109
CW694815,CW118400
BC35830,AN88406
EH876337,EH836091
CW435337,DL129385
