globalID_A,globalID_B
EH151184,EH151184
EH418231,EH418231
EH128309,BL99868
EH385104,EH255330
BN270500,BN270500
EH56486,EH56486
BJ31211,BJ31211
EK7168,EK7168
BN170804,BN260641
EP78771,EP78771
EH787576,EH787576
EH12577,EH12577
DJ8635,DJ8635
DL25925,DL28665
DE255551,DE195605
EH352810,EH352810
DS94541,DS94541
BY308298,BY347278
AZ16116,AZ16116
EH113569,EH138175
BN60774,BN60760
BN46183,BN27703
BY326471,EH338282
BY387186,BY387186
EP69010,EP69010
DA68799,DA68799
BL22939,BL157355
DL106244,DL106244
EH539344,EH539344
DE141068,BL237547
CD4759,BY45127
BY28093,BY28093
DL124427,DL177855
DL6826,DL23024
BY246442,BY246442
AG9597,AG9597
DL214155,DL88398
BN289908,BY474240
BY47271,BY47575
BY521180,BY521180
BP10434,BL15019
BL368478,BL368478
BY414520,BY414520
DK28956,BL533995
EJ14501,EJ14501
BN223950,BN185086
AG51525,AG51525
BN27520,BN45149
BN56343,BN159725
EH177451,EH406099
BL387625,EP30549
EH434636,EH434636
EH365498,EH365498
BL73872,BL106376
BN45929,BN11494
BN54486,BN31827
BL360265,BL360265
DG22941,DG27363
BN362668,DA86983
BW51353,BW51353
BZ49649,BZ49649
CS16659,EH293203
EH380532,EH380532
AT4324,DT31559
AA4937,DN11117
AA74808,AA74808
EH97855,EH97855
DE130417,BL259687
EH412551,EH404736
BL92893,BL92893
EP82845,EP82845
AA166290,AA166290
EH518665,EH517319
DE95589,EH86297
BY551305,BY551305
EG24586,EG24586
BG19664,DE132814
BH17555,BH17555
BL215160,EH201471
BY349286,BY122109
BL177805,BL190717
AA135209,AA135209
BL354495,BL293416
BN121196,BN121196
BN12147,BN12147
DK34694,DK34694
DL205027,DL205027
BN81637,BN201794
BN419486,BN419486
EH729202,EH729202
DN67369,DN67369
BY503068,BY503068
BG37089,BG37089
DL209293,DL209293
EH776358,EH776358
BY327127,BY327127
BY425857,BY267315
CL31571,CL31571
BY404739,DN89213
BY560111,BY560111
DL59155,DL59155
BH4417,BH4417
BN37138,BN37138
DL32313,DL14394
EP77790,EP77790
BL300067,BL300067
AH10622,AH10623
BN72734,BN72734
EM14299,AH12452
EH170073,EH262897
BL311230,BL311230
AA104169,BN315935
CL20650,CL20650
BY335300,BY346477
EJ12559,AG20383
DL18182,DL29149
BN70274,BN70017
EH656202,EH656202
BL339261,BL340063
BY443661,BY329851
DE207366,DE207366
BH24423,BH24423
BH136490,BN229222
BN47702,BN47702
BY397920,BY397920
DL116841,DL116841
CL40838,CL40838
EH614899,EH461670
BF25021,BF25021
BY98565,BY98565
EH292492,EH292492
DL187092,DL164972
BL290017,BL29735
EH441050,EM10131
BN27507,BN67526
EG43869,EG43869
BG5318,BG5318
BY320876,BY320876
BL360008,EM124466
EH86935,EH134701
DL174194,EH589061
EH128937,EH67565
BL368125,BL368125
BL238376,BL238376
EH422629,EH414231
EH14990,EH14990
BL267975,BL267975
EH230660,EH230660
BN32804,BN29506
EJ25707,EJ25707
DG7559,DG7559
BZ34320,BZ34320
BM58573,BM58573
AX14358,AX14358
DE91622,DE91622
EH395375,EH398572
EH617805,EH283148
DE86050,DE86050
DN109650,BH65179
AA111868,AA98772
BW6478,BW6478
EM3445,EM3445
EH308543,EH393895
BY282932,BY191002
EH840726,EH840726
EH863013,EH863013
DE249033,DE249033
BY517128,BY542789
BL44577,BL381947
EP75638,EP75638
DC7410,DC7410
DN36257,DN36257
CJ97072,BL99201
BL55110,BL152036
BY72050,BY72050
ER4034,ER4034
EH788937,AH21604
BN27507,BN63958
EG2920,EG2920
EH754253,EH754253
BN336661,BN336661
BP22538,BP22538
DE181659,DE181659
EH659972,EH659972
BY560392,BY560392
CD23525,CD23525
BY243289,BY558005
CJ7843,CJ7843
EH235225,EH235225
BG41246,BG41246
DE106809,ER30679
BL41336,BL85539
BH86420,BH86420
BL336632,BL336632
DA52033,DA3134
EP78840,EP78840
EH112343,EH112343
DL27281,DL27432
EJ22918,CD10452
BY32010,BY32010
DE119361,DE115905
BN146692,BN146692
BN381145,BN381145
EG25998,EG25998
CJ127640,CJ127640
BL365840,BL365840
DL100708,DL87708
BH147016,BH147016
BN30642,BN70729
AX53170,AX53170
AX2754,AX2754
BN36439,BN36439
BM48705,BM48705
DL92451,BL171630
EH214119,EH214119
DL182966,EB59493
BN342701,BN342701
DE192953,DE192953
BY122211,BY111914
EH72459,EH72459
DL164263,BY69983
AA76026,AA76026
BN282033,BN282033
EH267235,EH279698
EH616876,DL152874
BG3063,BG3063
EM100654,BY537128
EH110577,EH360558
EM10913,BN303475
EH340019,EH340019
BY362241,BY362241
BY145185,BY145185
EH487161,EH487161
EH419249,EH419249
EH852982,EH852982
BY77061,BY47049
BN395280,BN395280
EH444047,EH444047
BG36201,BG36201
BF11945,BF11945
BY553157,BY553157
BY440590,BY440590
CJ139422,CJ139422
EH136282,EH136282
DS40178,EH757366
BY511962,BY511962
EH220362,EH220362
EH877335,EH877335
DA36262,DA36262
DE115038,EH453883
BY132940,BY398074
EH234581,EH234581
CS18431,CS18431
DJ4365,DJ4365
DN71932,DN71932
BL10345,BL9262
BL389867,BL389867
BN70274,BN59805
BL291754,BL207618
EH414984,EH318174
EH539599,EH539599
BN201997,CA67388
CA95930,CA95930
EH181299,EH181299
BY222553,BY222553
AA157690,AA157690
EH877270,EH877270
DS50845,DS50845
EH101211,EH124765
DE209131,DE209131
BN39218,BN31736
BL356096,BL356096
BG24327,BG24327
DE146680,DE84435
BL246306,BL246306
EH141882,EH141882
BY565320,BY121997
EH652271,EH652271
CL35737,CL35737
BN104008,DA6575
CS20699,EB46217
CD3736,CD3736
EM103738,EM103738
DN74562,BM39077
DE212480,DE212480
EH161122,EH161122
EH692239,EH692239
BH87716,BH87716
BY162695,BY162695
BN413234,BN413234
BN217230,BN217230
BY440290,BN229222
BN75649,BN178302
DC6367,DC6367
DE141068,CD15887
BJ14066,BJ14066
BY553504,BY553504
EH425463,EH754171
BL92871,BL92871
DE217101,DE189871
AG47212,AG47212
BZ4278,BZ4278
EH152228,EH322660
EH414864,EH414864
EM18376,EM18376
DN104474,DN104474
EH296345,EH144714
EH200172,EH428678
BY416557,BY416557
EH772269,EH772269
EH25529,EH25529
EH47599,EH47599
BZ55150,BZ55150
EH605267,EH605267
EH716572,EH716572
BH62806,BH62806
EH356659,EH356659
BY532056,BY139783
BN35463,BN35463
AH18521,AH18521
BN42704,BN42704
DN120335,DN120335
EH95490,EH225089
EG8672,EM10131
DK33028,DK33028
BL282325,BL282325
EH608667,EH894871
BH95680,BH95680
BN296706,BN296706
AG31669,AG31669
EH799069,EH799069
BL188012,BL234357
EH745214,DL245130
BL149595,DE133725
EH240780,EH240780
EH246362,EH122980
BN19528,BN19544
EH307925,EH307925
BY355857,BY355857
BY248340,BY248340
CG7342,CG7342
EH97715,EH223386
DS72391,DS72391
BY100804,BY100804
BL31024,BL31024
AX42825,AX42825
AX57529,AX57529
CA56879,CA56879
BN84037,BN122364
CJ62264,CJ62264
BL213683,BL213683
BL345541,BL345541
EH211477,EH211477
BF9995,EM71447
BN287100,BN287100
BM42327,BM42327
EH177250,EH177250
EH188664,EH188664
BN41457,BN41457
BZ9573,BZ9573
EH771650,EH659703
BN75487,BN12943
BN120897,BN124864
AG13163,AG13163
AA146457,AA115560
EH760554,EH760554
EH273744,EH273744
BN334110,BN334110
CJ140452,CJ140452
DL118907,DL118907
EH643060,EH643060
EG37568,BN409525
DL212865,BS15380
EG50577,EG50577
BL163216,BL163216
BS11681,BS11681
BH147769,BH147769
BG18988,BG18988
CS28303,CS28303
BY20197,BX4292
DE207366,DE101817
EM91108,EM91108
DE263521,DE263521
BY529899,BN419407
DS101987,DS101987
BN183656,BN139751
EM36513,EM36513
BN27520,BN68631
BL203120,DE235340
DL137895,DL99886
BN26997,BN61792
EP3443,EP3443
BL309129,BL309129
BJ31324,BJ31324
EH246613,EH246613
BZ22584,BZ22584
EH451406,EH451406
EH785027,BY167992
EG17482,EG17482
DN114344,EH775272
BL127188,BL392826
BN248236,BN335754
BY552759,BY215605
EP67826,EP67826
BY514993,BY162549
EH621647,EH424140
EP19314,EP19314
EH104331,EH141405
BY300379,BY429987
BY563493,BY249659
DJ2066,DJ2066
BN76171,BH77616
EH554470,EH554470
DS68898,DS63844
BN7066,BN8551
EH729505,EH729505
EH763820,EH763820
BY130864,BY109960
EH851699,EH851699
AX32380,AX32380
DC6866,DC6866
BY436875,BY436875
EH74299,EH74299
BZ28167,BZ28167
BL322965,BL322965
EH596802,EH596802
CD21724,CD21724
BY268691,BY268691
BM16562,BM16562
AR8869,AR8869
BL111528,BL111528
EH566872,EH566872
BL141347,BL119237
BY298339,BY255442
EH390136,EH390136
BL191871,BL191871
BY499127,BY499127
DL94077,CL56405
BN27520,BN50773
BL109074,BL125338
EH846834,EH846834
EH263622,EH263622
BY502563,BY502563
DS13562,DS13562
EH128906,EH128906
EH106326,EH106326
EH158764,EH345626
DN66117,DN66117
DE162922,DE162922
BN252188,BN264632
BL37460,BL37460
BY494466,BY494466
DE11747,DE11747
BN11668,BN31073
CJ21983,BL161769
BN60478,BN60808
DA99737,DA99737
BN68450,BN63958
BY86036,BY42724
BL190137,BL190137
BN182245,BN165220
BL359888,BL359888
EH140420,EH140420
BN202483,BN193715
BN122169,BN122169
EH180633,EH429420
EH468578,CL56405
BN70118,BN68130
BL164151,BL164151
DL202094,DL202094
BY218124,BY97196
EH741820,EH741820
BY152199,BY750095
BY406832,BY406832
EH841431,EH841431
BN393834,BN393834
BH101411,BH101411
DA64717,DA64717
BW23286,BW23286
EH858829,EH858829
BJ36305,BJ36305
DL34983,DL34983
AZ13039,AZ13039
BN96390,BN96390
BN367302,BN367302
EH406151,EH424140
DL98035,AL200146
EH74666,EH74666
BY125544,BY125544
EA40047,EA40047
BL32193,BL32193
EH346456,EH346456
EM71385,EM71385
EK5823,EK5823
AG49228,AG49228
BY175695,BY216380
BY215077,BY135306
DC7624,DC7624
EH392470,EH392470
BN257375,BN257375
EH149822,EH149822
EH690035,EH690035
BL163841,BL98887
DS91556,DS91556
EH376127,EH326759
EH406151,EH733600
BL360446,BL360446
DG41523,DG23116
BL328546,BL334258
AA14837,AA14837
AA146634,AA146634
EM93108,EM93108
DG48558,DG48558
BY139759,BY139759
BN24779,BN24779
BY430845,BY42724
EH39233,EH39233
EH631977,EH631977
BY59832,DN107072
EH692808,EH692808
BY89341,BY89341
EH456989,EH456989
BJ33458,BJ33458
AA19035,AA89893
DL83891,DL83891
DL216113,DL216113
DK22022,DK22022
BZ8959,BZ8959
EH644090,EH595075
CS15465,CS15465
BY267816,BY455190
BY503475,BY503475
AA140452,AA140452
BY408971,EH143755
DS77765,DS77765
DN62500,DN62500
BH54524,BH54524
DE259058,DE259058
DL208570,DL208570
DE181406,DE181406
AA94962,AA94962
DE221451,DE149128
EH874352,EH874352
DL187488,DL146395
BY495142,BY495142
DJ7933,DJ7933
DE18272,DE264279
BY369754,BY369754
BY440290,BY250074
EH446052,DA59654
DE166176,BH105207
EH198412,EH198412
EG49847,EG49847
BL390173,BL390173
EH261214,EH261214
BZ13087,BZ13087
BN403504,BN403504
BH71449,BH32925
EA43153,EA43153
EA9119,EA9119
EK17094,EK17094
CJ22610,CJ22610
BN70118,BN13469
EM66360,EM66360
BY369354,BY2397
BN213297,BN213297
BY218124,BY200762
BN418987,BN503319
EH393868,EG6379
BN23069,BN11108
BY252538,BY611652
DJ7370,DJ7370
DL128015,DL128015
EH12968,EH12968
BN352105,BN352105
EH107105,EH107105
CJ25908,CJ25908
BN30927,BN36879
BY180972,BY106475
EH145756,EH136782
BN39218,BN36879
DE148496,DE174688
BN83964,BN333150
BH130185,BH130185
AA102802,DE231788
EH854558,EH854558
DE208823,DE208823
BM16556,BM16556
CL45169,CL45169
