globalID_A,globalID_B
CW758081,CW106106
DR81938,DR93149
BR124940,AX71690
BY551551,BY551551
CW1050993,CW1207974
AA189574,DP27040
DN93603,EH431830
EH1219523,EH1219523
BH6503,BH6503
DL242076,DL242076
EH646991,BF13511
DE275792,AX55080
EH570209,EH405290
AM37972,AN52092
CW252880,CW721741
DB60959,DB60959
BL293491,BC42004
CG177565,AA140751
DR68908,DR68908
AL283971,AL283971
DB206026,CW975134
CC116423,BN429385
CH54839,CW381067
EN69441,EN69441
CJ145457,CJ145457
CW558045,CW613922
CW1024308,AW98653
AM12221,AW77463
CW1300587,EN77356
CJ35448,BH168107
AN122113,CW720775
EC16065,EC16065
CW762165,CW172263
BE272647,BE262110
CG160762,EH764246
AL346165,AL167817
AN176040,AL219648
CW686133,BZ36519
EH854439,EH854439
BY309282,DD78451
CW227960,CW331335
EB34098,CA90184
EH890578,EM108788
CA92631,CW75567
EH116383,DE200751
EH405491,EH662837
BN378858,BN367966
EH134705,AW103591
CW123085,CW154717
CW438707,CW340776
EH285265,EH316924
BL316845,CW48057
BR192583,BR140083
CW710812,CW602202
AE16597,CN45217
EH490290,EH642965
CL48076,CY21303
DB333241,DB86036
CL48076,EH764246
EA35184,EA35014
CG167067,DD96032
BL217345,EH230527
EH1040533,EH1040533
DD113887,DD145423
AL42015,AL48962
CL49610,BN293437
CJ159916,CJ159916
DB206031,DB115427
AL101285,AL101285
BE263713,BE263713
BE247165,DL205805
BK10331,CW184004
EH887753,BY478908
BY433214,BD99588
BL385307,BL385307
DL240762,AP4941
CW365823,BP27446
AN74608,EH1234003
DD123481,DD123481
CW517959,CW501481
CW824081,CW1370224
BY689798,BY689798
CM54342,CM59927
BD89443,BD89443
DR97753,DR97753
EH489266,DE269401
BG7935,BG7935
DB312947,BA16092
CJ32494,BH86355
BY469121,DN111057
BL261971,BL263370
EH280124,EH230527
DW36346,DW36346
AA60664,BL438651
ES14361,CG106828
EL68179,AN145151
EH370781,EH162441
EF105615,BJ15683
CW275096,BC9089
DE113618,DE164778
BY353127,BY102013
DL92800,DL92800
CW81598,CW179470
EH105759,EH332023
AL254970,AL99280
CW498346,CW491199
AA113631,BY327461
DE113391,BE208676
AA210000,AA69260
AA210000,EH50468
DL218553,BH52256
DR25408,DR25408
CW440888,CW531572
CW917113,CW807933
AL32880,AL32838
AX57450,DE201045
EH670280,DE81715
BR136456,CB59773
BE395199,BE395199
CW1001164,BY335235
EM107290,EM107290
AS11563,EH249917
AS74263,AN136606
CW454757,CW173974
CC29635,CZ69648
DE230305,AM74690
ES18690,ES18690
EP77188,AN146282
BL498496,BL532233
AL215435,EF73706
BY265178,BY426715
BD99432,BD58659
DL180540,DL180540
CB53352,DP44759
CR21169,BC67458
CW778486,AL326332
BL476954,BY377296
BL334866,BL334866
CW668186,CW563859
EH641878,EL58969
CG157446,CW1089245
CW783277,CW1073079
EH346486,EH1008306
CW908668,CW879595
AM25974,BD12034
CW213470,CW613922
BX15813,BP58302
CW702002,CW303830
DN142787,EH528673
CW806599,CW806599
AK58633,DB158546
CD23101,CD23101
BN240634,DE86624
CW884962,CW1173415
BY398200,BY27454
DJ12367,DJ12367
EH106404,EH247373
EH787662,EH787662
BH11365,BH110749
EF200326,EF186635
CW855896,CW855896
BN354411,CD26826
CW424565,CW795339
CW931171,CW848645
AN136043,AM78765
EH280682,EH388244
EH1126109,AL239159
BS11412,CC25749
AD26014,AD30160
AL78362,EF106228
EF115442,CW556259
EH825801,EH409522
CJ135756,BY457788
DA46517,EF56403
AL240720,BE219529
BB103015,DW43224
AK14283,AK14283
DE87704,DE139900
BZ43113,BL287786
ED6446,CA39062
EH639090,EH639090
CS22553,BN214288
BL127802,DN72617
EF166295,EF166295
EH415605,EH693104
DB235761,AG35227
CG50551,AL239832
EH348366,EH415084
EH400546,EH502819
EB68360,BH128484
EN74533,EH769815
EH1193120,EM78255
CB16992,BA9989
BM52167,BM52167
AM62502,DH36384
EH785592,EH529130
EH132937,EH138719
CX11407,CW742845
BP62854,EH392472
AL169362,AL169362
CB69298,CB69298
CW313162,CW602026
BW51529,CL65717
EB75350,EB75350
CW887565,CW1220151
EH843382,EH843382
DL254223,DA94866
CW824623,CW824623
BY721069,AA204937
EH703951,EH149790
CW247713,CW674321
CW469444,CW472230
EH823960,CL31416
AN128412,AN128412
BN493179,BN493179
EH241876,BL433475
BL461391,BL221662
CZ33252,CS25808
CW905926,CW253271
DK31805,DE166091
DA87354,BM58816
EH392334,EH741121
CG62334,CH20461
AM74133,EH22185
AN21310,AN62089
CJ165257,BE101888
CW1150257,CW1150257
EF6686,EF6686
CW597799,CW710613
DB198926,DB212065
AN77849,AN60514
EH104232,EH299375
CW218379,AS87974
EH1050375,EH1318939
CR18360,CR18360
EH580335,DX39089
CJ131792,CJ66702
DC15903,EH167017
EH745987,EH455198
DA89185,EH301005
AA75035,AA75035
EH676960,EH247373
AL178691,AL176888
CW517329,CW1031628
EH699016,EH674835
BR159947,DB270485
AL221621,DT124377
CW238637,CW128387
DL252211,DL252211
CW162204,CW252094
EH770566,EH770566
CW885859,CW629443
CD21638,CD21638
