globalID_A,globalID_B
CW758081,CW106106
CW549185,CW549185
BH178674,BH178674
CW520319,CW561179
CW168139,CW70360
CW480894,CW305511
CW375143,CW848210
CW668415,CW187462
CW966983,CW543699
CW835753,CW835753
AL172802,AL172802
CW901807,CW1037100
CW55962,CW55962
CW896146,CW859559
CW596901,CW749804
CW319145,CW974765
AL195582,AL195582
CW677010,CH40237
BK53618,BK53618
CW343181,CW70865
DT75935,DT75935
CW973639,CW928167
CW425693,CW155721
CW965367,CW48969
CW64876,CW59395
CW574243,CW110251
CW268322,CW103769
DX57928,DX57928
CW789903,CW789903
AL281228,AL281228
AD22128,AD22128
CW701269,CW837465
CW675364,CW428324
CW874562,CW465413
CW99478,CW99478
CW651225,CW651225
CW754004,CW45392
AL312812,AL312812
CW798227,CW1111304
AL307327,AL307327
CW884962,EF159127
CW762165,CW172263
CW925747,CW925747
CW743230,CW1341264
CW395966,CW395966
CW254978,CW468652
DT119118,DT119118
CW130897,CW176382
CW625203,CW507995
CW124199,CW280305
CW823018,CW823018
CW982379,CW982379
CW269134,CW227049
CW601800,AL141719
CW198229,CW198229
AL98172,AL98172
CW995405,CW179038
CW1000722,CW957116
CW183899,CW183899
CW881624,CW881624
CW609287,CW659013
DT134409,DT134409
CW884761,CW946746
AL42015,AL48962
DA92413,AM5222
CW1369395,CW1098130
CH62923,CH62923
CW837466,CW837466
CW66436,CW651881
DT23920,DT77193
EM44930,EM44973
CW815138,AA57675
CW809514,CW1004161
BH166788,BH83638
AL226912,CW357266
CW714415,CW359458
CW893134,DN146390
CW373080,CW94323
CW533477,CW820343
CW773235,CW550610
CW724962,CW724962
CW949583,AN130362
CW226824,CW479284
CW1200617,CW1200617
CW824034,CW824034
CW30868,CW41902
DA90486,DA90486
CW824081,CW1370224
CW507145,CW322698
CW561460,CW850285
CW1239690,CW1239690
CW85160,CW127449
CW329388,CW329388
CW1055893,CW1055893
CW836689,CW365500
BX17302,BX17302
CW893134,CW453847
CW1082180,CW933518
CW674598,CW421552
CW1010123,CW1010123
CW389789,CW703083
CW352732,CW376584
CW1170773,CW384617
CW1126564,CW1126564
CW437928,CW887347
CW27539,CW143256
CW81598,CW179470
CW1088638,CW253657
CW583555,CW1136670
CW521108,CW920043
CW533512,AM47727
CW976327,CW976327
