globalID_A,globalID_B
CW549185,CW549185
BE301128,BE301128
EH1005220,EH1005220
EH1062395,EH1062395
CG127928,CG127928
DB144606,DB144606
CJ182539,CJ182539
EH362496,BL216775
DZ66081,BR168686
EH1123347,EH1123347
AL345102,AL345102
BW50632,BY754590
BP48284,BP48284
EH118547,EH118547
BE221549,BE221549
BL202597,BL202597
EP2260,AS47864
BL297032,BL297032
BL501956,BL501956
BM16086,BM16086
DD17406,DD17406
CW518629,CW518629
AM85720,AM85720
EH831109,EH831109
BL203623,BL203623
CW727307,CW727307
BR46080,BR46080
EG46345,EG46345
AL307327,AL307327
EB65470,EB65470
CW85781,CW104580
CW375204,CW375204
CA100380,CA100380
BN515859,BN515859
BH28653,BH28653
DD145581,DX40893
DP44349,DP44349
DR79808,DR79808
CW385388,CW385388
DB232628,DB232628
AK162859,AK162859
CW894169,CW884776
EH1124168,EH1124168
BY723495,BY723495
EH637971,EH637971
DJ13190,DJ13190
BD118351,BD118351
DX64049,DX64049
EH867119,EH834579
EH509512,BH133752
AA36052,AA36052
AL63527,AL63527
CM55995,CM55995
EH467363,EH467363
BW57225,BW57225
DL215300,DL215300
BN448531,BN448531
CW808452,CW808452
EF105095,EF105095
CW425693,CW231806
EH560722,EH560722
EH1034484,EH1034484
EH225065,EH225065
EH828746,EH828746
DA100642,DA100642
AL100628,AL100628
EH132556,EH132556
DD145581,DD210171
BE242209,BE242209
CW827821,CW827821
DR104607,DR104607
EF109599,EF109599
DE243934,DE243934
EH1066260,EH1066260
EH1040533,EH1040533
AK111837,AK111837
BE82899,BE82899
DB233852,DB233852
CW931050,CW931050
CW736028,EH637441
CM68041,CM68041
BT6136,BT6137
EH518951,EH518951
EH957334,EH957334
EH638865,EH638865
EH1271528,EH1271528
CA97889,CA97889
BY361026,BY361026
EH917266,EH917266
AN115186,AN188234
EH1021567,EH1021567
DD202483,DD202483
EH988808,EH988808
AK98747,AK98747
DZ71136,BN46922
EH671857,EH878143
BR178747,BR178747
AS22761,AS22761
BK14738,BK14738
BL210048,BL210048
AL225552,AL225552
CW1057115,CW1057115
EH629701,AG36089
BR12067,BR12067
CW399177,CW803817
BY689798,BY689798
BE306501,BE249012
AN4402,AN4402
BY488810,BN315465
BN318758,BN318758
EH702716,EH702716
BL479879,BL117980
DE230400,DE230400
BR155360,BR155360
EH872473,EH872473
DN128183,DN128183
BJ41944,BJ41944
DE206784,CW131165
BY67746,BY67746
BZ33303,BZ33303
EF230444,EF230444
BY525196,BY525196
EH445570,EH445570
EH649357,EH649357
CN45396,AA111462
EH1122420,EH1122420
BR147301,BR147301
DR108830,DR108830
ES13131,ES13131
CA124955,CA124955
EH921146,EH921146
DL204454,DL204454
BY493396,BY493396
CF8485,CF8485
BN192437,BN192437
DP37462,DP13090
DE289720,DL216159
EH697190,EH568395
BB88942,BB88942
CW749468,CW749468
EH820766,EH820766
