globalID_A,globalID_B
BY530028,BY10052
BY527776,DB171625
DB186674,DB186674
EH1316870,EH1316870
BP51944,BP51944
BY151960,BY151960
BY551551,BY551551
AJ17212,AJ17212
BH148364,BH148364
DB289692,DB289692
DB209847,DB69428
BH6503,BH6503
DB176852,DB145920
DL251423,AX55737
DZ56302,DZ56302
DY16420,DY16420
BY236638,BY236638
BY638509,DB193944
AA191487,AA191487
BH60690,DL72827
EL28028,EL28028
EC14970,EC14970
DB67401,DB67401
DB226450,DB226450
DW66211,DW66211
BY372994,BY404626
CG143335,CG143335
DL91376,DL91376
BY57908,BY57908
BE213282,BE213282
DL189911,DL189911
DL77797,DL78296
CN98682,CN98682
BC62925,BC62925
DB49321,DB60799
DH17156,DH17156
DL172573,DL172573
DL198697,DL198697
DL221209,DL221209
DS100491,DS100491
EN39269,EN39269
DB232628,DB232628
BY335869,BY565219
EH585351,EH585351
BY515096,BY515096
BY723495,BY723495
CS28447,CS28447
EH739450,EH739450
AN126635,AN126635
BY53323,BY300601
DB304032,DB167578
EH747889,EH1174878
DB243887,DB235779
BW57225,BW57225
DL230261,DL230261
DB243508,DB237181
DA50942,DA50942
DW79972,DW79972
BY626943,BY241814
AN227595,AN227595
AG41496,AG41496
DL148593,DL159037
EH364316,EH364316
CG26030,CG26030
CG118687,CG118687
DB89630,DB89630
DE309051,DE309051
BH152343,BH152343
AA144911,AA144911
BR45261,BR45261
AR16012,AR16012
DL263392,DL263392
BM61425,BM61425
DB128461,DB128461
CS20276,CS20276
DB233852,DB233852
BY396679,BY514935
DL256640,DL256640
DB206031,DB115427
BY69826,BY97529
BY732200,BY732200
DB242096,DB242096
DL214829,DL214829
BY361026,BY361026
DE240433,DE74866
BE309955,BE309955
DB144084,DB114130
BY572782,BY253114
BL385307,BL385307
CG114255,CG114255
BS6734,BS6734
AN230245,AN230245
DB119814,DB119814
DL93775,DL93775
DE326645,DE326645
DL217530,BY360221
BJ41963,BJ41963
DL214942,DL214942
EN58587,EN58587
DB268170,DD77392
BY689798,BY689798
BN194455,BN194455
DT85162,DT85162
DB221453,BY267448
DL237003,DL237003
DT145187,DT145187
BY67746,BY67746
AX71812,AX71812
CG140830,CG140830
BY525196,BY525196
BR171006,BR171006
CS14711,CS14711
DE86423,DS32841
DB107734,DB67491
DB219486,DB219486
DB182074,DB182074
BE88695,BE88695
DB9462,DB9462
EH1128123,EH1128123
BY514730,BY514730
ES13131,ES13131
CG106417,BP40920
DB194335,DB228754
BY33947,DL70220
CG10880,CG10880
DW9993,DW9993
AK154994,AK154994
ER35720,ER35720
BY594386,BY275012
DB61653,DB252747
CJ155041,CJ155041
DT38579,DT38579
DB247723,DB281545
DL163925,DL163925
BY97567,DL55427
CN42808,CN35356
BY722506,BY722506
DB257953,DB257953
DA52132,DA54404
DL176050,DL166341
AA12646,AA12646
AL168201,AL168201
BM74817,BM74817
AT2856,AT2856
AX57450,DE201045
BY634119,BY634119
BH106487,BH106487
BY686583,BY686583
DB60636,DB38511
CA65294,CA90685
DB169160,DB169160
AA97132,AA97132
DB189321,DB165183
CN27277,DE119336
ES18690,ES18690
BY466465,BY212442
BY179713,BY15114
DL184707,DL184707
EH866775,EH866775
EB2943,EB2943
DA107762,DA107762
EF17237,EF17237
DB153840,DB153840
EB65191,EB65191
BY278731,BY50262
DB171305,BY351804
EH829463,DH52325
BP19270,BP19270
BY634601,BY634601
EA2075,EA2075
EB21766,EB21766
DL180540,DL180540
DB243572,DB243572
BY181708,BY428920
DL248607,DL267654
BY574021,BY382824
CA39447,DL279352
BY382514,BY404915
DL261065,DL261065
DL202561,DL202561
DA119704,DA119704
BY636820,BY636820
BB51760,BB51760
CG74349,AB27374
DE273539,DE273539
CB67624,CB67624
CG64654,CG64654
AX57019,AX57019
AA114879,AA114879
AG42087,AG42087
DA36452,DA36452
BY404425,BY502533
BM25593,BM25593
BJ27089,BJ27089
BY587561,BY587561
DL273155,DL273155
AA59653,AA103068
AA43529,AA43529
DE186982,DE186982
DL146308,DB67018
DB12742,DB43922
BY571123,BY498456
DL173912,DL173912
DB259645,DB95792
CN75514,CN75514
EF17053,EF17053
BY532552,BY532552
CN68331,CN2186
DB257256,DB244639
AG57419,AG57419
DB270343,DB269602
DT120216,DT120216
DB110104,DE221193
CA12896,BN189625
BY384538,BY348175
EH1271350,EH1271350
DL198087,DL198087
BY538632,BY538632
BY719768,BY530034
DL207853,DL196578
DX31172,DX31172
DB263927,DB263927
BH91007,BJ2552
DB206705,DB206705
BP27499,CG83538
BY194126,BY175848
BY372432,EH523367
BE272891,BE272891
DE245107,BY509603
CJ116400,CJ116400
BY392580,BY392580
DB224072,DB224072
DB48890,DB48890
EH557133,DT99043
AG32336,AG32336
BY620781,DE98822
AN194131,AN194131
AX6117,AX6117
BY313435,BY596954
DB196637,DB196637
EB68360,BH128484
BY29483,BY449120
DP41515,DP41515
DL175206,DL175206
CB16992,BA9989
BM52167,BM52167
AN20942,AN20942
CA47322,CA98729
BY333629,BY333629
DL236328,DL236328
DB284759,DB284759
BY459905,BY9915
DR48426,DR48426
EH163216,DL169710
DL265538,DL265538
AX53493,AX53493
CN75934,CN75934
DA113709,DA113709
BM65590,BM67215
DB244892,DB244892
BA15657,BA15657
BC37361,BC37361
BC15023,BC15023
DB222002,DB222002
EA9757,EA9754
CG115722,CG154086
EH688075,EH688075
BY53046,BY460011
DL170866,DL170866
BY477183,BY477183
DB226877,DB226877
BL283169,BL283169
DB233869,BY351804
CA104445,CA104445
DB94260,DB127625
DL20889,DL61936
BY707956,BY392053
DB99269,DB99269
DL208541,DL208541
DB265836,DL240764
DP31366,DP31366
BY391971,BY391971
BH124467,BH60894
BY333498,BY413966
BY677045,BY677045
CN88415,CN88415
EB14878,EB14878
ES28136,ES28136
DB229491,DB229491
EH1316635,EH1316635
DB246477,DB246477
CG111744,CG43697
DB306913,DB306913
EH1093929,EH1093929
BH102102,BH102102
BY244509,BY130969
AB8599,AB8599
CG71177,CG71177
DL152880,DL152880
CG92971,CG147442
AN68969,BE113040
BW58195,EH1024987
BY582279,BY582279
BY505409,BY588302
AA173842,AA173842
DE217331,DE201038
BN71907,DN94463
DB198926,DB212065
BR162895,BR162895
BY627906,BY627906
BY657962,BY657962
BY667243,BY667243
DB219233,DB219233
BY257097,BY27691
EF88320,EF88320
BY714663,BY714663
DL99359,DL176388
EC4968,EC9060
DB9942,DB76835
BY393671,BY393671
EC18966,EC18966
AA152450,AA146769
BJ12712,BJ12712
AN175167,AN175167
DB247356,DB247356
EH1127940,EH1127940
CG72945,BH169709
EF57739,EF57739
AA199058,AA199058
DL164831,DL164831
DB135677,DS69044
BY550950,BN352563
DL130829,DL91745
EL23593,EL23593
CN9692,CN9692
ER15007,ER15007
BY591720,BY591720
CJ189712,CJ189712
EN25836,EA13468
DE322127,DE322127
BY191085,BY153961
DL133328,DL165152
BY714645,BY714645
EB66732,EB66732
CN86516,CN88844
BY379441,BY379441
AA149371,EH743348
DA121556,DA89412
BA11802,BA11802
BM55591,DG41766
EH1027469,EH1027469
DB98383,DB114434
DB308185,DB288102
DB229704,DB229704
BY526410,BY526410
CN51760,CN51760
DB158169,DB158169
BY635864,BY635864
BY369175,BY369175
BW38185,BW38185
BY477070,BY209957
DB42558,DB42558
CB58407,CB58407
BJ24618,BJ24618
DA96503,DA96503
CA20610,CA20610
BY484565,CW701555
DB250128,DB250128
BY15016,BY43521
BY470387,BY470387
BY567831,BY463738
DT51392,DT51392
CG79047,CW470519
BY704038,BY704038
BH155358,BH155358
DB283386,DB283386
CN59243,CN59243
DH8960,DH8960
DB221068,DB221068
DB280490,DB280490
DB241301,DB202132
EH1318814,EH1318814
BY462199,BE138198
BL250705,BL250705
DS107221,DS22051
BY544151,BY540092
DS46264,DS6935
CG156147,CG156147
DB14608,DB21330
DB165478,DB164514
BY739476,BY739476
DS96350,DS96350
CG42944,EH1161355
DB189161,DB114728
BY451369,BY451369
BM49501,BM49501
BY97359,BY97359
AW150575,BY534031
EH640174,EH640174
CG73149,CG73149
DL230044,DL230044
BY677877,BY677877
DE300599,DE300599
DB144831,DB81417
EH507712,EH386310
CA82842,CA82842
ER18908,ER18908
DB222979,DB222979
AN78267,CA120550
BY538072,BY538072
BY517355,BY517355
BY403751,BY403751
BN371718,AK99316
CS35464,CS35464
BY460800,BY449120
DB168792,DB140940
BN324825,BN324825
DB18799,DB291041
BH19380,BH19380
DA67240,DA67240
DB245931,DB245931
BY126454,BY297634
AL244559,AL31780
DL181923,BP40920
DB210967,DB137404
DB37845,DB37845
DL88121,DL88121
DE175564,DE175564
AD31249,AD31249
DS75688,DS113449
AN228269,AN228269
BN90400,BN90400
BY367529,BY367529
BY95896,BY351673
DE291085,DE291085
BY542202,BY542202
AX9055,DT76541
DE311540,BY631711
DL232903,DL232903
DB235434,DB234406
BY391044,BY391044
BK12141,BK12141
DB274558,DB247863
DL113806,DL84959
BY669267,BY669267
DE249591,DE250739
DW43285,DW43285
DT142240,DT142240
BY647751,BY458606
DB179405,DB179405
BY662045,BY662045
DW28113,DW28113
EH683813,EH683813
BY665121,BY665121
ER9722,ER9722
EA10545,EA10545
CS11677,CS11677
EH775110,EH906916
DS30284,DB324546
BH180203,BH180203
BY338916,DL183941
CS13211,CS13211
BK23194,BK23194
DB291053,DB291053
DB139296,DB139296
DL85011,DL85011
CN53513,CN53513
AN2389,AN2389
DB174541,DB257866
DT12425,DT12425
DL188871,DL155644
EH598457,DE172574
BY532163,BY532163
DB208136,DB208136
DB296929,DB296929
BC54982,BC54982
DB58236,DB58236
DL188709,BY498845
BY707104,BY707104
DE218150,DE218150
BR142188,BR113000
DB194694,DB194694
BW27358,EH269238
BN339855,BN339855
DL229843,DL229843
CG121913,CG121913
DL200509,DL200509
BY611253,BY611253
DB67363,DB20341
DE249812,DE249812
BY403067,BY403067
BY548862,BY548862
DB72436,DB73159
DB37149,DB37149
DB243508,DB313477
BY367924,BY545031
BY561006,BY561006
DB180356,DB158985
DB253591,DB45828
DL190561,DL198758
AN64436,AN64436
BY550941,BY550941
BR153533,BR153533
DP17347,DP17347
BH139424,BH139424
BK33127,DB196567
AA133298,AA133298
BH148650,BH148650
BY588307,BY588307
DB257256,DB257256
ES19016,ES19016
CJ48462,DB107555
DL156477,DL156477
AG34464,AG34464
EA18391,EA18391
DE115184,DE26023
DB210802,DB210802
DE290491,DE290491
DB261492,DB261492
CG114812,CG114812
DS41188,DS41188
DL256039,DL256039
BR20471,BR20471
EH709798,EH709798
BY507121,BY364308
DA120052,DA120052
BR98178,BR98178
EH628180,EH628180
DP24306,DP24306
DL242496,DL242496
CA90184,DB119228
DE265324,AX37496
BK38745,BK38745
DB157369,DB157369
CS10500,CS10500
CG45946,CG45946
DL252217,DL210151
BY5814,BY421953
AX26280,AX26280
AG58009,AG58009
DB212124,DB212124
BY403908,BY362631
ES24548,ES24548
DY26203,DY26203
BR222210,BR222210
BY207094,BY207094
BY603492,BY603492
BY325433,DB171625
CB20860,CB14237
AG59135,AG59135
AN130525,AN103054
BY594112,BY456074
ES22702,ES22702
CA119972,CA119972
DB281620,DB281620
BY268606,BJ29186
CG46462,CG72043
AG47634,AG47634
DL167612,DL167612
AX20392,AX20392
BR99716,BR99716
BY503199,BY503199
BH4449,BH4449
AL219206,DE288850
BY603723,BY603723
DS91852,DS91852
DA59280,DA59280
CG97929,CG97929
DS56960,DS56960
DE308340,DE308340
BM74423,BM74423
DL201743,DL201743
DL174471,DL174471
BY206281,BY131102
DY20143,DY20143
BH97036,BH190436
BY712338,BY712338
CG132280,CG137785
DS86722,DS86722
CX15139,CX15139
BN450701,BN450701
DY11167,DY11167
AN177018,AN177018
BH164564,BH164564
BE69341,DL147346
CS25171,CS25171
DT100686,DB182279
DB289638,DB289638
BY205873,BY118562
DL220520,DL220520
EH960354,EH960354
AA133577,AA133577
AX54289,AX54289
AA197328,AA197328
BM43873,BM43873
CG89753,CG98876
BY457731,BY457731
BY263969,BY434604
BY573452,BY402353
DB191779,DB191779
DL76263,DL78296
DL129328,DL82714
AA111784,AA111784
DB202132,DB186061
DA111398,DA111398
BY273955,BY273955
EB54422,EB54422
DB148161,DB88871
DB246575,DG52876
BY553935,BY553935
DS101207,DS101207
DS38405,DS38405
DL63530,DL63530
DA31876,DA31876
DY35497,DY35497
DL243792,DL243792
DL81237,DL81237
BY636913,BY636913
BY246163,BY260365
EN48159,EN48159
BY730023,BY730023
BC28591,BC28591
BE291744,BE291744
BE281634,BE281634
AX54495,AX54495
ER31511,ER31511
DL209736,DL114868
AA153458,AA151381
DL217409,DL217409
DS113598,DS113598
BY243581,BY185647
