globalID_A,globalID_B
CW758081,CW106106
DR81938,DR93149
BY551551,BY551551
CW1050993,CW1207974
AA188491,BH182114
EF119540,BJ13569
AA189574,DP27040
BY122059,DZ63008
DN93603,EH431830
EH1219523,EH1219523
BH6503,BH6503
DL242076,DL242076
EH646991,BF13511
BJ18961,DB268682
CZ63091,BL161844
EH570209,EH405290
AM37972,AN52092
EM71250,AF28718
DR111401,BR181385
AB25016,AE17255
DB60959,DB60959
CG177565,AA140751
DR68908,DR68908
AL283971,AL283971
CW629462,AA107809
DB206026,CW975134
CC116423,BN429385
CH54839,CW381067
DB316252,DB95294
EF86109,DA88065
EN69441,EN69441
CJ145457,CJ145457
CW558045,CW613922
CS14102,BL452978
CW884962,EF159127
EC16065,EC16065
BY99203,BN157951
CW762165,CW172263
BE272647,BE262110
CG160762,EH764246
AL346165,AL167817
CW686133,BZ36519
EH854439,EH854439
BY309282,DD78451
CW972079,CW815830
EF119040,AL169111
AL279828,EG44459
EH116383,DE200751
EH405491,EH662837
BN378858,BN367966
CW693285,AS44514
DH37729,CN61179
AM48399,BD12034
DE119609,BN358757
EH285265,EH316924
EH194386,CW515155
CA50488,AH7788
BE281276,CM59685
BR192583,BR140083
DT106904,AN168168
CW710812,CW602202
DE183133,DE117426
AE16597,CN45217
BH177634,BH92929
EH490290,EH642965
BD96200,DB226610
CL48076,CY21303
DB333241,DB86036
CL48076,EH764246
EA35184,EA35014
CG167067,DD96032
BL217345,EH230527
EH1040533,EH1040533
DD113887,DD145423
AL42015,AL48962
CL49610,BN293437
CJ159916,CJ159916
AP95942,BC67419
DB206031,DB115427
AL101285,AL101285
CW1123554,DS99879
BE263713,BE263713
BE247165,DL205805
EF176929,CN30399
BK10331,CW184004
DS117646,BL119722
BN317657,BM26019
BY433214,BD99588
EP59696,AL150442
ER27172,BN239361
BR126750,BE199027
BL385307,BL385307
DL240762,AP4941
CW365823,BP27446
AN38169,AN155815
BL280511,CJ134598
DD123481,DD123481
EH860266,BJ47875
EA20728,EH422695
CW517959,CW501481
AR5867,BD69812
CW824081,CW1370224
BY689798,BY689798
CM54342,CM59927
BJ25701,BJ25701
DZ47457,CW453847
EH515748,DE218898
BD89443,BD89443
DR97753,DR97753
BG7935,BG7935
CW575864,EH576962
CJ32494,BH86355
BY469121,DN111057
EH1239589,CC25297
BL261971,BL263370
EH280124,EH230527
DW36346,DW36346
AA60664,BL438651
ES14361,CG106828
DL127851,CW843609
EH370781,EH162441
DE177691,BH117188
DT29550,BC30516
EH639623,ER32023
CW893134,CW453847
AD22153,DD147700
CW270572,CW1231309
CW275096,BC9089
DE113618,DE164778
DS76128,EH497724
BY353127,BY102013
DL92800,DL92800
BE271852,AS73674
EH437125,BP29977
DA35367,BM73255
EH105759,EH332023
AL254970,AL99280
CZ107629,CG152936
DB95499,BD48703
CW498346,CW491199
AA113631,BY327461
EP69790,EP90637
DE113391,BE208676
AA210000,AA69260
CZ37587,CW309286
DR25408,DR25408
BL127802,DA10217
CW440888,CW531572
CW917113,CW807933
CC77777,CN62636
AF12193,DN72617
AL32880,AL32838
BB63551,BY198581
BN553104,CJ131524
AX57450,DE201045
DE207257,BL519779
AA189175,DE99356
EH670280,DE81715
CW72641,CW316607
EH419376,DS68139
BR136456,CB59773
BE395199,BE395199
DN125206,DS36776
AS11563,EH249917
CW454757,CW173974
ES18690,ES18690
EP77188,AN146282
BL391927,CW724104
EH620808,EH224964
EA34901,AN159237
BL498496,BL532233
AL215435,EF73706
DS72058,BE174423
CW668832,CW848645
BD99432,BD58659
DL180540,DL180540
CR21169,BC67458
DX45629,AR5782
CW778486,AL326332
BL476954,BY377296
BL334866,BL334866
EH641878,EL58969
CG157446,CW1089245
CW783277,CW1073079
EH346486,EH1008306
CW908668,CW879595
EH436536,AL155616
AM25974,BD12034
CW213470,CW613922
CW702002,CW303830
DN142787,EH528673
CW806599,CW806599
EH741121,EH395013
CD23101,CD23101
BN240634,DE86624
CW884962,CW1173415
BY398200,BY27454
BL405809,EH1085470
DJ12367,DJ12367
EH106404,EH247373
BB99804,EH884343
EH787662,EH787662
BH11365,BH110749
EF200326,EF186635
DE98703,DE178122
CW855896,CW855896
BN354411,CD26826
CW1176083,CW960015
CW424565,CW795339
CW931171,CW848645
AN136043,AM78765
EH280682,EH388244
BS11412,CC25749
AD26014,AD30160
AS73786,CW503452
AL78362,EF106228
EH484581,BC67419
CW1121713,ER34345
BY230864,AL103378
EF115442,CW556259
CJ135756,BY457788
DL211304,BL422292
EM61971,CW703973
AL240720,BE219529
CW457984,BR3520
BB103015,DW43224
AK14283,AK14283
BE314225,BE314225
DE87704,DE139900
BZ43113,BL287786
EH639090,EH639090
BP19820,CP27229
CS22553,BN214288
BL127802,DN72617
EF166295,EF166295
EH415605,EH693104
EH348366,EH415084
BE320842,CW503045
EB34098,DT155471
EH400546,EH502819
ES21395,AM85451
EB68360,BH128484
EN74533,EH769815
EH1193120,EM78255
EH863439,EH280558
CB16992,BA9989
BM52167,BM52167
AM62502,DH36384
EH785592,EH529130
EH132937,EH138719
CW1157931,CW900203
EH695754,DE92770
BP62854,EH392472
