globalID_A,globalID_B
CW758081,CW106106
DR81938,DR93149
AM100162,AM100162
BY551551,BY551551
CL51754,CW1062548
CW1050993,CW1207974
AA188491,BH182114
AA189574,DP27040
BY122059,DZ63008
DN93603,EH431830
EH1219523,EH1219523
BH6503,BH6503
DL242076,DL242076
DE275792,AX55080
BN288037,DL124411
CW252880,CW721741
EM71250,AF28718
DB60959,DB60959
BL293491,BC42004
DR68908,DR68908
AL283971,AL283971
BE329908,BE141599
CW629462,AA107809
CC116423,BN429385
CH54839,CW381067
DB316252,DB95294
EN69441,EN69441
CW486914,BH106405
CJ145457,CJ145457
CW558045,CW613922
BH5759,BL182975
AM12221,AW77463
CY27525,BY380671
DE108173,BY270792
CS14102,BL452978
EC16065,EC16065
CW762165,CW172263
BE272647,BE262110
CW686133,BZ36519
DA101146,CS30949
EH854439,EH854439
BY309282,DD78451
CW227960,CW331335
CW972079,CW815830
EH890578,EM108788
CA92631,CW75567
EH116383,DE200751
EH405491,EH662837
BN378858,BN367966
CW123085,CW154717
EH194386,CW515155
CA50488,AH7788
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
DE183133,DE117426
AE16597,CN45217
BH177634,BH92929
EH490290,EH642965
DB333241,DB86036
EA35184,EA35014
CG167067,DD96032
BL217345,EH230527
EH1040533,EH1040533
DD113887,DD145423
AL42015,AL48962
CL49610,BN293437
CJ159916,CJ159916
CW639155,CW469837
BW4329,EH169254
BE263713,BE263713
BE247165,DL205805
EH887753,BY478908
DE76598,DE76903
BY433214,BD99588
ER27172,BN239361
CW862954,CW759395
BL385307,BL385307
CC125878,CD16201
DL240762,AP4941
CG34019,AW45408
CJ165257,BJ28291
BN466448,CS37240
AN38169,AN155815
DD123481,DD123481
CW517959,CW501481
CW824081,CW1370224
BY689798,BY689798
CM54342,CM59927
DL182133,AP71063
BD89443,BD89443
DR97753,DR97753
BG7935,BG7935
AN161320,BW55571
CJ32494,BH86355
EH1239589,CC25297
BL261971,BL263370
DD6093,CN5354
EH280124,EH230527
DW36346,DW36346
AA60664,BL438651
ES14361,CG106828
EH370781,EH162441
DT29550,BC30516
EH887753,BY20295
CW893134,CW453847
CW270572,CW1231309
CW275096,BC9089
DE113618,DE164778
DL92800,DL92800
CW81598,CW179470
BE271852,AS73674
EH105759,EH332023
AL254970,AL99280
CG106417,DP36066
CZ107629,CG152936
CW498346,CW491199
AA113631,BY327461
EP69790,EP90637
CJ10702,CP24437
AA210000,AA69260
DR25408,DR25408
CW440888,CW531572
AP50741,DB139738
CW917113,CW807933
DK31805,BN239785
AF12193,DN72617
AL32880,AL32838
BN553104,CJ131524
BF40563,BN327023
AX57450,DE201045
BR136456,CB59773
BE395199,BE395199
CW1001164,BY335235
EM107290,EM107290
AS11563,EH249917
CW454757,CW173974
ES18690,ES18690
EP77188,AN146282
BN282581,BN457767
EA34901,AN159237
BL498496,BL532233
AL215435,EF73706
BY265178,BY426715
EH1228616,EH604745
CW668832,CW848645
BD99432,BD58659
AT12294,DE116370
DL180540,DL180540
AC11739,AL134540
CB53352,DP44759
EB38685,EH622632
CW778486,AL326332
BL476954,BY377296
BL334866,BL334866
EH641878,EL58969
CG157446,CW1089245
CW783277,CW1073079
EH346486,EH1008306
CW908668,CW879595
AM25974,BD12034
CW213470,CW613922
BX15813,BP58302
CW702002,CW303830
CW835072,CW732607
DN142787,EH528673
CW806599,CW806599
DL247273,EP30087
CD23101,CD23101
BN240634,DE86624
CW884962,CW1173415
BY398200,BY27454
DJ12367,DJ12367
EH106404,EH247373
BB99804,EH884343
EH787662,EH787662
BH11365,BH110749
DE98703,DE178122
CW855896,CW855896
BN354411,CD26826
BE332339,EL80932
CT30695,AL112656
CW1176083,CW960015
CW424565,CW795339
CW931171,CW848645
AN136043,AM78765
EH280682,EH388244
BS11412,CC25749
AD26014,AD30160
AS73786,CW503452
AL78362,EF106228
BY230864,AL103378
EF115442,CW556259
BE195441,BL290404
AL240720,BE219529
CW457984,BR3520
BB103015,DW43224
AK14283,AK14283
DE87704,DE139900
BZ43113,BL287786
EH639090,EH639090
BL127802,DN72617
EF166295,EF166295
EH415605,EH693104
DB235761,AG35227
CG50551,AL239832
EH348366,EH415084
BE320842,CW503045
DL133583,BL103167
BL112012,BN133984
EH400546,EH502819
CM51928,CJ132319
EB68360,BH128484
EN74533,EH769815
CB16992,BA9989
BM52167,BM52167
AM62502,DH36384
EH785592,EH529130
EH132937,EH138719
AL169362,AL169362
DN41449,CN24581
CB69298,CB69298
DB150145,DS68139
CW704699,CW582593
CW539401,CW876823
BW51529,CL65717
EB75350,EB75350
CW887565,CW1220151
DL254223,DA94866
CW824623,CW824623
EH703951,EH149790
CW247713,CW674321
CW469444,CW472230
CN76262,BL519779
EH823960,CL31416
AN128412,AN128412
BY5723,EH169521
EH850463,DL236262
BN493179,BN493179
EH241876,BL433475
CW905926,CW253271
DA87354,BM58816
CG62334,CH20461
BP39837,CT22254
AM74133,EH22185
AN21310,AN62089
CW519896,DP40847
CJ165257,BE101888
CW1150257,CW1150257
EF6686,EF6686
DB198926,DB212065
AN77849,AN60514
AM96385,DB95918
