globalID_A,globalID_B
CW758081,CW106106
DR81938,DR93149
AA189574,DP27040
BY122059,DZ63008
DN93603,EH431830
EH1219523,EH1219523
DL237080,DD165810
CZ63091,BL161844
CW252880,CW721741
DB60959,DB60959
DR68908,DR68908
BE329908,BE141599
CW629462,AA107809
CC116423,BN429385
CH54839,CW381067
EN69441,EN69441
CJ145457,CJ145457
CW558045,CW613922
ES12234,DL70372
CW613612,AA132878
BE272647,BE262110
EF38231,DE113376
EN50049,EL36247
EH116383,DE200751
BN378858,BN367966
DH37729,CN61179
CW123085,CW154717
CW438707,CW340776
EH194386,CW515155
CA50488,AH7788
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
AE16597,CN45217
AH16932,DE116694
DB333241,DB86036
EH1040533,EH1040533
AL42015,AL48962
CJ159916,CJ159916
BW4329,EH169254
BJ10910,CW1026960
BN317657,BM26019
ER27172,BN239361
CW852414,CW1357394
BL385307,BL385307
CG34019,AW45408
AN74608,EH1234003
DD123481,DD123481
EA20728,EH422695
AR5867,BD69812
AN42578,EH475875
CW824081,CW1370224
EF167421,DB139313
BY689798,BY689798
CM54342,CM59927
DZ47457,CW453847
BD89443,BD89443
DR97753,DR97753
CJ32494,BH86355
EH1239589,CC25297
EH280124,EH230527
ES14361,CG106828
EH370781,EH162441
CW270572,CW1231309
DE113618,DE164778
DL92800,DL92800
CW81598,CW179470
CW498346,CW491199
AA113631,BY327461
DE113391,BE208676
AY30004,BE269235
AA210000,AA69260
CW917113,CW807933
DK31805,BN239785
AL32880,AL32838
EM107290,EM107290
CW454757,CW173974
EP77188,AN146282
BL391927,CW724104
AL215435,EF73706
DS72058,BE174423
BY265178,BY426715
BD99432,BD58659
CB53352,DP44759
DX45629,AR5782
EB38685,EH622632
CW778486,AL326332
BL476954,BY377296
BL334866,BL334866
EH641878,EL58969
CG157446,CW1089245
CW908668,CW879595
CW213470,CW613922
CW702002,CW303830
DN142787,EH528673
AK58633,DB158546
DE196532,AL279431
CW884962,CW1173415
BY398200,BY27454
BL405809,EH1085470
BB99804,EH884343
EH787662,EH787662
CT30695,AL112656
CW424565,CW795339
CW931171,CW848645
AN136043,AM78765
EH280682,EH388244
EH461127,EH554638
AD26014,AD30160
BY230864,AL103378
AW88567,AW151118
BE195441,BL290404
CW457984,BR3520
BB103015,DW43224
DT103618,CW472230
BE314225,BE314225
DE87704,DE139900
AL174964,CW342607
ED6446,CA39062
CS22553,BN214288
BL127802,DN72617
DN52146,DB147421
DB235761,AG35227
EH1193120,EM78255
CB16992,BA9989
AM62502,DH36384
AL169362,AL169362
CW908668,BZ22255
CB69298,CB69298
CW23027,ES8811
CW704699,CW582593
CW247713,CW674321
EH823960,CL31416
AN128412,AN128412
AS76957,BR162626
DS22118,BF2945
EH241876,BL433475
CP14020,DT28989
CW905926,CW253271
DK31805,DE166091
EH392334,EH741121
AM74133,EH22185
CW519896,DP40847
BL494708,BL183913
EF6686,EF6686
CW597799,CW710613
AN77849,AN60514
EH580335,DX39089
DC15903,EH167017
EH676960,EH247373
AL178691,AL176888
CW517329,CW1031628
BR72971,EH919673
BR79693,BC30516
CW783241,CW728904
CW640867,CW381167
BE270562,BE336290
BL450963,BL450963
DN130546,EH936288
DN74285,BN212254
CW173974,CW817551
BY384936,BY373322
CW1116818,DE319090
CC90061,EH245924
EH923210,EH923210
EH919288,CT43551
DB271050,DB271050
EL55773,BW54008
EH418323,CW592554
CW975643,CW244533
CW450375,CW1344592
CW768667,CW975225
AK129450,AK129450
AL255683,AL166446
CW633200,CW643657
EH236514,EH164748
EM104516,AG56103
CW125384,CW804661
CW495460,DY8413
BD87343,BD33028
CW1053962,AN132266
DE274205,CW380714
CT30695,DN94472
ER40003,DS94105
EF141831,EH780233
BY81022,BY290319
CC134300,BY303065
BZ44311,BZ44311
EH507712,EH386310
CG183010,CG84574
CW543117,EH391668
EH639045,EH639045
CW106463,CW1092344
BL342485,CW690742
EH816383,EH561440
EH282030,EP47774
CW637095,CW305052
EP64728,EL38874
BE32359,DN27636
EH538825,CW592554
CW370361,BL45917
EF204317,CE27421
CW724721,CW387493
CW1081190,CW1134700
DD95751,DD186768
EM42871,BL161298
EH564290,EH955043
DS63747,DS64825
DT144694,DT144694
CW841079,CW732623
CW731420,CW837183
BY715818,BY220267
EF90180,EF185093
CA66987,BY392382
BB93530,BB93530
EH132050,EH132050
CC59391,AL126049
EL55483,EF80389
CW574525,CW384670
EH454156,CT33344
AT27370,AT27370
DJ7937,AN85506
DD36341,BL278537
EG29410,DB34496
BE390268,EH478771
CW1015363,CW1035390
BH64981,BH52952
AN161320,AX57830
BR68087,AN98838
BL493985,BL493985
CG121913,CG121913
EH676087,EH676087
DD55908,CW377063
CW556259,EH643039
AA133001,DL269805
CW319195,CW894716
BL193507,DY17996
AN195247,BA17543
AG30207,AG30207
EH833060,EP71915
CW1078292,EH237430
CW870708,DD111816
EF184763,EF184763
CW688785,BK43264
CW184648,AL77201
EH830580,EP102555
BY510590,BY614039
EH1003422,EH1003422
BY514143,BY544726
CW692815,CW721390
CW894272,CW894272
BR63508,EF40558
EF141831,AN52777
