globalID_A,globalID_B
CW758081,CW106106
DR81938,DR93149
AM100162,AM100162
BR124940,AX71690
DS66719,EH130659
BY551551,BY551551
DH33738,EG35557
CW1050993,CW1207974
AA188491,BH182114
BL521995,AL255328
EF119540,BJ13569
AA189574,DP27040
BY122059,DZ63008
DN93603,EH431830
EH1219523,EH1219523
BH6503,BH6503
DL242076,DL242076
EH646991,BF13511
CB70187,AL200357
CZ63091,BL161844
BJ37967,BE107303
AM37972,AN52092
CW252880,CW721741
EM71250,AF28718
DB60959,DB60959
BL293491,BC42004
CG177565,AA140751
DR68908,DR68908
AL283971,AL283971
CW629462,AA107809
CC116423,BN429385
CH54839,CW381067
DB316252,DB95294
EN69441,EN69441
CJ145457,CJ145457
CW558045,CW613922
ES12234,DL70372
CW1024308,AW98653
CS14102,BL452978
EC16065,EC16065
BY99203,BN157951
CW762165,CW172263
EH294190,AX29272
BE272647,BE262110
CG160762,EH764246
AL346165,AL167817
DA101146,CS30949
EH854439,EH854439
BY309282,DD78451
EF119040,AL169111
EH116383,DE200751
BN378858,BN367966
CW693285,AS44514
DH37729,CN61179
EH134705,AW103591
BE281276,CM59685
BR192583,BR140083
DT106904,AN168168
CW710812,CW602202
DE183133,DE117426
AE16597,CN45217
AH16932,DE116694
EH490290,EH642965
CL48076,CY21303
DB333241,DB86036
EA35184,EA35014
CG167067,DD96032
BL217345,EH230527
EH1040533,EH1040533
DD113887,DD145423
AL42015,AL48962
CW950856,CW780985
CL49610,BN293437
CJ159916,CJ159916
CW639155,CW469837
AL101285,AL101285
AL244569,CW771104
BE263713,BE263713
BN71138,BN48623
BK10331,CW184004
CG16769,DL174032
BY433214,BD99588
ER27172,BN239361
BR126750,BE199027
BL385307,BL385307
DR71917,AH12300
CC125878,CD16201
DL240762,AP4941
AN38169,AN155815
DD123481,DD123481
EH302433,EL31786
CW517959,CW501481
CW824081,CW1370224
BY689798,BY689798
CM54342,CM59927
EH515748,DE218898
BD89443,BD89443
DR97753,DR97753
BG7935,BG7935
CJ32494,BH86355
EH1239589,CC25297
BL261971,BL263370
EH280124,EH230527
DW36346,DW36346
AA60664,BL438651
ES14361,CG106828
EH370781,EH162441
EH887753,BY20295
CA96534,EF173239
EP36652,BL197078
CW270572,CW1231309
CW275096,BC9089
DE113618,DE164778
DH54636,CW623399
DL92800,DL92800
CW81598,CW179470
BE271852,AS73674
EH105759,EH332023
AL254970,AL99280
CZ107629,CG152936
CW498346,CW491199
AA113631,BY327461
EP69790,EP90637
DE113391,BE208676
AY30004,BE269235
AA210000,AA69260
AF12193,DA10217
AA210000,EH50468
DR25408,DR25408
BL127802,DA10217
CW440888,CW531572
AP50741,DB139738
CW917113,CW807933
DA100208,DA100208
AF12193,DN72617
AL32880,AL32838
AX57450,DE201045
EH670280,DE81715
BR136456,CB59773
BE395199,BE395199
EM107290,EM107290
EH495025,CZ63532
EH710264,EF91352
CW454757,CW173974
DX55761,AP80375
DE230305,AM74690
CW547958,EH525872
ES18690,ES18690
BY569775,CG41773
EP77188,AN146282
DN128596,AW183431
BN282581,BN457767
EA34901,AN159237
BL498496,BL532233
AL215435,EF73706
BY265178,BY426715
CW668832,CW848645
BD99432,BD58659
AT12294,DE116370
DL180540,DL180540
CW127815,DF19289
CW778486,AL326332
BL476954,BY377296
BL334866,BL334866
CW668186,CW563859
EH641878,EL58969
CW783277,CW1073079
EH346486,EH1008306
CW908668,CW879595
EH436536,AL155616
AM25974,BD12034
CW213470,CW613922
CW702002,CW303830
DN142787,EH528673
CW806599,CW806599
EF109217,AS96633
EH741121,EH395013
DL247273,EP30087
CD23101,CD23101
BN240634,DE86624
CW884962,CW1173415
DA89185,DE269401
BY398200,BY27454
DA77479,AA136962
DJ12367,DJ12367
EH106404,EH247373
BB99804,EH884343
EH787662,EH787662
BH11365,BH110749
EF200326,EF186635
CW855896,CW855896
BN354411,CD26826
CT30695,AL112656
CW1176083,CW960015
CW424565,CW795339
CW931171,CW848645
CW1369492,CW1344287
BS11412,CC25749
AD26014,AD30160
AL78362,EF106228
EH484581,BC67419
CW1121713,ER34345
BY230864,AL103378
EF115442,CW556259
CJ135756,BY457788
EM105022,EH331681
BN323252,CW684933
CW617186,DL143055
BB103015,DW43224
AK14283,AK14283
DE87704,DE139900
BZ43113,BL287786
EH639090,EH639090
EF166295,EF166295
EH415605,EH693104
DN52146,DB147421
DB235761,AG35227
CG50551,AL239832
DL133583,BL103167
CJ72546,BN416932
ES21395,AM85451
EB68360,BH128484
EN74533,EH769815
EH1193120,EM78255
CB16992,BA9989
BM52167,BM52167
AM62502,DH36384
EH785592,EH529130
EH132937,EH138719
EH695754,DE92770
AL169362,AL169362
CB69298,CB69298
CW23027,ES8811
DB150145,DS68139
CW313162,CW602026
CW539401,CW876823
BL216696,CW137807
BW51529,CL65717
EB75350,EB75350
CW887565,CW1220151
AL260922,EH861611
CW824623,CW824623
EH703951,EH149790
CW247713,CW674321
CW469444,CW472230
CN76262,BL519779
BY436493,DB161188
EH823960,CL31416
AN128412,AN128412
AS76957,BR162626
BY5723,EH169521
DN108015,EH807223
BN493179,BN493179
