globalID_A,globalID_B
EL63165,EL63165
CW480894,CW305511
EH985577,EH985577
EH468738,CE55727
DL239263,DL239263
BL501032,BL501032
CW586666,CW586666
EH975324,EH975324
EH368005,EH368005
DB289692,DB289692
EH970630,EH970630
EH870816,EH870816
AF25756,AF25756
EF122505,EF122505
EH1219523,EH1219523
AL116745,BR23557
CG138041,CG145830
BK53618,BK53618
CC122092,CC122092
EL6179,CW1063943
CW105380,CW1163158
AA191487,AA191487
CA20527,AS87974
AL287574,AL287574
CW637115,CW637115
AW29846,AW29846
EH680633,EH680633
CJ129570,CJ129570
EF7716,EF7716
CG27358,AW92758
EH378084,EH578641
BW57108,BW57108
EH831302,EH831302
CJ145457,CJ145457
DS85923,DS3953
CW1318429,CW1318429
CW743111,CW743111
CA20527,AW158497
EH1192948,EH1192948
BW6884,BW2836
CW1024102,CW1033881
DL228620,DL228620
DR93305,DR93305
CW1152135,CW1152135
AN88841,AN88841
CW1317769,CW1317769
BL101080,BL101080
BK47629,EM111558
BN63837,BN63837
AL49294,AL49294
CT6785,CT6785
BN419332,BN419332
BR212581,BR212581
CW1260064,BR163236
BM5906,BM5906
AP67731,AP67731
EH958627,EH958627
CW999218,CW999218
DW42499,DW42499
DE119609,BN358757
DE312178,DE312178
BJ8688,CZ12331
AW93171,AW93171
EL63388,EL63388
CW82777,CW468532
BW46209,BW46209
AL56290,AL56290
EH1076626,EH1076626
AN184695,AN184695
BL406265,BL406265
AP97067,AP97067
EF120678,EF120678
EH593681,EH593681
DD114988,AG35227
AA144911,AA144911
CW204768,CW204768
CK2833,CK2833
BY582527,BY582527
BR115775,BH135289
CM12228,CM22891
BH86063,BH86063
EF31268,EF31268
BY470346,BY228423
EA31502,EA31079
AF11596,DR45033
AN199002,BN322055
BE323572,BE323572
BB91929,BB91929
CW266516,CW266516
DN160666,DN160666
EP45233,EP102555
CE41677,CE41677
CW736291,CW736291
AK34619,AL53834
DW19821,DW19821
DE326645,DE326645
CW11877,CW56931
BY610377,BY610377
BN115742,BN200208
EH346403,EH346403
EH908479,EH908479
AK109695,AK109695
EL90728,EL90728
BY598237,BY598237
BD89443,BD89443
EH784578,EH931609
BL391927,EH1024710
CC123766,EH565523
CW329388,CW329388
CY29652,CY29652
DE272432,DE272432
BE283515,BE283515
CW615215,CW866532
DH56057,DH56057
BW56516,BW56516
BL407395,BL407395
CW138384,CW138384
DE97259,DE97259
AJ42659,AJ42659
CW1172527,CW1172527
DR7348,DR4731
EH960557,EH763869
AB13997,AB13997
AW98995,AW105624
BY243089,BY243089
CW677069,CW735921
BN193926,BN9292
ER35720,ER35720
BN452330,BN289775
BN413811,BN413811
BE251804,EH502296
EH977127,EH977127
BE125904,BE246623
CW234986,CW234986
AL138789,CW410103
CW333646,CW728982
EH54721,EH54721
CN42808,CN35356
BN476704,DL218790
CW1122349,CW1122349
CY18146,CY18146
BB11026,BB11026
AL38082,AL38082
BP30494,BP30494
CL31997,CL31997
BH184408,BH184408
AM107898,AM107898
CW93323,CW82777
CW564207,CW699707
CW1155901,DD115189
DT67849,DT67849
AK113591,AK113591
AE16727,AE16727
CW1127268,CW1049602
BE39238,BE39238
CW829152,CW848529
CW186259,CW305511
DW69718,DW69718
BY634119,BY634119
AK130889,AD17676
CW272018,CW272018
AL183305,AL183305
EG51000,EG51000
EH309570,DE84578
CW1050702,CH44943
BW37291,BW37291
DL283920,CW885514
BE429682,BE429682
CJ134789,CJ134789
AE14506,AE14506
EF186740,EF186740
DE254031,DE254031
BY403002,BY398575
BE74376,BE74376
BN149072,BN313603
DL91646,AN3315
CW1293495,CW1293495
BZ69598,BZ69598
AN104154,AN104154
EN15113,EN15113
BL334866,BL334866
CJ35795,AL112656
CG136464,EF173773
BN129299,EA51366
BY636820,BY636820
DL193638,DL193638
EH313770,EH313770
EH825965,EH825965
DE273539,DE273539
DE198962,BN260898
ES22401,ES18351
DE62671,DE75780
AX57019,AX57019
DD213967,DD213967
DL255744,DL255744
BR22957,BR22957
CW816453,CW1014351
EH1128142,EH1128142
EC24380,EC24380
EH312208,EH353088
DA36452,DA36452
EH148252,EH148252
EF3524,EF3524
BY587561,BY587561
DL273155,DL273155
CW946441,BN308788
EH794859,EH794859
CW529489,CT39186
BN408298,EM111558
CW142482,CW142482
CG157132,CG157132
CW129362,CW129362
CN75514,CN75514
BL443523,BL443523
BR130302,DZ53713
EH864237,EH864237
DE117832,DE117832
AL232527,AL232527
BY388626,BY388626
EH457112,EH457112
BL294417,BL294417
DX21470,DX21470
BL390110,BF24738
CZ83696,CW879595
EP85515,EP85515
CW998553,CW998553
AL90892,AL90892
AL51675,AL51675
CW773235,DS99879
BN306933,BN306933
DX22458,DX22458
EP102069,EP102069
BN537574,BN537574
AB43489,AB43489
EH1046372,EH1046372
DB267865,DB41607
BD137466,BD137466
AL162978,BR126319
AW56797,AW35019
EH969155,EH969155
BL509977,BL509977
DJ7937,EG41694
EL81857,EL81857
CW472246,CW68028
DX24888,DX24888
AL68326,BN358757
BD142297,BD142297
EF166295,EF166295
CW908470,CW476140
CW778413,CW778413
CG120934,DZ44599
DB235761,AG35227
DB48890,DB48890
CZ27812,CZ27812
DD123055,DD123055
DB196637,DB196637
EH43014,EH43014
AN25625,AN62982
EH1204208,EH1204208
BM52167,BM52167
BY396818,BY396818
DL265538,DL265538
DS110419,DS110419
CA67865,CA67865
CJ10043,CJ10043
AL231013,AL231013
CW1164282,CW1164282
EH624519,EH889205
CW90766,CW90766
BC15023,BC15023
BN447517,BN447516
AL263252,AL263252
DB222002,DB222002
EH1145909,EH1145909
CW824623,CW824623
AL274324,AL274324
EH778070,EH671179
CW710429,CW710429
BY624495,BY624495
DB13442,DB70156
CW620832,CW620832
BY677045,BY677045
EH825348,EH825348
EH441616,EH621272
CJ165257,BE101888
CW57532,CW57532
BL323810,BL323810
CW121371,CW95885
BN265187,BN265187
DX23799,DX23799
CW360663,CW525628
CA105086,CA105086
EF6686,EF6686
DE272675,DE272675
BY542865,BY542865
AN177274,AN115812
BD103266,BD103266
CW1199842,CW571746
CG4830,BX15717
CW962865,CW498170
DB219233,DB219233
CW1062035,CW1062035
CW188177,CW188177
BS7867,DN41692
AA97549,DL85713
EF18347,EF18347
EH973826,EH973826
BY302529,BY300904
EM31722,EM31722
BY491161,EH661631
CC62552,CX16249
DT79107,DT79107
BL420138,BL420138
BE338772,BE338772
CW805747,CW805747
BL451592,BL451592
CW959542,CW959542
DT40570,DT40570
EP3292,EP56142
DL252211,DL252211
AS90668,AS90668
CW882037,CW882037
DE232673,EL68332
AC7961,AC7961
AK62234,AK62234
AL315289,AL315289
CW1164282,EH522892
DT121803,BH137116
BY379441,BY379441
DB193915,DB71406
AK87699,AL356837
BN489456,BN489456
EH1116492,EH1116492
DD152721,AK87990
DT132832,DT132832
EH963442,EH686651
AG63515,AG63515
AN132649,AN62982
AN40864,AN40864
DE290344,DE290344
CW950331,CA24179
EH672738,EH521897
CW984585,BF21094
CD29477,CD29477
EM88867,EM88867
CW820495,CW820495
EH231056,EH231056
BY686286,BE278725
AW168233,AW83206
BL184062,BL184062
CA5964,CA5964
EF13847,EF13847
CW861696,CW861696
BJ24618,BJ24618
DA102023,AP42576
BN446883,BN446883
AL188094,AL188094
EH1231919,EH1231919
DD167229,DD167229
CW188219,CW188219
BE429257,BE429257
CW658012,CW658012
AL270956,AL270956
DF9540,DF9540
EA24363,CW142801
EM21318,EH680454
DB280490,DB280490
EL88420,EL88420
EH872452,EH872452
DR41490,DR41490
CW224892,CW7899
AL260733,BL408332
BY462199,BE138198
BL250705,BL250705
CW873679,CW896251
CW143256,CW143256
EH439249,BL292001
BE212982,BE73000
BY739476,BY739476
CW558110,AA203322
EH999436,EH999436
AS63482,BE11490
AL119948,AL119948
CW56460,CW279950
CW826293,CW826293
BG14924,AS23887
BD87906,BD87906
DH58307,BE182595
BE48789,CW101589
ES15098,ES15098
BR159549,BR159549
BY614389,BY553935
AN217197,AN217197
BL436144,BL436144
BE220630,BE220630
CW423343,CW360094
BL312578,BL312578
CW847903,CW847903
CW972453,CW972453
EH12974,EH236906
EG54980,EG54980
AK142913,AK142913
DT135154,DT135154
CW1158633,CW1158633
AL12102,AL12102
BE53550,BE53550
CW1163158,CW1163158
BN198927,BL174904
EH1318623,EH1318623
AK118794,AK118794
EH1127378,EH1127378
EL6179,EL6179
BH138723,BH138723
CW1061980,CW1061980
AW147192,AW34879
CL42997,ER18558
EH998334,EH998334
EH1055196,EH1055196
DE251655,DE251655
EH318389,EH230527
BY443893,BY220133
DS91399,DS91399
CW962768,CC44916
DR51925,DR51925
DX19900,DX19900
ER9722,ER9722
AN153798,AN153798
DL224455,DL190061
DL172970,DL172970
BN391259,BN391259
BE233590,BE115648
CZ104108,CZ104108
BB74053,BB74053
EH1038175,EH1038175
EH259969,EH588416
DT23404,DT23404
CW922055,CW922055
CW663124,CW663124
BL241341,DX46401
DN106577,DN106577
EF59548,EF59548
EH213369,EH730587
AN195774,AN195774
BN384619,BN384619
CW385847,CW385847
EH822425,EH822425
CW695458,CW444040
BN10055,EH283508
CW1173816,CW1173816
AA165504,AA165504
BN339855,BN339855
CJ18139,CJ18139
DY27207,BL282631
DN152572,DN152572
EH53124,CW238734
CW883043,CW1062919
DE249812,DE249812
CW54860,CW54860
AL262256,AL262256
DB72436,DB73159
CW126806,CW65553
AK105209,AK105209
AL37255,BM37940
CC81754,BN187834
BR179728,BR179728
AM6619,AM6619
EH609676,EH609676
EM18191,BE57173
EH821470,EH821470
BH84930,BH84930
CA7189,CA7189
DE293374,DE293374
BY570127,BY379489
CP35665,CP35665
EF71325,EF71325
CW855180,CW855180
CB76320,CB76320
EH886587,EH886587
CH51943,CH51943
DR6971,EF111076
CW18973,CW18973
DE309057,DE309057
EH965508,EH965508
CW1143489,BN423827
EA18391,EA18391
CW774026,BB72755
EM129999,EM129999
CW104882,CW104882
DE242315,DE242315
BE276320,BE276320
DL256039,DL256039
CJ137281,CW1317488
AW167036,AW167036
CW523677,CW382876
EH770176,EH770176
EH709798,EH709798
DT129344,DT129344
CL29983,CL32276
EL74376,DD142657
DB254342,DB254342
BR149505,BR149505
EH827821,EH827821
CW193486,CW363277
EF29077,EF29077
EH683721,EH683721
DR96528,DR96528
CA101081,CA101081
CW792982,CW792982
CC114211,CC114211
CW566154,CW55315
CW817679,CW1063695
BL403316,BL403316
DZ47663,DZ47663
AL302052,AL302052
CA119972,CA119972
DB222885,DB261105
BY124821,BY345762
EF5988,EF5988
BE279295,BE299556
CW206939,DE116778
CW678969,CW262287
EM63582,EM63582
CW882313,CW882313
AX20392,AX20392
BY503199,BY503199
DN138679,DN138679
EP31495,DA57910
BH175158,BH175158
