globalID_A,globalID_B
CW758081,CW106106
DR81938,DR93149
BL521995,AL255328
EF119540,BJ13569
AA189574,DP27040
BY122059,DZ63008
DN93603,EH431830
EH1219523,EH1219523
AL90475,CW306197
DE275792,AX55080
AM37972,AN52092
CW252880,CW721741
DB60959,DB60959
BY436493,AA69206
CG177565,AA140751
DR68908,DR68908
BE329908,BE141599
CW629462,AA107809
CC116423,BN429385
CH54839,CW381067
EN69441,EN69441
CW486914,BH106405
CJ145457,CJ145457
CW558045,CW613922
ES12234,DL70372
BE272647,BE262110
DT91918,CG102827
CW227960,CW331335
EB34098,CA90184
EN50049,EL36247
EH116383,DE200751
EN50049,BX20950
BN378858,BN367966
AM73402,CW253569
DH37729,CN61179
CW438707,CW340776
DE119609,BN358757
CA50488,AH7788
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
EH1038740,CC51400
AE16597,CN45217
DB333241,DB86036
EH1040533,EH1040533
AL42015,AL48962
CJ159916,CJ159916
CW639155,CW469837
AL101285,AL101285
BY606402,BY511422
BE247165,DL205805
EF176929,CN30399
ER27172,BN239361
BL385307,BL385307
EH544854,BJ29186
DD123481,DD123481
EH302433,EL31786
EH755944,BD110413
EA20728,EH422695
AR5867,BD69812
CW824081,CW1370224
EF167421,DB139313
BY689798,BY689798
CM54342,CM59927
DZ47457,CW453847
BD89443,BD89443
DR97753,DR97753
BE161496,BW48570
CJ32494,BH86355
EH1239589,CC25297
EH149209,AY17041
EH280124,EH230527
ES14361,CG106828
EH370781,EH162441
CW270572,CW1231309
DE113618,DE164778
BR14715,EL50326
DL92800,DL92800
CW81598,CW179470
CW498346,CW491199
AA113631,BY327461
DE113391,BE208676
AY30004,BE269235
EH187575,AA196017
AA210000,AA69260
BL127802,DA10217
AP50741,DB139738
CW917113,CW807933
CC77777,CN62636
AL32880,AL32838
BN553104,CJ131524
EM107290,EM107290
EH495025,CZ63532
CW454757,CW173974
BR90682,CW172263
EP77188,AN146282
BL391927,CW724104
AL215435,EF73706
BY265178,BY426715
BD99432,BD58659
CB53352,DP44759
DX45629,AR5782
CW778486,AL326332
BL476954,BY377296
BL334866,BL334866
EH641878,EL58969
CG157446,CW1089245
CW908668,CW879595
CW213470,CW613922
CW702002,CW303830
AK58633,DB158546
EH741121,EH395013
CW884962,CW1173415
BY398200,BY27454
BB99804,EH884343
EH787662,EH787662
EH158324,CW277849
BL420826,CW297944
CW424565,CW795339
CW931171,CW848645
CW1369492,CW1344287
AN136043,AM78765
AP72598,AL104595
EH280682,EH388244
BE116703,BE175797
AD26014,AD30160
BN112715,BB36111
DE207257,BB115995
BE195441,BL290404
CW617186,DL143055
BN433234,BN411064
EP85338,CE28886
DZ62354,DB132315
DT103618,CW472230
BE314225,BE314225
DE87704,DE139900
AL174964,CW342607
BP19820,CP27229
CS22553,BN214288
BL127802,DN72617
DN52146,DB147421
CN21106,CW722936
DB235761,AG35227
BE284336,AK104830
EH1193120,EM78255
CB16992,BA9989
EH695754,DE92770
AL169362,AL169362
CB69298,CB69298
CW23027,ES8811
CW313162,CW602026
CW247713,CW674321
CN76262,BL519779
BY436493,DB161188
EH823960,CL31416
AN128412,AN128412
AS76957,BR162626
BY5723,EH169521
EH241876,BL433475
CP14020,DT28989
CW905926,CW253271
DK31805,DE166091
EH392334,EH741121
AM74133,EH22185
BB46564,DX33847
EF6686,EF6686
CW597799,CW710613
AN77849,AN60514
DC15903,EH167017
CW416158,CW1049697
AA75035,AA75035
AL178691,AL176888
CW517329,CW1031628
BR72971,EH919673
BR79693,BC30516
CW885859,CW629443
CC54351,CH37165
EF145789,EF126293
CW640867,CW381167
EH354244,BY555825
BE270562,BE336290
BL450963,BL450963
DN130546,EH936288
ES21395,BN212669
BY384936,BY373322
DE99913,DT28999
EH923210,EH923210
EH919288,CT43551
DB271050,DB271050
EL55773,BW54008
EH418323,CW592554
CW975643,CW244533
CW768667,CW975225
AK129450,AK129450
AL255683,AL166446
CW633200,CW643657
EH236514,EH164748
BN311862,CW710335
CW125384,CW804661
EM104516,AG56103
BD87343,BD33028
EH490290,EH391668
EJ25249,EG44459
CW1053962,AN132266
DE274205,CW380714
CT30695,DN94472
CW679851,BE115648
ER40003,DS94105
BY81022,BY290319
CC134300,BY303065
BZ44311,BZ44311
AK83367,CW602545
CW543117,EH391668
DD126512,EH416851
EH639045,EH639045
CW106463,CW1092344
BL342485,CW690742
DK30887,BP40920
EH816383,EH561440
EH282030,EP47774
AS63479,AS63479
CW637095,CW305052
EH346583,CL51936
EP64728,EL38874
DN135602,AM69189
EH538825,CW592554
CW370361,BL45917
EM84075,EH921109
CW724721,CW387493
CW1081190,CW1134700
DD95751,DD186768
EH564290,EH955043
DS63747,DS64825
DT144694,DT144694
CW841079,CW732623
BJ10910,AN72661
EH257023,EF56403
BY715818,BY220267
EF90180,EF185093
CA66987,BY392382
BB93530,BB93530
EH132050,EH132050
CC59391,AL126049
EL55483,EF80389
CW574525,CW384670
EH454156,CT33344
AT27370,AT27370
DJ7937,AN85506
EG29410,DB34496
BE390268,EH478771
CW1015363,CW1035390
BH64981,BH52952
AN161320,AX57830
