globalID_A,globalID_B
CW854865,CW1367176
BN257903,BN35970
EH360931,EH360931
CG127928,CG127928
DR96172,DR96172
EF23597,EF23597
CW1109873,CW1109873
EH975324,EH975324
EB60650,EB60650
CW1136654,CW1364726
AL172802,AL172802
EH970630,EH970630
BY462796,BY342660
AR2201,AR2201
CW639372,CW329230
CW55962,CW55962
DB235141,DB235141
CC2745,EH151440
AL195582,AL195582
CW398639,CW188286
AL345102,AL345102
BN369358,BN14925
BL407930,BL407930
CW396737,CW266357
BR125563,BR125563
DD87638,DD208940
AW29846,AW29846
DB100298,DB62991
DE274672,DE274672
AL200024,AL200024
CN79738,BL492938
DB226450,DB226450
CJ44514,CJ44514
BE231565,BE231565
CP17424,CP17424
EH831109,EH831109
DR38446,DR38446
BY160352,BY17917
DB244350,DB162503
BZ8785,BZ8785
CA100380,CA100380
CW573430,CW573430
DE322526,DE27407
EF84467,EF84467
CA64766,CA123370
AS53491,AS53491
DP44349,DP44349
BN9449,DL257917
BN421006,BN421006
BF9694,BF6190
CZ50330,CZ50330
CJ85686,DZ22596
AL63527,AL63527
CW14142,CW14142
AA95406,AA95406
CW395668,CW216042
CW398260,CW278395
CW999218,CW999218
CC74865,BH96241
BB104380,BB104380
DS98004,EH543994
AK140301,AK63275
AL74403,AL212934
CW133383,CW80563
CW989458,CW1236029
CW980262,CW980262
EH382760,EH221689
CW146899,CW296448
CG118687,CG118687
EH1076626,EH1076626
DL225772,DL225772
EH1003739,EH1003739
EH782180,EH548583
CX23377,CX23377
CW293012,CW944198
BH152343,BH152343
CW582445,CW438560
CG124581,CG124581
CM68041,CM68041
CH44244,BY495842
AL248245,AL248245
BB51051,BB51051
AL76080,AL164186
CW324106,CW737067
CN26063,CN26063
DR149576,AL191328
CW882374,CW882374
CW135211,CW560973
CW787910,CW787910
DW19821,DW19821
DL93775,DL93775
CW105692,CW105692
BL323361,BL323361
CW882517,CW1139069
DD94216,DD94216
CW724962,CW724962
CW1200617,CW1200617
BN451653,BN451653
CW299261,CW163905
CW502900,CW184635
AP65936,AB24442
DL34983,DL34983
CW858219,CW224428
CW639626,CW97540
CW797584,BN285004
CW1239690,CW1239690
CW173216,CW89252
BR155360,BR155360
EH872473,EH872473
BN366112,BN366112
EH1128333,EH1128333
EH571640,EH1071710
CW878022,CW27432
EF230444,EF230444
DN94774,DN94774
BN38103,BN149779
CW615215,CW866532
AL236847,AL236847
CW767371,CW567463
DB107734,DB67491
BZ45369,BZ45369
CG193993,AJ33266
DR7348,DR4731
AB13997,AB13997
DZ54112,DZ54112
BD108853,BD108853
DN117998,DN117998
DX52860,CC94351
DT38579,DT38579
BY562922,BY562922
CA109646,CA109646
CW61428,CW431111
CY18146,CY18146
DE274634,DE274634
AX64930,AX64930
BN351967,BN351967
BY31972,AA146114
CW92442,CW49833
BE79881,BE49125
EM89009,EM89009
DE244802,DE244802
EH1223790,EH1223790
BC60177,BC60177
DL81812,DL33286
CZ85345,DE69936
BY649680,BY649680
EH112939,EH112939
BD141434,BD141434
CW414281,CW840700
CW166208,CW239949
CW887185,CW887185
AE14506,AE14506
DE186057,DE186057
AK97846,AK97846
DD185103,DD185103
DB200685,DB195288
BE367609,BE367609
BE79892,BE219326
CW342024,CW73205
AN183167,AN183167
EH1123098,EH1123098
BP32929,DR37597
CS4690,DD13849
CW809922,CW809922
EH343114,EH343114
DB136970,DB136970
CW211798,CW69964
DR84455,DR84455
CW784011,CW454397
BY96030,BY446783
BR135755,BR115730
CW1118142,CW829168
AX57019,AX57019
CW523595,CW523595
DE123147,DE123147
EF3524,EF3524
AL111317,AL111317
BE98905,BE75073
DE186982,DE186982
EH1128109,EH1128109
CW862041,CW564688
BN27650,BN27650
DR116028,DR116028
DP8773,CW219448
BY318377,BY74731
EH864237,EH864237
CW859624,CW859624
CM75600,CM75600
EH680096,EH285737
CW58319,CW58319
CW62064,CW62064
EH1248368,EH1248368
AG57419,AG57419
DX55354,DX55354
DL231187,DL226773
EL79403,EL79403
DD59518,DD59518
CW78491,CW1010902
BE352897,CW342775
BN137597,BN137597
BL420205,BL290771
CW57692,CW209363
BL352034,BL352034
AN123543,AN123543
BH147533,BH147533
EM133523,EM133523
BY257406,BY65366
CA25398,CA25398
AJ19932,AJ19932
EN36969,EN36969
CW862031,CW405304
CW511692,CW42261
AN140099,AN140099
BL318040,BL318040
BE382648,BE317143
CW854060,CW854060
AP80765,AP80765
CZ70506,CZ70506
AN164020,AN164020
BN159023,BN159023
AS57544,AS57544
CW774113,CW774113
CW441918,CW358778
EM100317,EM100317
EH1204208,EH1204208
EH1157652,EH1157652
EN72244,EN72244
CW1280135,CW811551
CA47322,CA98729
EH422082,EH422082
EH58713,EH356985
AX53493,AX53493
DT145606,DT145606
CA67865,CA67865
CW280511,CW271428
CJ10043,CJ10043
CW132830,CW25945
CW381462,CW318104
CW1037909,CW1037909
CW181816,CW311469
EH937393,EH937393
EF220561,EF220561
AW181933,AW181933
BY550403,BY550403
CZ9588,CZ9588
CW174063,CW174063
CW147547,CW147547
CW763097,CW763097
CW261430,CW410272
BY624495,BY624495
BY707956,BY392053
EL93973,EL93973
CW94090,CW94090
DB123127,DB22642
DE292031,DE292031
CW754298,CW1371412
CW620832,CW620832
EF41248,EF41248
CC26737,CC26737
BY677045,BY677045
AL157981,AL157981
BX21218,BX21218
BE41978,BE41978
AB37574,AB37574
BE55733,BE288289
CA24577,CC25223
EH1118629,EH1118629
CW149195,CW766199
BH47478,BH47478
AL66715,AL172438
CW441086,CW360967
CW1025182,CW334719
DK32774,AS56685
DE272675,DE272675
CZ57221,CZ57221
BR162895,BR162895
DG55098,DG55098
CW270640,CW512274
DB293864,DB140064
CW1046296,CW132750
CW166690,CW166690
CW398260,CW187224
CW163022,CW286279
BH73251,BH73251
CW1097743,CW711071
EH618593,EH428039
BL511460,BL511460
BH64629,BH173365
BN124106,BN188108
EH220556,EH563600
BC41879,BF21013
DT79107,DT79107
CM14592,CM42432
CG117666,BY401575
EH956576,EH956576
DT74242,DT60292
EF57739,EF57739
DK42426,DK42426
CJ4451,CA9651
CW447555,CW422288
EH607109,BN263903
CW285620,CW276423
CW874509,CW137951
BH29524,BH29524
AL15271,AL213563
CW208119,CW648753
BN469073,BN469073
CW836551,CW92163
AG48038,BN380225
BA11802,BA11802
DR55603,DR83488
EH1027469,EH1027469
CW961078,CW961078
EH1021713,EH1021713
CW724241,CW348319
AL267904,AL75327
CW206949,CW227506
AM27154,AM27154
CM35328,CM35328
CW162600,CW162600
AM33518,AM33518
CW469840,CW1286303
