globalID_A,globalID_B
EH1062395,EH1062395
BL68936,BL68936
BP53557,BP53557
BY484298,BY270034
BY7614,BY225907
ED4064,ED11345
AL123212,AL123212
EH603161,EH969251
EH811333,EH811333
BY524274,BY179135
CW1161805,CW692799
AG8156,AG8156
CW965367,CW48969
AP57157,AP4410
CW1196633,CW978888
BN303481,BN159485
CW164756,CW268445
CW754004,CW45392
CW1189886,CW175501
CW861696,CW812308
EH530432,EH506792
CD22419,DW54284
CW227488,CW390587
CW1318429,CW1318429
CW663410,CW760809
AN154416,AN154416
CW435851,CW996308
CW55261,CW49648
EH585351,EH585351
CW1081189,CW1043592
AP33668,AP8929
CW1055977,CW407784
DJ13190,DJ13190
CW124199,CW280305
EH867119,EH834579
DL184974,DL184974
DE212083,DE212083
BN448531,BN448531
BR37764,BR58804
AA137785,EH963597
CJ62240,EG37558
EH401556,EH401556
EL63388,EL63388
EM105433,EM105433
CW895107,CW132817
BL433459,BL433459
AN117577,AN112847
BE144544,BE144544
AR16012,AR16012
CG159386,CG159386
EH429752,EH429752
EH638865,EH638865
CW768413,CW768413
BY587485,BY415256
BY675237,BY675237
DN112092,DN112092
BN233638,AM58699
EH106946,EH174810
BS6734,BS6734
BY636136,BY636136
DB241093,DB241093
CW203929,CW1159614
CW141759,CW1352414
CB28275,CB21398
BN304755,BN304755
CW776598,CW776598
DD21129,DD21129
BY509197,BY149626
CJ180866,CJ180866
DH56057,DH56057
CY32092,CY32092
AW210401,AW210401
BE70623,BE149487
EH311870,DE136327
DB182074,DB182074
CW1010123,CW1010123
EH637239,EH72203
CW1137856,CW1339043
EH1128123,EH1128123
ER17295,CP4198
BR147301,BR147301
DR108830,DR108830
CW948318,CW815019
DL187086,DL187086
BN449928,BN347194
CZ87658,CZ87658
CJ72768,CJ72768
BD8217,BD8217
DA78504,EP28276
CW343889,CW812867
BR164452,BR178639
EH890387,BH142404
CM74992,DW27998
EH977127,EH977127
CW39782,CW1207758
CW514435,CW181063
CW771660,CW771660
DB156224,DB118527
CW749468,CW749468
DA6565,DA7491
BH184408,BH184408
CM33485,CM33485
EH646111,EH646111
AM107898,AM107898
CW779817,CW286340
DX37502,DX7202
CW437959,CW292769
CW1227582,CW204261
EM31517,EM17616
DD65901,DD73079
AL183305,AL183305
EG51000,EG51000
CW210484,CW204913
DL184707,DL184707
BN359783,BN214072
DB153840,DB153840
EH692770,EH692770
CW227603,CW207764
CW235464,CW75253
CW186133,CW187424
BE57830,BE75486
CW383679,CW383679
CW723675,CW735197
BE137675,BE120397
EC22570,EC22570
BN248865,BN217849
CW158031,CW82326
BN487808,BN487808
DB333891,DB222445
BK12249,CB67405
DB25907,DB12509
CW352046,CW331313
CW389454,CW458497
EH917169,EH917169
AP54834,AP54834
BN50818,BN10753
EH148252,EH148252
AM15698,AM15698
CW939603,CW734473
DB166597,DB78613
CW75997,CW189914
DA86407,AT16151
DT117030,DT117030
EH1084413,EH1100444
EH818487,EP99286
BL278139,EP100251
BY388626,BY388626
DB242998,DB242998
CW336746,CW731041
DX55750,CN14260
AX5856,AX5856
CP50377,CP50377
CA51639,BY222663
CW667404,CW667404
EJ3049,EJ3049
AL191266,AL5494
EH229106,BL124900
BR55038,BR4722
DX53346,DX53346
AT29401,AT29401
CW190461,CW467729
CW472246,CW68028
AL148133,AL148133
BR62306,BR58804
BY570699,BY570699
CW556081,CW758719
EH972163,EH972163
CW525138,CW603679
EH798997,EH798997
AS81868,AS81868
CG82588,CG3311
BM61917,BM61917
EH1269406,EH1269406
EF182947,EF182947
BY660872,BY660872
BY53046,BY460011
CW573011,CW460645
EH1156723,EH1156723
CA104445,CA104445
BN432206,BN432206
DB189370,DB255901
CB56064,CB56064
EF179688,EF179688
BK44569,BK44569
EB20218,BC58923
AL174561,AL174561
BE231024,BE231024
EH785472,EH785472
EB14878,EB14878
DD71502,DD37174
DB166597,AG5837
AL218318,AN179525
CW1063349,CW1063349
DR85465,DR110978
BY218403,BY332184
AB8599,AB8599
BH154496,BH60758
DW60158,BY288736
EH959633,EH959633
BR98849,BD17861
CW125848,CW125848
CW54846,EH955404
BY542865,BY542865
AP91699,AP91699
EL38699,AA2970
DB297247,DB272307
DN50448,CT31572
BL239119,BL301778
EF59284,EF27239
CW39782,CW71048
EH9847,CJ36314
BR172643,BR92960
BN348839,BN348839
BR176818,BR176818
CW500809,CW339066
CW104241,AA55346
BL379493,BL379493
EP3292,EP56142
DT138264,DT138264
EK18778,EK18778
BN388920,BN388920
CK12596,CK12596
EH516873,CL10903
CW196882,CW44996
CZ76660,CZ76660
DD85491,DD85491
BE381483,BE381483
CW73477,CW506997
AA137993,AA137993
EH80013,EH54598
CW65641,CW172430
EH1231919,EH1231919
AW125487,AW125487
CW352783,CW156705
BY470387,BY470387
DE10459,DR76945
DH8960,DH8960
CW204913,CW204913
CW68145,CW228044
BN472754,BN256559
CH54371,CH54371
BN426052,BN426052
BN527880,BN345723
CH12704,CH12704
CB87162,CB87162
CW68145,CW68145
CW137805,CW269161
DN83425,DN83425
CG201648,CG108116
DT143213,DT143213
BY509305,BY691967
BY630746,BY630746
AN43765,AN43765
BL112816,CW418177
DR17449,DR17449
BE286901,BE286901
CW994701,CW886034
CW656617,CW656617
AK34180,AK34180
BY642113,BY344180
AL27439,AL27439
CW135842,CW28248
AA106163,BH63154
CW249380,CW355406
BN464443,BN268208
CG132805,CG132805
CW142269,DD62220
CW391966,CW13093
BD142688,BD77666
DB235434,DB234406
CW1069389,CW784610
CJ132175,CJ132175
CW438150,CW269161
AW147192,AW34879
CW954145,CW479567
CW127626,CW853567
ED37292,ED37292
CW189256,CW224250
BE134565,BE46719
DR71687,DR71687
CW515328,CW515328
CW78484,CW78484
EH274659,EH181475
BY454158,CY18918
CW170544,CW729385
EH1281808,EH1265155
CW556081,CW356804
CW751182,CW1089497
EH837598,EH260806
DN147692,DN147692
EF59548,EF59548
DB245057,DB245057
CW1235104,CW1089497
BC54982,BC54982
BN384619,BN384619
EH822425,EH822425
DH37041,DH37041
CW1280187,CW480479
CZ91708,CW1342807
CW947585,CW377484
DB25321,DB25321
ER33690,AM74150
CW1104227,CW870781
DH61950,DH61950
CW124799,AS20248
DE289763,DE289763
CW212493,CW678704
DW70017,DW70017
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
CW462628,CW447140
DZ70589,DZ70589
DB222112,DB222112
CW1098378,CW868275
CW97469,CW561760
CL62577,EH500654
AZ15984,AZ15984
DE115503,DE115503
DL256039,DL256039
EF153124,AD22726
EH375620,AX22963
EH770176,EH770176
BE337594,BE332370
EH772852,EH772852
DL242496,DL242496
DB254342,DB254342
CR26944,CR26944
EH683721,EH683721
AX26280,AX26280
BL305917,DT118156
DB252653,DB202862
ES8574,ES8574
CW1330689,CW1330689
BK13609,BK13609
CW328014,CW1277351
CW365697,CW365697
EH564986,CT54280
BN486734,BN486734
BH102187,BH102187
DE164724,EH240473
CZ111303,CZ111303
EF39677,CW1054092
CW102841,CW665003
DL167612,DL167612
CW31490,CN4155
CW201824,CW423350
CW189914,CW65584
EH862396,EH674144
DX19720,DX19720
CG65980,BL195797
