globalID_A,globalID_B
CJ140315,CJ140315
AK12554,AK12554
DR96172,DR96172
EH975324,EH975324
EH1219523,EH1219523
CE48042,CE48042
EH558179,EH566057
EH712985,CC117813
EH920322,EH920322
CG158660,CG158660
AG8156,AG8156
AW146145,AW147500
CF6467,CF6467
BM16086,BM16086
AG54716,AG54716
EH246448,EH480220
CW518629,CW518629
EH832350,EH832350
EH1013050,EH1013050
EH831109,EH831109
EH484301,EH422141
EH535597,EH741121
EH294190,AX29272
AN154416,AN154416
EH151909,EH234170
EH854439,EH854439
EH1124168,EH1124168
EH575150,EH303787
EH734216,EH734216
CZ50330,CZ50330
AW131021,AW131021
BD128610,BD128610
EH937881,EH777200
EH401556,EH401556
EH132556,EH132556
DR104607,DR104607
EH796936,EH796936
EH490290,EH642965
EH809467,EH809467
DX7689,DX7689
EH171189,EH171189
BY557433,BY557433
EH1040533,EH1040533
EH1271528,EH1271528
EH366954,EH238034
DN160666,DN160666
DN112092,DN112092
EH189952,DE116370
CM9761,CM9761
EH988808,EH988808
DR71917,AH12300
CH15647,CH15647
BR178747,BR178747
AN38169,AN155815
BK14738,BK14738
EH143392,EH102117
DD94216,DD94216
CT29270,CT29270
AW16138,AW59962
AN4402,AN4402
BD148139,BD148139
BR155360,BR155360
CA39366,CA39366
BR125338,EH521631
EH872473,EH872473
DN128183,DN128183
BE283515,BE283515
EH971701,EH697569
DR142171,DX65670
AW210401,AW210401
EH1122420,EH1122420
AS97681,AS97681
CZ87658,CZ87658
BD8217,BD8217
CW168654,CW168654
BP2983,BP2983
BD108853,BD108853
EH1155858,EH756603
DN117998,DN117998
EH977127,EH977127
DR25408,DR25408
AW109481,AW109481
EK18353,EK18353
CJ123925,CJ123925
EH874779,EH1288556
EH290617,EH290617
AE14506,AE14506
EH1021621,EH1021621
EH692770,EH692770
AN166497,AN166497
BZ69598,BZ69598
EH429951,EH80250
EH641878,EL58969
DE167300,EH105725
EH346486,EH1008306
EC22570,EC22570
EH473396,EH473396
BR152303,BR152303
AH13006,DK38698
EH945274,BY573383
EH843267,EH843267
DE215965,BD70307
DR116028,DR116028
CE22283,EH469596
CM75600,CM75600
BD138946,BD138946
CP50377,CP50377
EJ3049,EJ3049
AL90892,AL90892
AZ8548,EH110713
BN323252,CW684933
DX53346,DX53346
EH1023322,EH1023322
EM133523,EM133523
AN135951,AN135951
AK14283,AK14283
EH730258,EH730258
DF18170,DF18170
EH1212845,EH1212845
EH755884,EH952083
EH1038941,EH421202
EH43014,EH43014
EH798997,EH798997
AN25625,AN62982
EH1157652,EH1157652
EH132937,EH138719
EH913507,EH913507
EH422082,EH422082
EH895399,AA139630
DR91557,DR63410
CJ10043,CJ10043
AS83961,AS83961
DN152252,DN152252
EH624519,EH889205
EH843382,EH843382
EH273834,EH957544
EH1131676,EH1131676
CJ28620,CJ28620
EH823869,EH972179
AN128412,AN128412
CC95998,CC95998
CL54184,CL54184
AW206991,AW137259
CP14020,DT28989
EH480837,EH480837
EH24900,EH52891
EH392334,EH741121
BR127228,BR127228
AA110354,AA110354
DN46205,DN46205
EH741157,EH741157
AN77849,AN60514
EH189952,EH376204
EH104232,EH299375
BR98849,BD17861
EH479708,EH621518
EH1050375,EH1318939
CE55562,CE55562
CR18360,CR18360
BD103266,BD103266
EH670857,EH670857
AN136342,AN136342
EH246448,EH167585
BD91943,BD81285
EH957483,EH957483
DT132527,DT132527
DK42426,DK42426
BM16265,BM16265
EH1006885,BL418908
BR72971,EH919673
EH999082,EH999082
CD18904,CD18904
EH252541,EH252541
CD21638,CD21638
AN166512,AN170095
EH1219645,EH194603
EH1116492,EH1116492
EK18778,EK18778
CL32440,CL32440
EH963442,EH686651
AN40864,AN40864
CS24515,CS24515
AW212216,AW212216
CM35328,CM35328
BD85540,BD85540
EH650599,EH650599
AN89921,EF146596
EH923210,EH923210
EH380532,EH546420
DX11107,AW189841
EH421405,AW45567
EH80013,EH54598
AL234266,AL234266
CL23943,CL23943
EH1317749,EH1317749
ED48033,ED48033
EH423159,EH480947
EH923928,EH923928
EH828480,EH500913
EH87825,EH447427
EH1031859,EH1031859
CL56439,CL56439
EH853260,EH853260
EH1201025,EH1201025
AN40636,DS31540
DN83425,DN83425
EH395687,EH395687
AH21997,AH21997
CL53918,CL53918
EH214495,EH214495
AL70674,AL70674
DR120870,DR118536
EH925347,DE103595
EH157899,EH157899
EH810309,EH810309
DR49636,DR49636
AN14698,AN14698
DA72978,DA72978
EH828965,EH828965
BE392675,BE392675
AL261543,AL261543
AN194222,AN163935
CP5825,CP5825
BR162465,BR162465
DC19016,DC19016
BD142688,BD77666
EH1318939,EH1312123
AL13771,AL13771
CJ140553,CJ140553
EH672738,BY342270
DR30076,DR30076
AN29780,AN29780
EH898015,EH914493
DK34694,DK34694
ED37292,ED37292
EH66808,EH156016
CE18829,CE18829
CZ52345,CZ49828
DR51925,DR51925
CW78484,CW78484
DX44797,DX44797
DJ7884,DJ7884
CE34789,CE34789
EF142857,EF142857
EH331324,EH331324
EH1004318,AD31540
DN143263,DN143263
CJ146016,EH681690
CM29580,CM29580
CJ35985,CJ35985
EH132050,EH132050
CW1094796,CW1094796
EH95322,EH265218
BR191026,BR187653
AT27370,AT27370
EH1230496,EH1230496
EH822425,EH822425
EH10792,EH10792
DH37041,DH37041
DX61767,DX61767
AW132281,AW132281
EH174163,EH174163
AH11105,AH11105
EH676087,EH676087
DR86193,DR86193
DC18353,DC18353
EH609676,EH609676
DZ53370,DT139433
EH315126,EH315126
EH918401,CE40331
BH84930,BH84930
BR127974,BR127974
EH104232,EH252508
AZ15984,AZ15984
DX48334,DX48334
BR222182,BR222182
BD19813,BB119869
EH770176,EH770176
EH13343,EH13566
EH772852,EH772852
EH635672,EH514610
AW122872,AW87624
EH827821,EH827821
CE57713,CE57713
EH918481,EH974803
EH979672,EH979672
EH683721,EH683721
CN32163,BR75603
CL53220,CL53220
EH960237,EH960237
EH855278,AN122893
EH536298,EH536298
EH1235770,EH1235770
EH1195748,EH1195748
EH564401,EH564401
EH439443,EH375493
DR8528,DR8528
BR190989,BR190989
DX19720,DX19720
EH1129278,EH1129278
EH1138452,EH972933
DX46570,DX46570
DN163412,DN163412
EH1129657,EH1129657
AH15493,AH15493
BD17481,BD17481
EH902556,EH382678
EH1128010,EH1128010
DJ14337,DJ14337
DR48724,DR48724
EH200250,EH400177
EH189952,EH181736
EH127525,EH374059
AL225521,AL225521
BD126564,BD126564
EH142717,EH390331
AN4311,AN4311
CL53820,CL53820
EH1056148,EH1056148
CW342983,CW342983
CD30154,CD30154
CL11869,CL11869
AN103975,CJ105862
DT141459,DT141459
AZ16280,AZ16280
AN199699,AN199699
AS73048,AS73048
EH713292,EH713292
EH643147,ED16709
BR149502,BR98438
EH994834,EH994834
EH688054,EH799588
EH952762,EH906019
EH216119,EH62861
EH522997,EH975324
BD103230,BD103230
EH1099215,EH1099215
EH603807,EH618148
BK42930,BK42930
EH19448,EH12741
EH735724,CW684933
EH818396,EH818396
DJ6006,BY78078
DR122184,DR122184
EL5284,EL5284
AG28333,AG28333
EH688941,EH293449
BD139132,BD139132
DR91735,DR58932
DR5148,DR29682
EH133282,EH126490
CE4287,CE4287
EH476170,EH159941
EH872219,EH872219
DE302805,DE302805
AL169976,AL169976
EH369557,EH278746
AW174022,AW174022
EH849012,EH1137260
EH1106925,EH1106925
BD118132,BD118132
CC36812,CC36812
AN109462,AN109462
BD74793,BD80133
EH481198,EH1079819
EH854291,EH1264755
DN164799,DE177006
DX58217,DX58217
EH745987,EH1062963
AW76115,AW76115
CL38926,CP19705
DN59179,DN59179
EH883978,EH883978
EH1004540,EH1004540
BK31319,BK31319
BD86891,BD86891
DR141806,DR141806
CJ105208,CJ105208
EH822494,EH822494
BM30746,BM30746
AY27818,AY27818
EH459694,EH635373
CJ132417,CJ132417
AH10399,EH300283
EH918655,EH918655
EH447674,EH934814
CP16378,CP16378
EH794622,EH316738
BJ34583,BJ34583
DN71937,DN97537
EH1043668,EH1043668
AZ16359,AZ16359
BM33227,BM33227
EH235248,EH276576
EH565271,EH216559
AL14609,AL14609
CK15641,CK15641
DZ67824,DZ67824
AW92705,AW92705
BR17089,BY78078
EH419544,EH419544
EH189952,BR122736
EH918401,EH1027144
CP31826,CP31826
EH509120,EH488828
EH412412,EH348783
EH612162,EH612162
EH810309,EH279358
BR141168,BR141168
BR117752,BR117752
DN134285,DN134285
EH407891,EH125287
BN206890,BN206890
EH815527,BZ39502
EH829388,EH829388
CM54277,CM49340
EH813430,EH813430
CZ92467,CZ92467
CJ196447,EH1266855
DX5758,BR13556
CW481038,CW481038
AW6377,AW6377
DN52146,AX29272
EH330310,EH330310
AW99308,AW9192
EH1204622,EH1204622
EH441265,EH957473
EH817806,EH817806
EH712985,EH428455
DX45566,DX45566
EH529181,EH529181
BZ49625,BZ49625
EH674375,EH674375
DF10147,DF10147
EH497616,EH497616
DN125140,DN125140
AW79212,AW58239
DR86512,DR86512
EH798563,EH798563
EH1093331,EH1093331
CM5425,CM25939
EH891811,EH891811
AN79045,CJ175029
EH816209,EH810778
EH869264,EH869264
DN155541,DN155541
EH971632,EH820014
CL31929,CL31929
AW191146,AW210165
DN118218,DN118218
EH812691,EH812691
DN132817,DN132817
EH956708,EH1296540
EH1204940,EH1204940
EH240247,EH674237
DN129865,DN129865
EH579852,EH814650
EH480006,EH461733
EH970568,EH970568
CJ154388,CJ154388
DX35033,DX35033
EH77305,EH358229
EH994599,EH994599
AH19651,AH19651
CW1203746,CW1203746
AN166512,AN196524
EH608039,EH593068
EH589453,EH589453
AK116735,AK116735
EH505353,CL34332
CG118392,CG118392
DX22443,CL44757
EH704860,EH704860
EH312575,EH624952
EH1206421,EH1206421
EP28096,CJ139460
EH919506,EH919506
EH1116121,EH366454
AS78552,AS78552
EH738400,EH738400
EH462165,EH478605
EH707852,EH299185
AW181340,AW181340
EH754923,EH754923
CJ175662,CJ175662
EH628163,EH628163
CZ89387,CZ89387
EH1184547,CE37669
BM8615,CP3893
AZ8764,AZ8764
EH1068974,EH1068974
AW147500,AW146145
DM26879,DM26879
EH794555,EH499585
AN139138,AS69651
DX46789,DX46789
EH451189,EH451189
EH515849,EH515849
EH870714,EH870714
EH1188769,EH1188769
BR131885,BR131885
DK29932,DK29932
AW90850,AW90850
BR224623,BR224623
EH533095,AL173589
EH805874,EH805874
EH369557,EH247691
DK36053,DK36053
EH919676,EH1111697
EH78939,EH200167
BW53724,BW53724
EH547912,EH78957
EH493705,EH307878
EH432674,EH361457
EH168875,EH382678
EH603091,EH799398
AW114692,AW114692
AN170159,AN170159
AH7581,AH7581
EH962883,EH962883
AW173139,AW173139
EH930024,EH930024
CJ180945,CJ180945
ED23587,ED23587
EH1204000,EH1204000
EH824479,EH824479
BD119036,BD119036
CA73693,CL53014
DE279969,DE279969
EF107045,EF107045
DK12371,DK12371
CM11599,CM11599
EH332023,EH527415
EH633139,EH584561
EH1130547,EH1130547
BR92972,BR92972
EH400872,EH970529
DF18812,DF18812
DN36881,EN3449
EH797580,EH797580
EH703748,EH234170
EH195546,EH332023
EH150477,EH150477
EH1056698,EH1056698
DG33874,DG33874
CW372218,CM32078
EH1096569,EH1086732
EH35531,EH35531
CM52718,CM52718
CW28696,CW28696
DR69699,DR69699
AW178044,AW178044
AN31932,AN31932
AN21186,AN216000
EH1084138,EH1084138
EH1239695,EH640628
EH1216390,EH976254
AN111284,AN111284
EG51166,EG51166
EH1000197,EH500913
BB21828,BB26793
CM9193,CM9193
EH897744,EH897744
DX41266,DX41266
CJ140321,CJ140321
BZ43027,BZ43027
AW149645,AW149645
DR118939,DR118939
DN149573,DN149573
EH708998,BZ39502
EH1021715,EH1021715
EH886171,EH62861
EH56930,EH215243
AL186798,AL186798
EH743827,EH843267
EH144391,EH111355
DX65009,DX65009
EH2863,EH55017
CD21286,CD21286
EH1242170,EH1242170
BY637117,BY637117
EH1096893,EH832034
BM64664,BM64664
EH748887,EH748887
DN145758,DN145758
EH890386,EH890386
EH241243,EH161750
EH824046,EH824046
CL14010,CL14010
EF158529,EF158529
CW776441,CW776441
CW381450,CW381450
AH26269,AH26269
EH244154,EH707271
EH988966,EH560280
CA73693,CE28541
CD25586,CD25586
EH706159,EH706159
EB77978,EB77978
CM59940,CM59940
EH759330,EH904479
AN181871,AN181871
CJ149943,CJ79279
EH995093,EH995093
EH231236,AN52393
EH326584,EH408738
EH394387,EH128338
EH902684,EH902684
EA38940,EA38940
EH1022484,EH1128296
AH26405,AH26405
EH447674,EH444768
AW97122,AW97122
EH826388,EH826388
BR165205,AN8433
CJ38050,CJ204973
BD52486,BD52486
DK47264,DK47264
EH384221,EH741121
AW103203,AW103203
CA91034,CA91034
AM9771,AM9771
CL51486,CL51486
AN129029,AN109683
EH867914,EH867914
EH392334,EH352026
EH568154,EH568154
EH1184450,EH1148948
DM8870,DM8727
EH1015082,EH321145
AN77613,AN133509
AW178552,AW178552
EH898705,EH898705
CZ92323,CZ92323
EH641900,EH641900
EE2922,EE2922
EH31617,EH1038487
EH171725,EH325638
EH829939,EH829939
AN58344,AN58344
EH155773,CH22564
BN227926,BN227926
EH595669,EH420127
EH665639,EH665639
EH478271,EH747582
EE2373,EE2373
EH512555,EH602062
BD122630,BD122630
AS72003,AS71888
BD62473,BD62473
EH390904,EH538171
BH25251,BH25251
CM59797,CM59797
DE161190,DE161190
DS102646,DS102646
DE119609,BR49561
EH706427,EH994054
EH221161,EH802592
EK12193,EK12193
BR191549,BR191549
EH223245,EH223245
BP39292,BP39292
EH1077371,EH730394
AN65024,AN65024
EH629929,EH629929
AL145849,AL145849
EH1253951,EH1253951
BD126064,BD126064
BD45732,BD45732
EF182692,EF182692
AL285212,EJ15813
BM11298,BM11298
EH719064,EH797182
BZ43925,BZ43925
DK21628,DK21628
EH39774,EH39774
CW1175994,CW1175994
BR141420,BR7731
EH432190,EH493554
CZ55804,CZ55804
BD146178,BD146178
EH912705,EH912705
BD135024,BD135024
EH1318046,EH1318046
AW82028,AW82028
CW177518,CW47049
AN205791,AN205791
DX66431,DX66431
EH885746,EH908377
CA123446,CA123446
CR30047,CR30047
BR142087,BR153687
EF109722,EF109722
EH902014,EH902014
CL38711,CL38711
DK29835,DK29835
DE76354,BR3520
EH871920,EH871920
DR83058,DR83058
DN90309,DN90309
EH823770,EH767494
BR153687,BR153687
AS84189,AS84189
EH973684,EH973684
EH1163486,EH1163486
AN168116,AN137840
EH412583,EH412583
EH781548,EH781548
EH972957,EH972957
EH1271647,EH849012
EJ9171,EJ9171
EH559067,DT122569
EH952417,EH952417
BR122082,BR122082
AN95261,AN95261
DK30364,EH622632
EH841512,EH313386
EH607140,EH448893
CW770486,AW94189
AL6398,AL6398
EH642656,EH642656
EH1201521,EH1201521
BK38887,BK38887
DN90861,DN90861
EH666104,EH1158470
AW108435,AW56627
CP41737,CP41737
EH769579,EH769579
DE268451,DE268451
EH1045896,EH262587
DR88011,DR88011
EH366954,EH747785
DT158172,DT158172
CL63638,CL63638
