globalID_A,globalID_B
EH1062395,EH1062395
BP53557,BP53557
CW144274,CW451160
BY484298,BY270034
BY7614,BY225907
ED4064,ED11345
AL123212,AL123212
EH603161,EH969251
EH811333,EH811333
BY524274,BY179135
CW1161805,CW692799
CW961854,CW21594
AG8156,AG8156
CW965367,CW48969
AP57157,AP4410
CW1196633,CW978888
BN303481,BN159485
CW164756,CW268445
EF27642,CP19220
CW754004,CW45392
CW1189886,CW175501
CW861696,CW812308
EH530432,EH506792
CD22419,DW54284
CW227488,CW390587
CW1318429,CW1318429
CW663410,CW760809
AN154416,AN154416
CW435851,CW996308
CW55261,CW49648
EH585351,EH585351
EH409743,AB10865
CW1081189,CW1043592
AP33668,AP8929
CW1055977,CW407784
DJ13190,DJ13190
CW124199,CW280305
DA121518,BL306789
EH867119,EH834579
DL184974,DL184974
DE101564,AN179525
DE212083,DE212083
BR63828,DX44881
BN448531,BN448531
BR37764,BR58804
AA137785,EH963597
CJ62240,EG37558
EH401556,EH401556
EL63388,EL63388
EM105433,EM105433
CW895107,CW132817
BL433459,BL433459
AN117577,AN112847
BE144544,BE144544
BY201257,AG46996
AR16012,AR16012
CG159386,CG159386
DD184524,DD163769
EH689390,EH196251
EH638865,EH638865
CW768413,CW768413
BY587485,BY415256
BY675237,BY675237
DN112092,DN112092
EH106946,EH174810
BS6734,BS6734
BY636136,BY636136
BY538519,BY538519
BL298121,BL298121
DB241093,DB241093
CW203929,CW1159614
CW141759,CW1352414
CB28275,CB21398
CW476070,BR169955
CW776598,CW776598
DD91777,CN73710
DD21129,DD21129
EH980014,DT107416
BY509197,BY149626
CW759597,CW657942
DH56057,DH56057
CY32092,CY32092
AW210401,AW210401
BE70623,BE149487
EH311870,DE136327
DB182074,DB182074
CW1010123,CW1010123
AP28451,AW125842
CW1137856,CW1339043
EH1128123,EH1128123
ER17295,CP4198
BR147301,BR147301
DR108830,DR108830
CW948318,CW815019
DL187086,DL187086
BN449928,BN347194
EH373452,AM41966
CZ87658,CZ87658
CJ72768,CJ72768
BD8217,BD8217
CJ37473,CJ143474
CW343889,CW812867
BR164452,BR178639
CM74992,DW27998
EH977127,EH977127
CW39782,CW1207758
CW514435,CW181063
CW457164,CW163238
CW811429,CW835627
BP62964,AM54302
CW771660,CW771660
DB156224,DB118527
CW749468,CW749468
CW864564,CW908588
DA6565,DA7491
BH184408,BH184408
DD119712,DD123063
CM33485,CM33485
EH646111,EH646111
AM107898,AM107898
CW1133075,CW773102
CW779817,CW286340
DX37502,DX7202
CW437959,CW292769
EH1153116,EH422560
CW1227582,CW204261
EM31517,EM17616
DD65901,DD73079
AL183305,AL183305
EG51000,EG51000
CW210484,CW204913
DL184707,DL184707
