globalID_A,globalID_B
CW758081,CW106106
DR81938,DR93149
DS66719,EH130659
DH33738,EG35557
BL521995,AL255328
EF119540,BJ13569
BY122059,DZ63008
DN93603,EH431830
EH1219523,EH1219523
CZ63091,BL161844
AM37972,AN52092
CW441751,DH24301
DB60959,DB60959
BY436493,AA69206
CT30695,CW1090658
CG177565,AA140751
DR68908,DR68908
BE329908,BE141599
BY508170,BY312578
CW629462,AA107809
DB206026,CW975134
CC116423,BN429385
CH54839,CW381067
EM120744,BZ67855
EN69441,EN69441
CW486914,BH106405
BP38329,BN322055
CJ145457,CJ145457
CW558045,CW613922
AM12221,AW77463
BE272647,BE262110
CG160762,EH764246
AL346165,AL167817
DL241511,BN474709
CW227960,CW331335
EB34098,CA90184
EN50049,EL36247
EH116383,DE200751
BN378858,BN367966
EH134705,AW103591
CW123085,CW154717
EH194386,CW515155
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
AE16597,CN45217
DB333241,DB86036
DS113175,EA56638
EH1040533,EH1040533
AL230206,CW1134572
AL42015,AL48962
CJ159916,CJ159916
AL101285,AL101285
BK10331,CW184004
BN317657,BM26019
BL385307,BL385307
DL201145,DD135894
DD123481,DD123481
EA20728,EH422695
AR5867,BD69812
CW824081,CW1370224
BY689798,BY689798
CM54342,CM59927
AA136491,AN157171
DZ47457,CW453847
BD89443,BD89443
DR97753,DR97753
CW158504,AL165882
AN161320,BW55571
CJ32494,BH86355
EH1239589,CC25297
EH280124,EH230527
ES14361,CG106828
EH370781,EH162441
CW365024,DH32859
CW270572,CW1231309
DE113618,DE164778
DL92800,DL92800
CW81598,CW179470
BL386019,EP45365
CW498346,CW491199
AA113631,BY327461
DE113391,BE208676
CJ10702,CP24437
AA210000,AA69260
BL127802,DA10217
CW917113,CW807933
DK31805,BN239785
AL32880,AL32838
BN553104,CJ131524
DE207257,BL519779
BE355597,CA91688
DH57508,DA50351
EM107290,EM107290
EH495025,CZ63532
CW454757,CW173974
EP77188,AN146282
DN128596,AW183431
AL215435,EF73706
BD99432,BD58659
CW778486,AL326332
BL476954,BY377296
BL334866,BL334866
CW602226,AN163898
EH641878,EL58969
CG157446,CW1089245
BL398896,BE472345
BL439267,CS30949
CW908668,CW879595
EH436536,AL155616
CW213470,CW613922
CW702002,CW303830
DN142787,EH528673
AK58633,DB158546
EH741121,EH395013
CW884962,CW1173415
BY398200,BY27454
AW92376,EH921109
BB99804,EH884343
EH787662,EH787662
CW558110,CW116887
CT30695,AL112656
CW424565,CW795339
CW931171,CW848645
EH280682,EH388244
AD26014,AD30160
BY230864,AL103378
CJ118400,BR11618
BE195441,BL290404
CW457984,BR3520
BE314225,BE314225
DE87704,DE139900
BZ43113,BL287786
CS22553,BN214288
BL127802,DN72617
DN52146,DB147421
DB235761,AG35227
BE284336,AK104830
EH1193120,EM78255
CB16992,BA9989
AM62502,DH36384
CA66987,AG56103
AL169362,AL169362
CB69298,CB69298
CW23027,ES8811
CW704699,CW582593
CW313162,CW602026
DL254223,DA94866
EH442077,DT26807
CW247713,CW674321
CN76262,BL519779
EH823960,CL31416
AN128412,AN128412
EH241876,BL433475
BL461391,BL221662
CP14020,DT28989
CW905926,CW253271
DK31805,DE166091
EH392334,EH741121
AM74133,EH22185
CW519896,DP40847
BL513905,BY521083
DK41606,EP30087
BB46564,DX33847
EF6686,EF6686
AN77849,AN60514
DC15903,EH167017
BH118252,BL312578
CW416158,CW1049697
BL287268,AA120727
AA75035,AA75035
BH171852,BM43262
EH944828,CZ114592
CW517329,CW1031628
EH423281,EH515404
BR72971,EH919673
EH601459,DL139259
CW885859,CW629443
EF145789,EF126293
CW1013468,CJ131524
CW640867,CW381167
EH354244,BY555825
BE270562,BE336290
BL450963,BL450963
DN130546,EH936288
DN74285,BN212254
AP47183,CM54507
BY384936,BY373322
EM78255,DN94131
CC90061,EH245924
EH923210,EH923210
EH919288,CT43551
DB271050,DB271050
EL55773,BW54008
EH418323,CW592554
DE207164,EH237171
CW975643,CW244533
CW450375,CW1344592
CW768667,CW975225
AK129450,AK129450
AL255683,AL166446
CW633200,CW643657
EH236514,EH164748
CW125384,CW804661
EM104516,AG56103
BD87343,BD33028
EJ25249,EG44459
CW1053962,AN132266
DE274205,CW380714
BL427705,CA43196
CW679851,BE115648
ER40003,DS94105
BY81022,BY290319
CC134300,BY303065
CW1143785,CW1040265
BZ44311,BZ44311
EH507712,EH386310
EH302433,BH78644
CW543117,EH391668
EH639045,EH639045
CW106463,CW1092344
CW697313,CW227960
DK30887,BP40920
EH816383,EH561440
EH282030,EP47774
BL284520,EH470249
AS63479,AS63479
CW637095,CW305052
EP64728,EL38874
DN135602,AM69189
DB96636,DB110391
BH163838,BL450092
CW370361,BL45917
CW724721,CW387493
CW1081190,CW1134700
DD95751,DD186768
DZ36305,EH233961
AL108527,EL15509
EH564290,EH955043
DS63747,DS64825
DT144694,DT144694
CW841079,CW732623
EH1182839,DE219683
BY715818,BY220267
CG162942,EB43849
BR97251,EH784706
EF90180,EF185093
CA66987,BY392382
BK43621,DD204657
BB93530,BB93530
EH132050,EH132050
EL55483,EF80389
