globalID_A,globalID_B
CW758081,CW106106
DR81938,DR93149
BR124940,AX71690
BY551551,BY551551
DH33738,EG35557
CW1050993,CW1207974
AA188491,BH182114
BL521995,AL255328
AA189574,DP27040
BY122059,DZ63008
DN93603,EH431830
EH1219523,EH1219523
BH6503,BH6503
DL242076,DL242076
BJ18961,DB268682
AL90475,CW306197
DN94633,AS87974
EH570209,EH405290
AM37972,AN52092
EP77797,DE227142
BN288037,DL124411
CW252880,CW721741
BH151931,AL167940
DB60959,DB60959
BL293491,BC42004
CG177565,AA140751
DR68908,DR68908
AL283971,AL283971
DS94999,CM25997
BE329908,BE141599
BY508170,BY312578
CW629462,AA107809
DB206026,CW975134
CC116423,BN429385
CH54839,CW381067
DB316252,DB95294
EN69441,EN69441
CW486914,BH106405
CW1142354,EH769815
CJ145457,CJ145457
CW558045,CW613922
CS14102,BL452978
EC16065,EC16065
BY99203,BN157951
CW762165,CW172263
BE272647,BE262110
CG160762,EH764246
AL346165,AL167817
CW686133,BZ36519
DA101146,CS30949
DL241511,BN474709
EH854439,EH854439
BY309282,DD78451
CW227960,CW331335
CW972079,CW815830
EB34098,CA90184
EH890578,EM108788
EH116383,DE200751
BN378858,BN367966
DH37729,CN61179
DE119609,BN358757
EH194386,CW515155
CA50488,AH7788
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
DE183133,DE117426
AE16597,CN45217
EB52417,BJ29186
BH177634,BH92929
EH490290,EH642965
DB333241,DB86036
EA35184,EA35014
CG167067,DD96032
BL217345,EH230527
EH1040533,EH1040533
DD113887,DD145423
AL42015,AL48962
CL49610,BN293437
CJ159916,CJ159916
EJ25249,CW802880
DB206031,DB115427
AL101285,AL101285
BE263713,BE263713
EF176929,CN30399
BK10331,CW184004
DE76598,DE76903
BN317657,BM26019
ER27172,BN239361
BR126750,BE199027
BL385307,BL385307
BL89006,BY530916
CJ165257,BJ28291
EH544854,BJ29186
CW365823,BP27446
DD123481,DD123481
EH755944,BD110413
CW517959,CW501481
AR5867,BD69812
CW824081,CW1370224
EF167421,DB139313
BY689798,BY689798
CM54342,CM59927
DZ47457,CW453847
EH515748,DE218898
BD89443,BD89443
DR97753,DR97753
EH489266,DE269401
BG7935,BG7935
BE161496,BW48570
AN161320,BW55571
DB312947,BA16092
CW575864,EH576962
CJ32494,BH86355
EH1239589,CC25297
BL261971,BL263370
EH280124,EH230527
DW36346,DW36346
AA60664,BL438651
ES14361,CG106828
EH370781,EH162441
DE177691,BH117188
DT29550,BC30516
CW238791,CC31247
EH887753,BY20295
CW893134,CW453847
CW365024,DH32859
CW270572,CW1231309
DE113618,DE164778
DL92800,DL92800
CW81598,CW179470
BE271852,AS73674
EH105759,EH332023
AL254970,AL99280
CZ107629,CG152936
CW498346,CW491199
AA113631,BY327461
CN36570,DA52246
EP69790,EP90637
DE113391,BE208676
BK42245,DY33049
AA210000,AA69260
AF12193,DA10217
DR25408,DR25408
BL127802,DA10217
CW440888,CW531572
CW917113,CW807933
DK31805,BN239785
EH961360,CW899235
CC77777,CN62636
AF12193,DN72617
AL32880,AL32838
BN553104,CJ131524
BF40563,BN327023
AX57450,DE201045
EH860266,EH956654
EH670280,DE81715
CW72641,CW316607
EH419376,DS68139
BR136456,CB59773
BE395199,BE395199
EH890631,EH863090
CW1001164,BY335235
EM107290,EM107290
EH495025,CZ63532
CW454757,CW173974
DE230305,AM74690
ES18690,ES18690
EP77188,AN146282
AP85254,ER36927
BL498496,BL532233
AL215435,EF73706
DS72058,BE174423
EH1228616,EH604745
CW668832,CW848645
BD99432,BD58659
DL180540,DL180540
CW127815,DF19289
CB53352,DP44759
CR21169,BC67458
DX45629,AR5782
EB38685,EH622632
CW778486,AL326332
BL476954,BY377296
BL334866,BL334866
CW668186,CW563859
EH641878,EL58969
CG157446,CW1089245
CW783277,CW1073079
EH346486,EH1008306
CW908668,CW879595
EH436536,AL155616
AM25974,BD12034
CW213470,CW613922
CW702002,CW303830
CW425693,CW509829
DN142787,EH528673
CW806599,CW806599
EF109217,AS96633
AK58633,DB158546
CD23101,CD23101
BN240634,DE86624
CW884962,CW1173415
DA89185,DE269401
BY398200,BY27454
DJ12367,DJ12367
BB99804,EH884343
EH787662,EH787662
BH11365,BH110749
EF200326,EF186635
DE98703,DE178122
CW855896,CW855896
BN354411,CD26826
CW1176083,CW960015
CW424565,CW795339
CW931171,CW848645
AK36388,BE177071
AN136043,AM78765
EH280682,EH388244
BS11412,CC25749
AD26014,AD30160
AS73786,CW503452
AL78362,EF106228
EH484581,BC67419
CW1121713,ER34345
BY230864,AL103378
EF115442,CW556259
CJ135756,BY457788
BE195441,BL290404
EM61971,CW703973
BR189077,EH419376
AL240720,BE219529
CW457984,BR3520
BB103015,DW43224
BN433234,BN411064
AK14283,AK14283
DE87704,DE139900
BZ43113,BL287786
EH639090,EH639090
CS22553,BN214288
BL127802,DN72617
BN312141,DD85688
EF166295,EF166295
EH415605,EH693104
DB235761,AG35227
CG50551,AL239832
BE320842,CW503045
EB34098,DT155471
EH400546,EH502819
BE284336,AK104830
ES21395,AM85451
EB68360,BH128484
EN74533,EH769815
