globalID_A,globalID_B
DB186674,DB186674
EH966977,EH966977
CW935955,CW935955
AB42966,AB42966
BH148364,BH148364
AP79283,AP79283
DL242076,DL242076
CW55962,CW55962
EH811333,EH811333
AW25270,AW25270
CW115096,CW115096
AL195582,AL195582
DB233966,DB261653
AN171179,AN171179
DE275792,AX55080
BY236638,BY236638
BC66583,BC66583
CW1086513,CW1086513
EH768179,AM67653
CW125384,CW684744
EL28028,EL28028
BB91135,BB91135
BR125563,BR125563
AG8156,AG8156
CW481064,CW640624
DR37210,DR37210
AP57157,AP4410
EH613645,EH613645
AN155779,AN155779
CF6467,CF6467
BH24125,BH24125
AN216548,AN85247
DB294757,DB294757
BS5930,BS5930
CG47557,CG47557
DL91376,DL91376
BY57908,BY57908
CW99478,CW99478
BH109792,CM53750
CN98682,CN98682
EH234963,AL77201
BL366436,BL366436
DL221209,DL221209
CW158984,CW158984
CW395966,CW395966
AL64429,AL64429
CG35865,CC75864
EH364634,EH475055
AM9891,AM9891
CA105733,EL73846
CW689205,CW879712
CW982379,CW982379
AK2897,AK2897
CW288330,CW142777
CW1040049,CW1040049
AK23924,AK15754
EH274920,EH252508
DC25684,DC25684
CW76097,CW76097
BN160817,BN160817
BL433459,BL433459
CW884761,CW946746
CB32958,CY21303
EH697363,EH697363
DE294667,DE294667
EH796936,EH796936
BN304006,CC62272
EH804038,EH804038
DE309051,DE309051
EH438230,EH438230
CG201613,CW846716
AR16012,AR16012
DE281454,DE281454
CH62923,CH62923
EF205869,EF203501
DB11022,DB48713
CW837466,CW837466
BR213340,BR197613
CW181152,CW347617
DD125063,DD125063
BE43631,BE64611
BY675237,BY675237
CW996867,CW996867
DH30105,DH30105
AS59214,AS59214
DB241093,DB241093
DL214942,DL214942
DA76812,EH252692
CW375351,CW488760
CW724962,CW724962
CW824081,CW1370224
DH30858,DH30858
BW52115,BD153659
BH139862,BH139862
BY42901,BY622921
EH330419,EH749052
AA207456,AA207456
BN366112,BN366112
CW129463,CW453291
DN94774,DN94774
BY30760,CG76528
BR171006,BR171006
DL180540,CA100457
CY32092,CY32092
DE177691,BH117188
BZ45369,BZ45369
DX13005,DX13005
EH381942,DL54239
DB103490,DB103490
DY5869,DY5869
DL187086,DL187086
AS97681,AS97681
BD8217,BD8217
CW437928,CW887347
AA133612,AA133612
CW835385,CW1106420
DW9993,DW9993
CW638120,CW508786
AW206991,CZ80822
BH12664,BH12664
CW539615,AN136168
DN117998,DN117998
CW632852,CW632852
CW412814,CW327182
CW1067073,CZ86513
AE6565,CC116240
DE244531,DE244531
BM32614,BM32614
EJ5829,EJ5829
DR112666,DR71170
EH476437,EH476437
BY722506,BY722506
DB257953,DB257953
BD141135,BD141135
CW75997,EN4413
EH419063,EH245924
BN351967,BN351967
EL73318,EL73318
AK166193,AK166193
BN483084,BN483084
BM74817,BM74817
DL96761,DL85727
EH132911,EH110713
EH289965,EH214726
CG149011,CG105529
CW1034810,CW1034810
AL218464,AL218464
EA22769,EA22769
