globalID_A,globalID_B
EH1188661,EH968953
CJ140315,CJ140315
EH1062395,EH1062395
EM8494,EM50747
DC24877,DC24877
DS89846,DS90648
DL239263,DL239263
BY151960,BY151960
EB60650,EB60650
EH1153059,EH109401
BL334719,BL334719
EH870816,EH870816
BY462796,BY342660
EH1219523,EH1219523
DE55589,DE55589
EH558179,EH566057
BY531704,BY529724
BN422941,BN205353
BY490572,BY591114
EH570209,EH405290
BP48284,BP48284
DA53281,DA36802
BZ49396,BZ49396
BN540252,BN540252
DE55875,DE223323
EH920322,EH920322
EH905489,EH401455
AG8156,AG8156
BH24125,BH24125
BM16086,BM16086
CF6467,CF6467
AG54716,AG54716
EH246448,EH480220
EH832350,EH832350
EH13539,EH1273534
CJ145457,CJ145457
CJ29499,CJ21187
BY446415,DS64363
BZ17465,BZ17465
EH1074354,EH1074354
EH535597,EH741121
DL228620,DL228620
BL101080,BL101080
BL349410,BL349410
EH339897,EH224346
EH585351,EH585351
DJ13190,DJ13190
EH747889,EH1174878
BY52157,BY407452
BN419332,BN419332
BN378858,BN367966
AA95406,AA95406
BY74091,BY179017
DE212083,DE212083
AX48229,BN396927
EH26157,EH26157
EH462808,EH462808
BN448531,BN448531
EH642364,EH642364
BH70011,BH70011
EH57349,EH166062
BY325860,BY323673
DE112353,DE68999
EH570040,AT16946
CJ62240,EG37558
EH401556,EH401556
AA193097,AA193097
DA100642,DA100642
BN136018,BN337069
BN462928,BN209193
AA195970,AA154131
EH889283,AA71863
BN423369,BN359541
DK26119,DK26119
BY85907,BY130505
EM105433,EM105433
BL442631,BL442631
BY99203,DL121853
BJ29318,BJ29318
EH697363,EH697363
EH796936,EH796936
BY409890,BY390276
EH679184,AA92495
EH171189,EH171189
EH1040533,EH1040533
AA144911,AA144911
AR16012,AR16012
BM61425,BM61425
DL256640,DL256640
EH1056548,EH1056548
EH518951,EH518951
EH638865,EH638865
EB75634,BN367234
EH651093,EH651093
EH366954,EH238034
BN419071,BN419071
BG41111,BH114410
BY277184,BY277184
BY675237,BY675237
BY361026,BY361026
EM44930,EM44973
EH148779,EH852464
DN112092,DN112092
BL412093,BL412093
EH292709,EH167488
EH988808,EH988808
BL322975,BL322975
BL385307,BL385307
AA70580,AA70580
AA117057,AA109112
DE326645,DE326645
EH110361,EJ17837
EH671857,EH878143
BY636136,BY636136
BN115742,BN200208
EH516873,EH321145
DE120366,DE8023
EH346403,EH346403
EH196091,EH240540
BY417231,BY417231
EP60452,EP60452
EH213052,EB38438
