globalID_A,globalID_B
CG131638,CG131638
AW6539,AW6539
EL60478,EL60478
AM29550,AM29550
AB44223,AB44223
AP81632,AP81632
AW219620,AW219620
EL60664,EL60664
AW71915,AW71915
AW75225,AW75225
EL84517,EL84517
AB8962,AB8962
AW146016,AW146016
EL93855,EL93855
DT106331,DT106331
EL4860,EL4860
AB36132,AB36132
CG135445,CG135445
AE34874,AE34874
AP46261,AP46261
AB31605,AB31605
AE35233,AE35233
EL54740,EL54740
AP85952,AP85952
AB33751,AB33751
AW90980,AW90980
AW66787,AW66787
EN25976,EN25976
AM72995,AM72995
EN49136,EN49136
AM69243,AM69243
AM99262,AM99262
AM53926,AM53926
AW130448,AW130448
AC3118,AC3118
AM85022,AM85022
CG92678,CG92678
AM80354,AM80354
AM92894,AM92894
EL6179,EL6179
EN46847,EN46847
AB6392,AB6392
AB16025,AB16025
AP50332,AP50332
EL51296,EL51296
AC15292,AC15292
EN51343,EN51343
AW207662,AW207662
AB28062,AB28062
AW114184,AW114184
AM6256,AM6256
EL62841,EL62841
AM26241,AM26241
AW116887,AW116887
AP44162,AP44162
AM96334,AM96334
EN22274,EN22274
AB20084,AB20084
CG166097,CG166097
CG137178,CG137178
AP90601,AP90601
AP83445,AP83445
AW132281,AW132281
AW173357,AW173357
AP34327,AP34327
AW67139,AW67139
CG47759,CG47738
EL64364,EL64364
AW160654,AW160654
AM97635,AM97635
CG119786,CG119786
AW216892,AW216892
CG82921,CG82921
AW160553,AW160553
AW98618,AW98618
CG48610,CG48610
AW165382,AW165382
AM97923,AM97923
AM85257,AM85257
AB35992,AB35992
AE29861,AE29861
EN59666,EN59666
AW89005,AW89005
EL94796,EL94796
CG132740,CG132740
CG12765,CG12765
AW140087,AW140087
AM95798,AM95798
EB36907,EB36907
AW167036,AW167036
AW137010,AW137010
AF7217,AF7217
AE20570,AE20570
AP69740,AP69740
ER21784,ER21784
AB22842,AB22842
AP79072,AP79072
AB24417,AB24417
AE27438,AE27438
AW211234,AW211234
AW166711,AW166711
AP63929,AP63929
AP72134,AP72134
CG64624,CG64624
AW120874,AW120874
AW165495,AW165495
AW168546,AW168546
AW112479,AW112479
EN63690,EN63690
AP79805,AP79805
AM73867,AM73867
AP13032,AP18429
EN24884,EN24884
AW62285,AW62285
AP48333,AP48333
CG53943,CG53943
AM29550,AM53251
EN67567,EN67567
AW182820,AW182820
EL64395,EL64395
EN11604,EN11604
AM108595,AM108595
AM19228,AM19228
CG111872,CG111872
AW167474,AW167474
EN53413,EN53413
AP77888,AP77888
CG154863,CG154863
AM54900,AM54900
AM33550,AM33550
AM24490,AM24490
EL78297,EL78297
AW207779,AW207779
EN60709,EN60709
AP75774,AP69740
CG2166,CG2166
AW162770,AW162770
CG57166,CG57166
CG149750,CG149750
EN53083,EN53083
AP23421,AP23421
AM29695,AM16763
AB5639,AB5639
AM29899,AM29899
AP62850,AP62850
AM86308,AM86308
AW177996,AW177996
AE9562,AE9562
EL84868,EL84868
AB7372,AB7372
EN70303,EN70303
AW40651,AW40651
AP100356,AP100356
EL87755,EL87755
EL69898,EL69898
AW174258,AW174258
EL55196,EL55196
AB8544,AB8544
EL19329,EL19329
AE27832,AE27832
AB2607,AB2607
CW607146,CW607146
AW39232,AW39232
EL32179,EL32179
AM92357,AM92357
AW188948,AW188948
AB5467,AB5467
EL70102,EL70102
AB18786,AB18786
AW137505,AW137505
AM53926,AM34092
EL86248,EL86248
AW218455,AW218455
AP91313,AP91313
EL17745,EL17745
AM81288,AM81288
AW175418,AW175418
AE14032,AE14032
AB39944,AB39944
CG129807,CG129807
CG83394,CN65503
AM103346,AM103346
CG154270,CG154270
AN116861,AN116861
AC16452,AC16452
EN54781,EN54781
AP83628,AP83628
AP84379,AP84379
AW9010,AW9010
AW166055,AW166055
AW69551,AW69551
EN39063,EN39063
AM56781,AM56781
AB8953,AB8953
EN73360,EN73360
AB37326,AB37326
EL68225,EL68225
AP83676,AP83676
CG2830,CG2830
AP13032,AP13032
AM90958,AM90958
AW30937,AW30937
AB35097,AB35097
AC15456,AC15456
EL67961,EL67961
AM91467,AM91467
AP44535,AP44535
CG43938,CG43938
