globalID_A,globalID_B
BL353045,BL370925
BL350524,BL225678
BL412501,BL412501
BL405774,BL405774
BL205395,BL188528
BL411348,BL411348
BL261633,BL261633
BL499949,BL499949
BL424358,BL424358
BL396091,BL396091
BL222903,BL42084
BL193667,BL193667
BL373302,BL373302
BL234385,BL228875
BL471000,BL471000
BL359757,BL359757
BL418067,BL418067
BL437466,BL437466
BL81150,BL250492
BL405619,BL405619
BL284986,BL284986
BL33704,BL33704
BL418374,BL418374
BL342522,BL342522
BL260001,BL260001
BL88923,BL88923
BL448644,BL448644
BL296007,BL296007
BL179019,BL179019
BL416337,BL416337
BL399034,BL399034
BL3070,BL214726
BL281484,BL281484
BL229750,BL229750
BL461542,BL461542
BL298911,BL298911
BL508260,BL508260
BL493655,BL493655
BL449850,BL449850
BL236875,BL236875
BL394341,BL394341
BL392394,BL392394
BL296246,BL296246
BL206364,BL206364
BL38726,BL38726
BL390885,BL390885
BL439912,BL439912
BL379293,BL379293
BL434391,BL434391
BL402836,BL402836
BL115472,BL223703
BL503399,BL503399
BL496982,BL496982
BL131245,BL101322
BL209586,BL209586
BL326578,BL326578
BL418611,BL418611
BL110356,BL110356
BL34925,BL34925
BL32755,BL54321
BL163380,BL163380
BL331313,BL331313
BL247034,BL247034
BL472756,BL472756
BL421754,BL421754
BL436013,BL436013
BL498314,BL498314
BL62475,BL62475
BL493985,BL493985
BL390173,BL390173
BL405848,BL405848
BL66656,BL101322
BL45882,BL45882
BL347219,BL347219
BL387395,BL387395
BL483916,BL483916
BL474674,BL474674
BL76382,BL76382
BL296976,BL296976
BL508575,BL508575
BL360274,BL360274
BL427616,BL427616
BL362556,BL362556
BL339996,BL339996
BL365233,BL365233
BL355972,BL355972
BL332354,BL332354
BL469159,BL308076
BL455917,BL455917
BL440869,BL440869
BL499715,BL499715
BL11158,BL81767
BL425264,BL425264
BL416099,BL416099
BL432757,BL432757
BL360763,BL360763
BL259419,BL259419
BL466982,BL466982
BL449191,BL449191
BL476896,BL476896
BL140958,BL245923
BL298358,BL298358
BL415123,BL415123
BL222556,BL154791
BL199613,BL199613
BL154791,BL154791
BL504703,BL504703
BL462447,BL462447
BL294786,BL294786
BL413976,BL413976
BL423635,BL423635
BL237152,BL237152
BL451036,BL451036
BL424399,BL424399
BL496061,BL496061
BL491865,BL351973
BL425092,BL425092
BL428610,BL428610
BL298943,BL298943
BL396460,BL396460
BL393196,BL393196
BL434135,BL434135
BL312686,BL312686
BL315097,BL315097
BL248220,BL248220
BL392235,BL392235
BL323419,BL323419
BL442333,BL442333
BL509265,BL509265
BL410308,BL410308
BL114291,BL64024
BL271501,BL271501
BL67938,BL67938
BL405925,BL405925
EH704851,EH704851
BL43354,BL161814
BL365244,BL365244
BL303594,BL303594
BL498890,BL498890
BL134209,BL134209
BL374469,BL374469
BL302710,BL302710
BL415979,BL415979
BL431661,BL431661
BL375613,BL375613
BL115472,BL45917
BL273721,BL273721
BL398361,BL398361
BL371203,BL371203
BL306972,BL306972
BL288353,BL288353
BL326930,BL326930
BL388069,BL388069
BL416598,BL416598
BL346351,BL346351
BL478443,BL478443
BL461043,BL461043
BL133828,BL133828
BL510668,BL510668
BL108250,BL108250
BL406395,BL406395
BL509977,BL509977
BL334372,BL334372
BL234614,BL234614
BL385964,BL385964
BL390110,BL390110
BL204271,BL204271
BL299577,BL299577
BL463019,BL463019
BL463547,BL463547
BL330188,BL330188
BL475477,BL475477
BL32755,BL32773
BL359655,BL359655
BL338651,BL338651
BL360979,BL360979
BL434954,BL434954
BL310538,BL310538
BL459680,BL459680
BL434850,BL434850
AX22729,AX22729
BL467502,BL467502
BL372051,BL372051
BL241288,BL241288
BL358791,BL358791
BL316048,BL316048
BL342382,BL342382
BL211321,BL211321
BL516784,BL516784
EH627799,EH627799
BL436156,BL436156
BL156672,BL156672
BL154791,BL130073
BL407729,BL407729
BL357642,BL357642
BL351439,BL351439
BL44825,BL44825
BL64631,BL64631
BL261721,BL261721
BL354174,BL354174
BL282350,BL282350
BL421822,BL421822
BL347404,BL347404
BL396890,BL396890
BL373518,BL373518
BL41910,BL41910
BL450008,BL516655
BL351973,BL351973
BL253456,BL253456
BL80444,BL69393
BL455875,BL455875
BL343121,BL343121
BL101783,BL101783
BL29962,EP94361
BL483045,BL483045
BL181843,BL181843
BL162732,BL113819
BL424473,BL424473
BL374459,BL374459
BL430417,BL430417
BE273250,BE273250
BL447338,BL447338
BL418532,BL418532
BL155212,BL178310
BL50482,BL50482
BL274433,BL274433
BL228875,BL228875
BL142779,BL142779
BL260297,BL260297
BL421195,BL421195
BL261304,BL261304
BL517855,BL517855
BL435080,BL435080
BL499879,BL499879
BL296025,BL2986
