globalID_A,globalID_B
EH1188661,EH968953
CJ140315,CJ140315
DL239263,DL239263
AA188491,BH182114
EH1153059,EH109401
EH870816,EH870816
EH1219523,EH1219523
BZ49396,BZ49396
EH920322,EH920322
BH24125,BH24125
CF6467,CF6467
EH13539,EH1273534
CJ145457,CJ145457
BH5759,BL182975
BY446415,DS64363
BZ17465,BZ17465
EH1074354,EH1074354
DL228620,DL228620
BL317389,BL317389
BL101080,BL101080
BL349410,BL349410
DS90817,DS104748
BY52157,BY407452
BN378858,BN367966
AA95406,AA95406
DE212083,DE212083
EH462808,EH462808
BN448531,BN448531
EH642364,EH642364
BH70011,BH70011
DE112353,DE68999
EH401556,EH401556
AA193097,AA193097
DA100642,DA100642
DK26119,DK26119
BY85907,BY130505
BJ29318,BJ29318
EH912565,EH1306658
EH171189,EH171189
EH1040533,EH1040533
AR16012,AR16012
EH651093,EH651093
EH366954,EH238034
BY675237,BY675237
BY361026,BY361026
EH292709,EH167488
BL322975,BL322975
BL385307,BL385307
AA70580,AA70580
AA117057,AA109112
BL298121,BL298121
DE120366,DE8023
DE91299,DE137713
EH346403,EH346403
BY417231,BY417231
EP60452,EP60452
BG7935,BG7935
DE101033,EH485166
EH330419,EH749052
BL139932,BL155672
BY525196,BY525196
EP83839,CJ48533
EH911861,DE269171
DE113618,DE164778
BH12664,BH12664
CF8485,CF8485
BN452869,BN179200
AG14770,BL3575
BL292540,BL292540
BY683405,BY424841
AA113631,BY327461
BY562922,BY562922
DK31805,BN239785
BY324728,BY411267
BN483084,BN483084
EH482097,EH417018
BY634119,BY634119
BH93316,BH154092
BL459184,BL459184
EG51000,EG51000
EH365156,EH232135
BY466465,BY212442
EH866775,EH866775
BN359783,BN214072
BY23499,BY23498
BN282581,BN457767
BY265178,BY426715
DL180540,DL180540
BZ69598,BZ69598
EH384288,EH1217505
BZ15932,BZ15932
DA113659,DA47950
EH473396,EH473396
EH917169,EH917169
DL247273,EP30087
BZ55934,AA167578
CD23101,CD23101
DN3241,BN6051
BY398200,BY27454
BL415979,BL415979
DE220835,DE222366
EH787662,EH787662
EH843267,EH843267
AA36026,AA116448
BN354411,CD26826
EH260245,DK17994
BY318377,BY74731
BY532552,BY532552
BY388626,BY388626
BN412411,BN412411
EH94474,EH109483
EP70688,BP33914
AX5856,AX5856
EB6701,EB19786
BN456480,BN456480
DC18333,DC18333
DE40886,DE161216
BN537574,BN537574
DL238423,DL238423
EH1271350,EH1271350
EH1074535,EH1074535
EH639090,EH639090
