globalID_A,globalID_B
DB233700,DB233700
DB167516,DB167516
AK33503,AK33503
DB245553,DB245553
DB23200,DB207585
AK136340,AK136340
DB220595,DB220595
DB178441,DB307264
DB126189,DB126189
AK11359,AK11359
DB266282,DB266282
DB83040,DB83040
DB166620,DB166620
DH33464,DH33464
DB314768,DB314768
DB248648,DB304409
DB205435,DB205435
DX58047,DX58047
DB177666,DB177666
AK104771,AK104771
BC68827,BC68827
DH27559,DH27559
AK39274,AK39274
DB205390,DB205390
DB233290,DB233290
DB222979,DB222979
DB283493,DB283493
AK113656,AK113656
DB191101,DB180851
DH55110,DH55110
DB182893,DB182893
DB204014,DB204014
AK119286,AK119286
DB173792,DB173792
AK66805,AK66805
DB137512,DB137512
AK6578,AK6578
BC47809,BC47809
AK31596,AK31596
DB232628,DB232628
DB270571,DB270571
BC51459,BC51459
DB47556,DB148453
AK142913,AK142913
DB164890,DB164890
DB308795,DB315099
DB40228,DB40228
BC18158,BC18158
DB14980,DB14980
BC54198,BC54198
DB262140,DB262140
AK25631,AK25631
AK23924,AK15754
DB223362,DB89617
DB121193,DB121193
DB226484,DB226484
DB289788,DB289788
DB226153,DB226153
DB190705,DB190705
AK82353,AK82353
AK111224,AK111224
DB242287,DB242287
DB142850,DB142850
AK141896,AK141896
DB179405,DB179405
DB255924,DB255924
DB216132,DB216132
DB146832,DB139648
DB207834,DB207834
DB284784,DB284784
BC36777,BC36777
DB218083,DB218083
AK78716,AK78716
DB191603,DB191603
AK41579,AK41579
AK101225,AK101225
DH2523,DH2523
DB248648,DB248648
DB12932,DB12932
DB291021,DB291021
AK113545,AK113545
DB318697,DB318697
AK101133,AK101133
BC55620,BC55620
BC60094,BC60094
DB44498,DB44498
DB215247,DB299320
DB25321,DB25321
DB267490,DB267490
AK46145,AK46145
AK126477,AK126477
BK4411,BK4411
AK143930,AK143930
AJ36550,AJ36550
AK105209,AK105209
AK3349,AK3349
BC2074,BC2074
DH41558,DH41558
CW713966,CW713966
BK2319,BK2319
AK90803,AK90803
DB16345,DB16345
DB289867,DB289867
AJ34556,AJ34556
DH63975,DH63975
DB208515,DB208515
DB299458,DB299458
DB150672,DB150672
DB121021,DB121021
DB223362,DB223362
AK154664,AK154664
DB213228,DB213228
DB288532,DB288532
AK125304,AK125304
DB290986,DB290986
BK49755,BK49755
AK98162,AK98162
DB250404,DB250404
DH42532,DH42532
DB307264,DB307264
AK10526,AK10526
AK14711,AK14711
AK125216,AK125216
DB319110,DB319110
AK104593,AK104593
AK119397,AK119397
DB153881,DB153881
DB284333,DB195094
DH37675,DH37675
DH37729,DH37729
DB152154,DB152154
AK38659,AK38659
BC59773,BC59773
AK104692,AK104692
DB121188,DB121188
DH34891,DH34891
DB38070,DB38070
DB173633,DB173633
DB311509,DB311509
DX41327,DX41327
DB18804,DB18804
DB179860,DB179860
DB138939,DB138939
DB293264,DB293264
DB199069,DB199069
DB238663,DB238663
DB39476,DB54655
BC49176,BC49176
DB181582,DB181582
DB270700,DB261644
DB257866,DB257866
DB224242,DB224242
DD170427,DD170427
BC52971,BC52971
AK96621,AK96621
DB217148,DB217148
DB302420,DB302420
DB314863,DB314863
DB208169,DB208169
DB157136,DB157136
DB284333,DB284333
DB69414,DB69414
DB116769,DB116769
DB239055,DB239055
DH15515,DH15515
DH55535,DH55535
DB289168,DB289168
DB252958,DB252958
AK122808,AK122808
DB33677,DB33677
AK93168,AK93168
DB226610,DB226610
DH13381,DH13381
DB289017,DB289017
DB182910,DB151606
DH17711,DH17711
DB188471,DB188471
AK106297,AK106297
DB96373,DB96373
DB216347,DB216347
AJ30919,AJ25215
DH5959,DH5959
DB215839,DB215839
DB192176,DB192176
DB281161,DB281161
DB289925,DB289925
BC59684,BC59684
AK100017,AK100017
DB161413,DB161413
DB190217,DB190217
DB161228,DB161228
AK73352,AK73352
DB218696,DB218696
AK34038,AK34038
BC27448,BC27448
AK37505,DX12446
BC21098,BC21098
DB231745,DB231745
DB163588,DB299744
DB112995,DB112995
DB168000,DB168000
DB63312,DB63312
DB66444,DB66444
DB291194,DB291194
DB307184,DB307184
DX12446,DX12446
DB211659,DB211659
DB261644,DB261644
DB294327,DB294327
AK46609,AK46609
DB281971,DB281971
DB278203,DB7277
AK98441,AK98441
DB291705,DB291705
BC63239,BC63239
AK108405,AK108405
DB289507,DB289507
DB306387,DB306387
DH51941,DH51941
BC15103,BC15103
AK164846,AK164846
DB276549,DB276549
AK142899,AK142899
DD110248,DD110248
AK135723,AK135723
DB99269,DB99269
BL282051,BL282051
DB24418,DB24418
DB311700,DB311700
DB239071,DB239071
CW574547,DB307667
DB297402,DB297402
DB69414,DB131334
DB283451,DB283451
DB57194,DB44221
AK143120,AK143120
AK89651,AK89651
DH30063,DH30063
DB113932,DB97415
DH57857,DH57857
DB55499,DB55499
BC4153,BC4153
AK118184,AK118184
DB141911,DB141911
AK105245,AK105245
AK39344,AK39344
DB235434,DB235434
AK50736,AK50736
DB287993,DB122903
DB67698,DB67698
AK67020,AK67020
DB119682,DB119682
DB24430,DB24430
AN106250,AN106250
AK108477,AK108477
DB294650,DB294650
DH41171,DH41171
DB271365,DB271365
DB227441,DB227441
DB179710,DB179710
DB49989,DB189950
DB267423,DB267423
DB159331,DB159331
BC46467,BC46467
DB312999,DB312999
AJ42549,AJ42549
DB166288,DB166288
DB207585,DB207585
DB178441,DB178441
DB178480,DB178480
DB227147,DB227147
DB113072,DB113072
AK68349,AK68349
DB241315,DB241315
DB158169,DB158169
DB188419,DB188419
DB88738,DB88738
AK143330,AK143330
AK94468,AK94468
BC40312,BC40312
DB258590,DB258590
AK106273,AK106273
DB125209,DB125209
AK137571,AK137571
BK23966,BK23966
DB124107,DB124107
DB215247,DB110687
DB311652,DB311652
