globalID_A,globalID_B
EH153614,EH153614
BL501032,BL501032
EH950385,EH950385
CJ157487,CJ157487
EH544545,EH544545
EH764658,EH764658
BP22456,BP22456
EH538091,EH538091
CJ9521,CJ9521
AX69756,AX69756
EH951005,EH951005
EH402911,EH402911
BW66424,BW66424
CJ130014,CJ130014
CJ133691,CJ133691
DE300599,DE300599
DK31761,DK31761
EG55969,EG55969
CA19420,CA19420
CA94511,CA94511
EH802612,DE211619
EH810177,EH810177
CJ130277,CJ130277
EH373031,EH373031
EH499289,EH499289
EG26521,BP53603
AX83158,AX83158
EH155703,EH155703
BP17010,BP17010
BP10695,BP10695
DK29827,DK29827
EH272340,EH272340
EH1281164,EH1281164
CA4239,CA4239
CJ72265,CJ72265
BP37184,BP37184
DE284915,DE284915
EM115839,EM115839
EH1050698,EH1050698
EH872901,EH872901
CJ3019,CJ3019
CA83024,CA83024
BW55247,BW55247
EH817831,EH817831
DE296437,DE296437
EM34800,EM34800
EH855920,EH855920
CA14548,CA14548
EH518951,EH518951
EM41683,EM41683
EH771848,EH771848
DE280636,DE280636
EM95719,EM95719
DE88638,DE80038
CA47283,CA47283
EH1155708,EH1155708
EH896740,EH896740
EH793210,EH793210
EH1053865,EH1053865
EG2850,EG2850
EG25085,EG25085
EH888563,EH888563
DA38655,DA38655
EH701371,EH701371
EH414827,EH414827
EG17312,EG17312
CJ105769,CJ105769
EH405860,EH405860
EH780421,EH780421
DE249409,DE249409
EH763355,EH763355
EH998655,EH998655
EH64076,EH64076
EP87236,EP87236
BW49593,BW49593
EG49785,EG49785
DE172300,DE172300
CJ125255,CJ125255
BL331298,BL331298
CJ14752,CJ14752
EG58592,EG58592
DE275453,DE275453
DE57092,DE57092
EH1124565,EH1124565
EH419249,EH419249
CJ195958,CJ195958
DE196021,DE196021
EH718027,EH718027
EH1129708,EH1129708
EG45021,EG45021
DE290691,DE290691
CJ171312,CJ171312
EH372373,EH372373
DE38480,CA19914
EH628192,EH628192
DK37773,DK37773
EH1012595,EH1012595
EH1156851,EH1156851
CJ127771,CJ127771
EH1318829,EH1318829
DK43963,DK43963
EH384850,EH384850
EH1053611,EH1053611
EH911040,EH911040
CJ34477,CJ34477
BW49641,BW49641
EH24147,EH24147
EH982383,EH982383
EH707577,EH707577
CJ172692,CJ172692
CJ134789,CJ134789
EH168268,EH168268
EH581129,EH581129
CJ111895,CJ111895
BP52280,BP52280
DK41873,DK41873
BP47043,BP47043
BW62729,BW62729
DK41731,DK41731
CJ146913,CJ146913
EG40976,EG40976
DK38195,DK38195
CA97652,CA97652
BP38579,BP38579
EH185711,EH185711
EH439574,EH439574
EH859769,EH859769
EH306521,EH306521
BW54632,BW54632
EH466169,EH466169
DE289520,DE289520
CJ184335,CJ184335
EH970815,EH970815
CJ143844,CJ143844
EH969617,EH969617
EH1023657,EH1023657
EH379000,EH379000
BW56474,BW56474
BW49860,BW49860
EM131803,EM131803
EH730553,EH730553
EM86454,EM86454
DE300420,DE300420
EH763438,EH763438
CJ54105,CJ54105
CJ156671,CJ156671
BL412954,BL412954
BP3502,BP3502
AX45299,AX45299
EH1244410,EH1244410
DE88638,EH485166
EH780246,EH780246
EJ9171,EJ9171
DE262435,DE262435
BW28028,BW28028
EM97213,EM97213
DE290971,DE290971
CJ121652,CJ121652
CJ43725,CJ43725
BW47354,BW47354
BW58781,BW58781
EH575040,EH575040
CA90045,CA90045
DE176438,DE176438
DE122289,DE122289
EG45472,EG45472
EH1200908,EH1200908
CJ80581,CJ80581
EH604958,EH604958
BP52489,BP52489
BP70267,BP70267
CJ172989,CJ172989
EJ11712,EJ11712
CJ76148,CJ76148
EH1128074,EH1128074
CJ138323,CJ138323
EH876076,EH876076
EH1037845,EH1037845
CJ114205,CJ114205
EH1127763,EH1127763
EH964360,EH964360
EG54301,EG54301
EH459637,EH459637
BP44685,BP44685
BP52139,BP52139
EH1119546,EH1119546
DE216014,DE216014
BW43014,BW43014
DK32204,DK32204
BP71035,BP71035
EH923077,EH923077
DE294357,DE294357
EH973192,EH973192
BP42662,BP42662
BP53603,BP53603
EH548448,EH548448
EH1147699,EH1147699
AX63426,AX63426
DE309199,DE309199
CA13477,CA13477
EH643123,EH643123
CJ69804,CJ69804
EH1129319,EH1129319
EH1150808,EH1150808
EH235858,EH235858
BW39862,BW39862
EH760826,EH760826
EH371454,EH371454
DK41949,DK41949
EH802187,EH802187
EG41248,EG41248
DK2945,DK2945
DK26109,DK26109
EH83414,EH83414
CJ27045,CJ27045
DE297503,DE297503
EH380559,EH380559
EH989028,EH989028
EM74798,EM74798
BP48046,BP48046
EH1016782,EH1016782
EM113097,EM113097
EH1105182,EH1105182
EH997775,EH997775
CJ169691,CJ169691
BP66799,BP66799
CJ163636,CJ163636
EH1318387,EH1318387
