globalID_A,globalID_B
CW383914,CW245310
AM91695,DL243020
DS76846,BM46494
CG127928,CG127928
CW144274,CW451160
EG41205,AL122481
CW586666,CW586666
EH482799,BN209343
DZ10356,CY19773
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
DE275792,AX55080
CW901893,EH979988
EH598505,EH598505
CW147748,CW296022
BR108802,CB41528
BL391927,BH84915
BY375988,BY416270
CW29513,CW113526
EH796783,AC13272
EH940689,EH285464
AL200024,AL200024
CJ129570,CJ129570
EH108495,EH269216
CW848225,CW318611
BY375133,EG33783
CW561659,CN51869
CP17424,CP17424
CW269738,CW608098
BL413358,BL525965
CW227488,CW390587
EH132350,EH635336
CY28721,EH486537
DW50291,DM36931
ED20328,EL87708
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
CW111175,CW78391
AN199694,EF121475
AL244619,AL244619
CG35865,CC75864
DB242445,DB84237
CW533974,BE94031
AK162859,AK162859
EC15143,EH162789
CE49150,CE49150
CW1063356,CW277029
BY52157,BY407452
CW527053,CW734473
CN101800,CN93741
AM106886,AM106886
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
EH462808,EH462808
BG41037,BG41037
BN448531,BN448531
DN54267,EH558682
CW293601,CW485377
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
BN136018,BN337069
EH325311,AW138562
EM74101,EM74101
CW1252681,CW581381
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH337976,BY114153
AK111837,AK111837
DX46458,DL259835
EG42335,EG41402
ES23539,ES23539
DB267570,DB267570
BN455380,BN213796
CW265302,CW579723
CW597632,CW673317
EH181963,BL50356
BW55753,DS68139
EH1045729,EP40896
EM44930,EM44973
CZ84464,CZ84464
CA66987,BX12753
BN20910,BN24403
BS11116,CW1339407
CN82791,CJ81761
EH704163,AN96190
DL63721,CC32951
BN311195,BN301707
BN20910,BN65472
BR181494,DD203430
DL98305,CW79495
CW817470,CW180765
DE91299,DE137713
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
EH671109,DT75107
CW797584,BN285004
AL279828,AL243163
DE230400,DE230400
BN293278,CZ33909
AS67205,AS81200
EH322209,DH20592
CW168075,CW168075
BR195045,EA35260
CW878022,CW27432
EH161084,EH185624
ES14361,CG106828
EB69142,EN35127
CW162665,CW588237
CW1082180,CW933518
CW238574,AF13274
DB219486,DB219486
CW1277473,CW1162478
CJ35343,BH114544
BL87589,BL381843
CW1137856,CW1339043
EH666884,BE252669
CW751538,CW128386
BN219288,DL37354
AS46149,EH778184
CC111145,CC111145
AA113631,BY327461
BL381610,CW723753
AA141665,DY8413
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
DD35153,DY8413
CW655811,CW199905
BN259763,BN259763
DA6565,DA7491
CW721988,CW997248
DA77290,DA77290
BB98970,BB111655
CW369263,CW298762
CG136352,DB130077
BE30483,BE30474
DL96761,DL85727
BN359645,BN247438
BN286167,BN163861
CW437959,CW292769
CW229642,CW420845
CW537340,CW331967
EH142460,EH865951
BN74650,BN74638
CW360663,CW281673
DB196933,BY409682
AL310402,DE231201
CW1001164,BY335235
BW3166,EG20219
BN531979,BJ36271
EH581420,EH581420
DB5361,DB72640
CW947419,CW947419
CW525855,CW492018
CW360663,CW860425
BL240989,BL271040
BL391927,CW724104
BY23499,BY23498
BL498496,BL532233
DE297919,DE297919
DH55881,DH44687
CB6034,CZ26446
CW342024,CW73205
CW436868,CW215661
DE190886,DE228203
AK71889,CA66457
EH917382,EH917382
BL220957,EH175265
