globalID_A,globalID_B
CW1190811,CW1113962
EH224341,EH224045
CW250992,CW648511
CW1017710,CW714778
DX39555,DL176078
BN5359,BN59169
DX55288,DX39761
CW860169,DB324326
CW61964,CW509607
EL77050,EL77050
BE351892,BE390629
BY387546,BY681527
EB25926,BL55050
DT29550,AX29272
CW666023,CW204630
BY223090,AW30384
CW384161,CW235169
CW510686,CW415629
EG46284,EG24193
CW79978,CW132308
BY538473,BY109303
CW382578,CW10019
BP67398,DS48249
CW1146909,CW732575
CW1294945,CW894555
BY217502,BY105285
CW175376,CW418402
CW857377,CW655059
CW314719,CW420624
CW891398,CW287993
DB243224,DL221220
CW242513,EF198239
BL58596,AA44302
DX39555,EP82056
CA20527,AX29272
CL21874,DS51909
CW760041,CW1257386
BL258096,BH91491
CW259146,CW644541
DB110834,DB83788
DE177691,DL176078
DT29550,EP30087
BN307996,BN95328
DS95556,EH1050290
AL265252,BX18827
BK15083,CM12522
BY501777,DL139320
CW1096138,CW644541
CW551317,CW723856
AP44351,AP46568
BY497043,BY231696
EH965276,BN265347
CC92685,CC19159
CA143430,CA91926
BN471018,BN170074
CW1227289,CW1011549
BY486939,BY580602
EH816468,CC127514
AW85891,AW117307
CW105380,CW299287
EH561680,DN72617
CW1225794,CW1225794
EH129857,EH494970
DR2202,DR57971
BH25117,BH51180
DS67768,DS67768
CW1162640,CW1083292
AL319823,DE319090
CW227603,CW88585
EH508824,EH478943
CW14326,CW10449
BE431001,BE295330
AL97668,AL137977
CC71424,CC145991
AL83915,BJ28997
CW321262,CW1153348
CW741168,CW468652
EH169580,EH195774
EH262823,EH299875
DX39555,EP30087
CW1330114,CW1330114
BY408875,BP24280
CW748523,EH551191
DT17999,CT10714
AL239780,AL208631
CW455959,CW370322
EF71616,EP67581
EH81697,AS33918
BN5359,BN72144
EH1178862,EH334899
EH994868,EH551191
DL76263,CC121907
DE102060,DE133370
EH533615,EB3882
BN119634,BN80742
CW300850,CW460828
AP17727,AP14669
BW43028,EP82056
CW1369426,CW54900
DS95556,BH132340
CW710312,BC33196
DR104461,DR6649
DX39555,DP37105
EH1153059,EH224346
EH553694,EH385121
CW1145790,CW756260
DE285833,DE285833
CW751975,CW279817
