globalID_A,globalID_B
DE277238,DE277238
BY600963,BY600963
BE5104,BE67462
EN50049,AP35297
ES14492,ES14492
AB42966,AB42966
BL456896,BL456896
EL77050,EL77050
EN79982,CW1081688
BN497196,DY19772
DA10659,ER23475
EM95730,BZ47588
DE237489,EH921347
EH967385,EH967385
BC49985,BC49985
BN82409,DS48533
EH118547,EH118547
EH927285,EH252755
BN354347,CC116240
CW262317,CW262317
CW456741,CW456741
CW283819,CW172430
AX35788,AX35788
CW1028273,CW89575
CK8165,CK8165
EH855427,EH570671
EH667783,EH667783
DB243974,DB146982
CW948502,CW1332368
DL247273,DL96397
CJ58748,CJ58748
EH202456,EH202456
EK21153,EK21153
CW590414,CW590414
CW695560,CW648514
CW914508,CW398539
CW805407,EN38218
BD86541,BD86541
CM40606,CM40606
DB187393,DB204926
DL131992,DL131992
DD43769,DD164722
CH52285,CH52285
EH921057,EH921057
AL278949,DL161143
BL121386,BL143636
BN393323,BN393323
CW1033946,CW1339854
EH969781,EH1301564
CW1083955,CW915544
ES22186,ES22186
BL107613,BL107613
BY711308,BY711308
CG150073,CG150073
DE257450,DE257450
CG72940,CW283978
EH452842,EH452842
AL67528,AL67528
EH752912,EH752912
EH632392,EH632392
AL296039,AL296039
BR210491,BR210491
AW87637,DP35867
DZ24042,AA89265
CW1225794,CW1225794
EH352821,EH352821
BY83189,BY83189
CJ35795,BR81884
BE397609,BE397609
BE222294,BE222294
CD30937,CD30937
EH860266,EH875028
BE113840,BL419879
DE290318,DE290318
AL131417,CR8652
AN141974,AN141974
CW608075,CW880441
CW729669,CW1129356
AA115754,CJ42624
DW69134,DW69134
EH184709,EH184709
EH671841,BL193636
EH431071,EH431071
EM63626,EH693984
DE234665,DE234665
BL387579,BL387579
EM89315,EM89315
EG52745,EG52745
BH100978,BH65591
CW352444,CW352444
CW1232556,CW1254045
CJ29541,EH348706
EA32643,EA32643
AD29032,AD29032
CG64464,CG64464
BE121107,BE252992
EN50049,CA68875
EH323668,DS59119
EJ29735,EJ29735
EH356358,EH356358
BY507935,BY507935
BE304161,BE166976
EH1099500,EH1099500
DH21199,DH31038
BL167428,BL42648
AL239794,AL239794
DL175090,DL175090
CM68557,CM68557
DL174685,DL174685
CW497254,CW168809
EB44964,DM30323
CJ52011,CJ69443
DL213646,DL213646
EG35921,EG35921
CW761593,CW761593
AA178284,AA178284
CW360440,CW736428
EH793574,BN365192
DR34732,DR102511
CW812501,CW773102
DR111839,DR111839
CW451539,CW451539
CW438679,CW145293
CA137601,CA137601
EF185420,EF185420
AL170754,AL170754
CW426175,CW426175
AA110751,AA88208
EH443588,EH443588
CW756239,CW1060175
AK41822,AK41822
EH24952,EH24952
CW636551,CW636551
BY558281,BY252522
DL204454,DL204454
EH145984,EH145984
CW74104,CW263348
CW813325,CW813325
DE302637,EH579447
BE453464,BE453464
EH1127604,EH1127604
CW517943,CW517943
BC48845,BC48845
BY37085,BY422095
CW475837,CW475837
CW1163575,CW1332368
BL16790,BL16790
EH1045896,EH408660
EH125088,EH125088
DE297258,DE297258
BL6881,BL83494
BY121258,BY121258
BN488799,BN488799
CW356638,CW356638
BN303738,EH215313
EH813028,EH813028
EH364777,EH440692
CG74349,CG74349
CW806102,CW806102
CY10396,CY10396
CJ110993,CJ110993
CW227488,CW704527
BD8052,BD8052
DB291593,DB291593
BL26052,BL26052
EH245397,EH245397
EH421842,EH421842
DE324337,DE324337
EH797014,AZ10483
CA95928,CA95928
BY177490,BY178686
DT79339,DD63766
BJ11304,CN45217
EF88192,EF88192
CW1095097,EH921057
CW453088,CW453088
BR230860,BR230860
CW342811,CW342811
CA105849,CA105849
EH89871,EH89871
EH758784,EH314955
BZ40570,EH652263
BL501842,BL501842
EF187943,EF187943
EH676960,DA42039
CW298463,CW372599
EP28157,EP28157
CA114719,CA114719
CW872891,CW872891
CG17952,CG17952
BH37237,DE71770
EH655298,EH655298
EH1047172,EH703059
EG29640,EG29640
CB28532,CB28532
