globalID_A,globalID_B
CW383914,CW245310
AM91695,DL243020
DS76846,BM46494
CG127928,CG127928
EH40947,AS18149
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
CW147748,CW296022
BY375988,BY416270
CW29513,CW113526
EH796783,AC13272
AX18280,AX18280
DH58307,DL76801
EH108495,EH269216
BK43621,BL408332
CW848225,CW318611
BY375133,EG33783
CP17424,CP17424
CM53974,AP52403
CW269738,CW608098
BL413358,BL525965
CW227488,CW390587
EH132350,EH635336
EF161706,EN42619
CY28721,EH486537
DW50291,DM36931
ED20328,EL87708
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
CN48052,CJ85038
CG35865,CC75864
DB242445,DB84237
AK29343,AK14721
AK162859,AK162859
DN3707,AP22210
CE49150,CE49150
DL129280,DS68139
CW1063356,CW277029
BY52157,BY407452
CW71301,CW244249
CW527053,CW734473
AM106886,AM106886
EH988415,EH1268667
CW50263,AW80285
CW111989,CW210287
AA95406,AA95406
EH462808,EH462808
BG41037,BG41037
BN448531,BN448531
DN54267,EH558682
CW438707,CW340776
CA50488,AH7788
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
BN397515,EH551952
AK111837,AK111837
DX46458,DL259835
EG42335,EG41402
CW931050,CW931050
DB267570,DB267570
BJ20830,DD173502
CW254053,CW445087
BN153899,BN232020
BN455380,BN213796
CW265302,CW579723
CW531964,CW562318
CW181152,CW347617
EH1045729,EP40896
CA66987,BX12753
BN20910,BN24403
BS11116,CW1339407
EF181642,BW58274
CN82791,CJ81761
EH704163,AN96190
DL63721,CC32951
BN20910,BN65472
DL98305,CW79495
DA76812,EH252692
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
CW83196,CW1159614
CW858219,CW224428
CW797584,BN285004
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
EH821019,EH821019
BH50811,EH394032
BN293278,CZ33909
AS67205,AS81200
CW168075,CW168075
BR195045,EA35260
CW203130,CW792775
CW878022,CW27432
AA149552,DE72784
EH161084,EH185624
ES14361,CG106828
EB69142,EN35127
CW162665,CW588237
CW1082180,CW933518
DB219486,DB219486
CW1277473,CW1162478
CJ35343,BH114544
BL87589,BL381843
BN467024,EH999287
EH666884,BE252669
CW751538,CW128386
BN219288,DL37354
EH255157,EH388766
CT59613,DD68325
EM11064,EM89043
CC111145,CC111145
CG202206,AP88075
AA113631,BY327461
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
CW655811,CW199905
BN259763,BN259763
EH441918,EL10113
DA6565,DA7491
CW721988,CW997248
DA77290,DA77290
CW369263,CW298762
EH125088,EH125088
CG136352,DB130077
BE30483,BE30474
DL96761,DL85727
BN359645,BN247438
BN286167,BN163861
CW437959,CW292769
CW229642,CW420845
CW537340,CW331967
BN74650,BN74638
CW360663,CW281673
DB196933,BY409682
CW1001164,BY335235
BN531979,BJ36271
EH581420,EH581420
DB5361,DB72640
CW947419,CW947419
CW525855,CW492018
CW360663,CW860425
EB66969,EB66969
BL391927,CW724104
EH355683,EH310324
EP88882,DD102829
DA23918,BM31203
BY23499,BY23498
BL498496,BL532233
BH4430,BH60813
DE297919,DE297919
DH55881,DH44687
CW342024,CW73205
BN167062,BN252934
CW668186,CW563859
CW436868,CW215661
AK71889,CA66457
DP9193,EH44590
