globalID_A,globalID_B
CW383914,CW245310
AW105535,AW193921
DS76846,BM46494
CG127928,CG127928
EG41205,AL122481
CW586666,CW586666
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
CW147748,CW296022
BY375988,BY416270
CW29513,CW113526
EH796783,AC13272
EH940689,EH285464
AL200024,AL200024
EH108495,EH269216
AK57205,DB113599
CW848225,CW318611
BY375133,EG33783
CP17424,CP17424
CM53974,AP52403
CW269738,CW608098
BL413358,BL525965
CW227488,CW390587
EF161706,EN42619
CY28721,EH486537
DW50291,DM36931
ED20328,EL87708
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
AN199694,EF121475
AL244619,AL244619
CN48052,CJ85038
CG35865,CC75864
DB242445,DB84237
AK162859,AK162859
AX38630,CB48466
CE49150,CE49150
CW1063356,CW277029
BY52157,BY407452
CW527053,CW734473
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
BN448531,BN448531
CC74865,BH96241
CA50488,AH7788
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH1066260,EH1066260
EH1107532,EH1307286
AK111837,AK111837
DX46458,DL259835
EG42335,EG41402
DB267570,DB267570
CW254053,CW445087
BN455380,BN213796
CW265302,CW579723
CW531964,CW562318
CW181152,CW347617
CN42821,CZ34056
DR149576,AL191328
CZ84464,CZ84464
CW286537,CW48010
BN20910,BN24403
BS11116,CW1339407
BR63480,BR85093
EH704163,AN96190
BN311195,BN301707
BN20910,BN65472
BR181494,DD203430
CL49610,BY372329
DL98305,CW79495
DA76812,EH252692
CW817470,CW180765
DE91299,DE137713
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
CW901885,CW330781
EM108698,BN430281
CW83196,CW1159614
CW858219,CW224428
EH671109,DT75107
CW797584,BN285004
CC54430,AE6610
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
EH821019,EH821019
AS67205,AS81200
BR195045,EA35260
CW203130,CW792775
CW878022,CW27432
AA149552,DE72784
EH161084,EH185624
ES14361,CG106828
AW156888,AW156888
EB69142,EN35127
DB219486,DB219486
CW1277473,CW1162478
CJ35343,BH114544
BL87589,BL381843
CW1137856,CW1339043
BN467024,EH999287
EH666884,BE252669
CW751538,CW128386
BN219288,DL37354
DE289371,DE126480
CT59613,DD68325
CC111145,CC111145
AA113631,BY327461
BY562922,BY562922
