globalID_A,globalID_B
CW383914,CW245310
AM91695,DL243020
DS76846,BM46494
CG127928,CG127928
CW144274,CW451160
CW586666,CW586666
CJ64794,AW25364
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
DE275792,AX55080
EH598505,EH598505
CW147748,CW296022
BY375988,BY416270
EH796783,AC13272
EH940689,EH285464
AL200024,AL200024
CW848225,CW318611
BY375133,EG33783
CW561659,CN51869
CP17424,CP17424
CM53974,AP52403
CW269738,CW608098
BL413358,BL525965
EH749334,EH796223
CW227488,CW390587
CY28721,EH486537
DW50291,DM36931
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
EH1044677,EH1276439
CN48052,CJ85038
CG35865,CC75864
DB242445,DB84237
AK162859,AK162859
CE49150,CE49150
CW259451,CW407343
DL129280,DS68139
CW1063356,CW277029
BY52157,BY407452
CW527053,CW734473
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
EH462808,EH462808
BN448531,BN448531
CW438707,CW340776
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH1066260,EH1066260
AK111837,AK111837
EG42335,EG41402
CW931050,CW931050
DB267570,DB267570
BJ20830,DD173502
BN455380,BN213796
CW265302,CW579723
CW181152,CW347617
BW55753,DS68139
EH1045729,EP40896
EM44930,EM44973
BN20910,BN24403
BN184031,BN165262
EH704163,AN96190
BN20910,BN65472
EH516873,EH321145
DL98305,CW79495
DA76812,EH252692
CW817470,CW180765
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
CW901885,CW330781
EH671109,DT75107
DB235690,DB259758
CW797584,BN285004
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
AS67205,AS81200
CW168075,CW168075
BR195045,EA35260
CW878022,CW27432
AA149552,DE72784
EH161084,EH185624
ES14361,CG106828
AW156888,AW156888
EB69142,EN35127
DB219486,DB219486
CW1277473,CW1162478
BL87589,BL381843
CW1137856,CW1339043
EH666884,BE252669
BN219288,DL37354
DE289371,DE126480
EM11064,EM89043
AA113631,BY327461
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
CW655811,CW199905
DA6565,DA7491
CW721988,CW997248
DA77290,DA77290
CW369263,CW298762
CG136352,DB130077
BE30483,BE30474
DL96761,DL85727
BN359645,BN247438
BN286167,BN163861
CW437959,CW292769
CW229642,CW420845
CW537340,CW331967
BN74650,BN74638
CW360663,CW281673
DB196933,BY409682
CW1001164,BY335235
EH581420,EH581420
BL459184,BL459184
DB5361,DB72640
CW947419,CW947419
CW525855,CW492018
EB66969,EB66969
EH355683,EH310324
BY23499,BY23498
BL498496,BL532233
BH4430,BH60813
DE297919,DE297919
CW664616,CW543412
CW1033151,BL284133
CW342024,CW73205
BN167062,BN252934
CW668186,CW563859
EH917382,EH917382
AA192913,AA192913
CW349223,CW390766
BN159700,CN24909
DT124674,BH128026
AM22671,AW157854
AP54834,AP54834
AW69900,AW69900
BL431864,AP73195
AN69894,AN206936
BY579576,BY172134
BZ12097,BZ25978
EG41117,EG41117
EH1107194,EH1107194
EH794859,EH794859
EH1128109,EH1128109
CW409983,CW444807
CW1045068,CW833620
DB145907,DB76218
CW553247,CW1033109
EB33854,EB34573
BN421649,BN443645
CG122219,CG3355
DB242998,DB242998
EH581420,CZ32732
BY545872,BY24791
CW695560,CW1005841
