globalID_A,globalID_B
CW8097,CW24941
EG41205,AL122481
CW365058,CW886560
DL242076,DL242076
EH811333,EH811333
CW17209,CW17274
CW603811,CW659646
AL345102,AL345102
AN171179,AN171179
AA160957,AA160957
BP48284,BP48284
CW738932,CW153592
CW951794,CW951794
CW486914,BH106405
CW85781,CW104580
BN515859,BN515859
CW925747,CW925747
BL366436,BL366436
BL317389,BL317389
EH313161,EH862262
CW55261,CW49648
CW676989,CW378060
BR69609,CG35176
DR79808,DR79808
CW504270,CW473608
BL349410,BL349410
AL276431,AL276431
EH854439,EH854439
CE10495,EH179497
AK162859,AK162859
CW972079,CW815830
CW915532,CW423127
BJ36915,BJ36915
EH467363,EH467363
BG41037,BG41037
BN448531,BN448531
EH642364,EH642364
EF105095,EF105095
AL155807,AL155807
CW64270,CW243351
DH33738,BL397259
CW83755,CW342722
CJ142021,DP42763
BL434639,BL434639
CW605615,CW644425
EM105433,EM105433
BL435958,BL512728
DR104607,DR104607
CW241382,BR49561
EH809467,EH809467
EF120678,EF120678
AL42015,AL48962
AK111837,AK111837
CW1054664,CW534607
AN164651,DE212008
DB267570,DB267570
AL101285,AL101285
CW768413,CW768413
CW67410,CW270955
BN293690,BN91728
EH444638,EH247167
AW181378,AW181378
CW475722,CW1182829
CT59253,CT59253
BN419071,BN419071
EH917266,EH917266
DR93705,DR79077
DE309126,DE309126
CW938930,CW1370224
CW1038808,EF188205
BY636136,BY636136
BL442575,BL442575
CW203929,CW1159614
AK109695,AK109695
EP60452,EP60452
AP65936,AB24442
BL309039,BL309039
AN44857,CW111986
CW566361,CW254744
DR97753,DR97753
EH489266,DE269401
EH702716,EH702716
DE230400,DE230400
EH108048,EH1161355
AS67205,AS81200
AX71812,AX71812
BY525196,BY525196
DH56057,DH56057
EH1012151,EH1012151
AJ42659,AJ42659
CW528393,CW877948
BR147301,BR147301
DR108830,DR108830
CW170671,CW139685
DL208079,AK160079
BY562922,BY562922
DE265680,DE265680
EH476437,EH476437
CW724012,CW933188
BL142648,BL164487
AL196362,AL196362
EG43024,BL290572
BY634119,BY634119
BH93316,BH154092
CW474599,CW603472
BE397676,BE397676
CW1001164,BY335235
CW524744,CW463194
EG51000,EG51000
CR9226,CR9226
BE320278,BE359908
EH656080,EH656080
BY278731,BY50262
CW367578,CW607245
DB243572,DB243572
CR21169,BC67458
BY303320,CW646046
AN183167,AN183167
BN258016,BN258016
EH384288,EH1217505
EH641878,EL58969
CW599171,CW599171
BN418977,BN418977
EH148252,EH148252
BN385527,BN332431
AS63442,AS63442
CW365326,CW335200
DB259254,DB259254
EH1107194,EH1107194
EH1128109,EH1128109
BY81216,BY172071
DB242998,DB242998
EB6701,EB19786
BM69394,DA110731
EF21398,AK85484
BN32340,BN13083
BL480777,BL480777
CW1041284,CW1041284
CW363986,CW142537
EH399240,EH1241341
BY384538,BY348175
CW1092036,CW1123771
BP47146,BP47146
BE314225,BE314225
BY275561,EN24926
CW1142211,CW546049
EH1212845,EH1212845
AL148133,AL148133
CW724012,CW724012
DZ65094,BN191414
BJ41266,BJ41266
CW1207523,CW1207523
EH972163,EH972163
AS71249,AS71249
EH1038941,EH421202
EH321532,EH288788
EP75573,DL84592
BN494219,BN494219
CM2764,AP2903
CW117115,CW307574
AL169362,AL169362
CW502413,CW502413
DA113709,DA113709
AL231013,AL231013
BJ33711,BJ33711
EH1269406,EH1269406
EH699016,EH358393
DL187755,DL219078
CW948502,CW1173492
AL109233,AL109233
EF182947,EF182947
EF210701,EF210701
BY660872,BY660872
CW644212,CW644212
BE318126,BE318126
BN325603,BN325603
BL352307,BL352307
EH876076,EH876076
EL67621,EL67621
CL57468,CL57468
EF179688,EF179688
BY20788,BY212024
BL185013,BL185013
BL482528,EH1311832
CW610780,CW1302667
AP52536,BR98430
AL174561,AL174561
DX4663,DX4464
AA58659,AA28782
EP82083,EP82083
EH30159,EH204470
CC133035,CC133035
CW1057866,CW770761
EH189952,EH245924
BY341421,BY252390
BY218403,BY332184
CW938114,CW237818
BW58195,EH1024987
CW790360,CW790360
BY683299,CW923370
EH1031467,EH1031467
DB225641,DB225641
EH189952,EH376204
CW602922,CW602922
EH880266,EH880266
BY410249,BY464399
CW633761,EH603618
CW1199842,CW571746
AL332989,AL31809
EH757836,EH757836
CJ131792,CJ66702
CW188177,CW188177
BE77307,BE77307
BE15918,BE24905
BL508317,BL508317
EH971734,EH971734
DW65238,DW65873
EH957483,EH957483
CW100524,CW339657
CA86119,CA86119
DT79107,DT79107
CW237392,CW156742
BN348839,BN348839
BB81399,BB81399
BL379493,BL379493
CW1164282,EH522892
EF136325,EF136325
EH643039,BK33235
BN388920,BN388920
DA107842,DA107842
CZ40673,CZ40673
CN97014,CN97014
AP44546,AP44546
AL4921,AL4921
EH1021713,EH1021713
EF166094,EF166094
AN154371,AN154371
CZ76660,CZ76660
BB4958,DW5775
EH418323,CW592554
EP92296,EP92296
EL77135,EL77135
BN495914,BN495914
EG2746,EG2746
BB73559,BB73559
CH50502,DD207410
CZ34331,CC116240
DS101400,DS101400
CW1172859,CW573462
BR166433,CM76949
DB188586,DB188586
CW7606,CW304170
DA96203,DA96203
EL76760,EL76760
EH993056,AK110778
DT124783,AN133909
DN127662,DN71557
CX11822,AL75421
CP39344,CP39344
CW159258,CW439183
DZ29388,EP24293
AK83634,AK43942
AN41450,CJ65656
CG71796,EB21654
EL79772,EL79772
CA114191,CA114191
EP86577,EP86577
DR89785,DR89785
EH1098917,EH1131793
CW1273790,CW1273790
EH1131536,EH1131536
EH572052,EH572052
EH440985,EH252397
EN49136,EN49136
CW319272,CW1372055
EH534584,EH379806
AN157578,BR218797
CJ140553,CJ140553
CJ132175,CJ132175
AL58137,AL58137
AL261994,DZ63486
EG41205,BY454626
BL47684,BL152602
DW43285,DW43285
CJ67509,CJ102000
BL159157,BL113350
BY454158,CY18918
DL172970,DL172970
CW171535,CW1271358
EH669984,EH432943
DN147692,DN147692
EH1014130,EH1014130
EH1095873,EH456934
DN74285,EA26998
BY556904,BY556904
CW582200,CW354085
AL266874,AL266874
CW1159847,CW1345011
AX73363,AX73363
CW543500,CW543500
BC41801,BC41801
AA165816,AA124849
DE289763,DE289763
DL187342,DL187342
CW1258368,CW1258368
DN143628,EH1054911
CW530254,CW393649
CW487967,CW487967
DB138090,DB135959
DZ70589,DZ70589
EH1100885,EH1100885
EH965508,EH965508
CW1104436,CW1104436
BE377156,BE377156
CW854838,CW854838
DH52325,CW359930
CJ137281,CW1317488
EH1158851,EH1158851
CW552191,BN308788
BD46325,BD122090
CW225649,CW349195
DH55881,CH36948
DB254342,DB254342
DN109150,DN109150
AL183555,AL183555
EF126884,CL21361
ES8574,ES8574
CW1330689,CW1330689
CW640445,AK74676
EH1055719,EH1055719
CW839224,CW1108362
BY604326,BY689641
BN486734,BN486734
EF197121,EF197121
BP52354,BP52354
CW805717,CW1256268
DE241071,DE143059
BY56086,BY174395
EF126990,CW788482
CW189623,BN387174
BB97790,AP66792
AL219206,DE288850
BN352282,BN352282
EH604971,CC62272
BE371737,BE371737
DW75965,DW75965
BH88566,BN331341
CW1174856,CW915202
CW683933,CW604640
EH496037,EH496037
CW719710,CW676734
BP69894,BP69894
CW230817,CW230817
BM66939,BM72479
BL364225,BL364225
DR69646,DR66030
BY457731,BY457731
CW1157030,CW716511
BY343876,BY452442
DB279539,DB279539
BM54714,AN98663
BN397028,BN397028
BL418753,BL418753
CB84933,CZ70785
EH823504,EH823504
DF20746,DF20746
BL398374,BL398374
CW411032,CW321389
BP25671,EG8525
BN341575,BN341575
AS48913,AS8111
AS73048,AS73048
DA98283,DA98283
EH713292,EH713292
CG187952,CG92211
BN426573,BN368388
DT119362,DT119362
DN138934,EH362830
CW723370,CW723370
BN156971,BN156971
CA127287,DR72996
CW1140326,CW1323696
BN384681,CG46467
EH189035,EH419263
CJ139677,CJ139677
CW404564,CW254744
CW119327,CW17274
BR188457,BR188457
DH47099,DH47099
DE269221,DE269221
DL245264,DL202534
BE308050,BE142276
EH430234,EH77833
DB243421,DB243421
EH858278,EH855944
CW908668,CW331152
BN378914,BN378914
AL67515,AL67515
CW312986,CW706036
DE98368,DE135091
DE267590,DE267590
EH834977,EH834977
CW817593,BY549105
BL38712,BL38712
CW1063356,DD216114
CW840254,CW840254
CL55104,CA62721
CW861523,CW951782
EF6739,AK68621
ER25593,ER37210
AW174022,AW174022
AS64008,AS64008
BY411570,EN54195
BE427598,BE427598
BL134235,BL105599
BE155766,BE152841
CB88348,CB88348
BD74793,BD80133
DD190861,EH501178
CW127161,CW413431
DB213897,DB86711
EH398163,EH372954
CW499171,CW54775
CN68591,CN68591
BY380543,BY72045
BH77077,BH77077
CG168186,CG168186
CW1244990,CW925307
EH622379,EH479757
EH287678,EH177957
BL288585,BL288585
AW184946,AW184946
CW420451,CW431275
AB40039,AB40039
CW972917,CW972917
AL287129,AL287129
EH620897,EH505746
EF182843,EF182843
CR26162,CR26162
BN148763,BN148763
BB75170,BB56812
CW321296,CW398559
CJ100053,EH488092
BE134345,AM16698
