globalID_A,globalID_B
CW383914,CW245310
CN78299,DE72784
AM91695,DL243020
DS76846,BM46494
CG127928,CG127928
CW586666,CW586666
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
CW147748,CW296022
CW29513,CW113526
AL200024,AL200024
DL121382,AY3526
DH58307,DL76801
DB202412,DB65351
CW970511,CW157903
EH108495,EH269216
CW848225,CW318611
BY375133,EG33783
CP17424,CP17424
CW269738,CW608098
BL413358,BL525965
EH749334,EH796223
CW227488,CW390587
EF161706,EN42619
CY28721,EH486537
DW50291,DM36931
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
CW111175,CW78391
CN48052,CJ85038
CG35865,CC75864
DB242445,DB84237
CG116557,AW104122
AK29343,AK14721
DN3707,AP22210
CE49150,CE49150
CW259451,CW407343
DL129280,DS68139
CW1063356,CW277029
BY52157,BY407452
CW71301,CW244249
CW527053,CW734473
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
BG41037,BG41037
BN448531,BN448531
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH1066260,EH1066260
AK111837,AK111837
EG42335,EG41402
CW931050,CW931050
DB267570,DB267570
BJ20830,DD173502
CW254053,CW445087
BN455380,BN213796
CW265302,CW579723
BY555429,EH576206
CW531964,CW562318
CW181152,CW347617
EH181963,BL50356
BE43631,BE64611
EH1045729,EP40896
EM44930,EM44973
DR149576,AL191328
BN20910,BN24403
BN469677,EH1281402
EH704163,AN96190
EH663561,BA11772
DL63721,CC32951
BN311195,BN301707
BN20910,BN65472
BR181494,DD203430
DL98305,CW79495
CW1091286,CW1094725
CW817470,CW180765
DE91299,DE137713
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
CW858219,CW224428
EH671109,DT75107
CW797584,BN285004
CC54430,AE6610
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
AS67205,AS81200
EH322209,DH20592
BR195045,EA35260
CW203130,CW792775
CW878022,CW27432
