globalID_A,globalID_B
CW1190811,CW1113962
CW250992,CW648511
CW92837,CW391302
CW1017710,CW714778
AK157865,AK143050
EH153773,DL145851
CW860169,DB324326
CW61964,CW509607
DL191095,BD125673
EL77050,EL77050
BE351892,BE390629
BY387546,BY681527
DT29550,AX29272
BY223090,AW30384
CW1260086,DD68325
DE85228,EH231631
CW384161,CW235169
CW510686,CW415629
CJ165257,DB120936
EG46284,EG24193
CW382578,CW10019
BP67398,DS48249
CW1146909,CW732575
CW1294945,CW894555
BY217502,BY105285
AL133180,AL71839
CW175376,CW418402
CW259661,CW136322
CW857377,CW655059
CW314719,CW420624
CW891398,CW287993
DB243224,DL221220
CW242513,EF198239
BL58596,AA44302
DX39555,EP82056
CA20527,AX29272
CW760041,CW1257386
BL258096,BH91491
CW259146,CW644541
DT29550,EP30087
CM40606,CM40606
DS95556,EH1050290
AL265252,BX18827
DT29550,BM26019
DB114207,DB60910
EH206902,EH293610
CW1096138,CW644541
CW551317,CW723856
BY723526,AM105010
AP44351,AP46568
CC92685,CC19159
CA143430,CA91926
BN471018,BN170074
CW1227289,CW1011549
BY486939,BY580602
EH816468,CC127514
AW85891,AW117307
CW105380,CW299287
BY264104,CL11121
CW1225794,CW1225794
DR2202,DR57971
AL319823,EP82056
BH25117,BH51180
DS67768,DS67768
AD2768,EF42181
CW1162640,CW1083292
AL319823,DE319090
CW227603,CW88585
EH508824,EH478943
AJ29026,EF69218
EH816468,CL31416
CW14326,CW10449
BE431001,BE295330
BL21801,BR109666
CW321262,CW1153348
AD19467,CB52756
AL291673,AL338581
CW580220,CW418402
CW741168,CW468652
EH169580,EH195774
EH262823,EH299875
DX39555,EP30087
EH816468,AB23808
BY408875,BP24280
EH729820,DA86813
CW748523,EH551191
DT17999,CT10714
AL239780,AL208631
EF71616,EP67581
EH81697,AS33918
EH1009066,EH1009066
EH1178862,EH334899
CJ155584,AM101525
CZ39870,DT81309
DL76263,CC121907
CG42681,DL122691
DE102060,DE133370
BY716225,BY650270
AL239794,AL239794
CW806196,BY525704
EH533615,EB3882
BN119634,BN80742
CW300850,CW460828
BN341520,EH1021597
BL131579,BL61070
BW43028,EP82056
EH784724,EH1274844
CW1369426,CW54900
CT2595,BN162812
CW1109524,CW1357702
DR104461,DR6649
BR69795,CP3288
DX39555,DP37105
