globalID_A,globalID_B
BY600963,BY600963
BE5104,BE67462
ES14492,ES14492
BL456896,BL456896
EL77050,EL77050
EN79982,CW1081688
BN497196,DY19772
DA10659,ER23475
EM95730,BZ47588
DE237489,EH921347
EH967385,EH967385
BN82409,DS48533
BE307628,BE424690
CW456741,CW456741
CW283819,CW172430
CW1028273,CW89575
ES22451,BE146692
CK8165,CK8165
CM62265,CM62265
EH855427,EH570671
EH667783,EH667783
DB243974,DB146982
EH948278,CW1031471
DL247273,DL96397
CJ58748,CJ58748
EH202456,EH202456
CW695560,CW648514
DC16390,DC16390
CW914508,CW398539
CW805407,EN38218
BD86541,BD86541
DL131992,DL131992
AL83915,BE168408
EH921057,EH921057
AL278949,DL161143
BL121386,BL143636
CW1033946,CW1339854
BL6881,BL429444
ES22186,ES22186
BL107613,BL107613
AN130998,AN159784
DE257450,DE257450
CG72940,CW283978
AL67528,AL67528
DN61242,BB37790
EH752912,EH752912
AL296039,AL296039
BR210491,BR210491
EH921347,BY559869
EG31678,EG31678
AL279715,AL52891
AW87637,DP35867
CW1225794,CW1225794
EH352821,EH352821
BE397609,BE397609
EH860266,EH875028
BE113840,BL419879
EG34927,CN51869
BE187281,BE187281
DE290318,DE290318
AL131417,CR8652
AN141974,AN141974
CW608075,CW880441
CW729669,CW1129356
AA115754,CJ42624
CW449632,CW449632
EH671841,BL193636
EM89315,EM89315
BH100978,BH65591
BE406678,DT134994
EH1056548,EH1056548
CW1232556,CW1254045
CJ29541,EH348706
AD29032,AD29032
CG64464,CG64464
BE121107,BE252992
EN50049,CA68875
EJ29735,EJ29735
EH356358,EH356358
BY507935,BY507935
BE304161,BE166976
EH1099500,EH1099500
DH21199,DH31038
DL175090,DL175090
BY285945,AA189484
CM68557,CM68557
DL174685,DL174685
CW497254,CW168809
EB44964,DM30323
CW761593,CW761593
DB253062,DB200767
AA178284,AA178284
CW360440,CW736428
CW223907,CW223907
DR34732,DR102511
CW812501,CW773102
EH405015,EH196480
EH20019,EH11353
CW451539,CW451539
CW438679,CW145293
EF185420,EF185420
AL170754,AL170754
CW106990,CW345670
AA110751,AA88208
CW756239,CW1060175
AK41822,AK41822
EH931144,EH931144
BY558281,BY252522
DL204454,DL204454
BM22040,EL13836
BD106234,BD106234
EH145984,EH145984
CW813325,CW813325
BE453464,BE453464
BY340363,BY340363
BY674321,BY674321
CW475837,CW475837
DE297258,DE297258
CA55647,CA55647
BL6881,BL83494
CW356638,CW356638
BN303738,EH215313
EH813028,EH813028
EH364777,EH440692
CG74349,CG74349
CW806102,CW806102
CW227488,CW704527
DB291593,DB291593
BL26052,BL26052
EH245397,EH245397
EH421842,EH421842
DE324337,DE324337
EH797014,AZ10483
CA95928,CA95928
DE263381,DE199626
BJ11304,CN45217
EF88192,EF88192
CW1095097,EH921057
CW453088,CW453088
CA105849,CA105849
EH89871,EH89871
BN303738,BN75017
EH758784,EH314955
BZ40570,EH652263
EF187943,EF187943
EH676960,DA42039
CW298463,CW372599
EP28157,EP28157
CA114719,CA114719
CW872891,CW872891
CG17952,CG17952
EH1047172,EH703059
EG29640,EG29640
BN131720,BN291074
BL424633,BL424633
CB28532,CB28532
CW291800,CW291800
EH1271647,EH1271647
CW504833,CW933820
BD8052,BD6237
BN289406,BN289406
CW296756,CW253271
CW395908,CW395908
BR31687,CC14078
EH705412,EH705412
BR44186,BR173650
AL263727,AL263727
CW883235,CG79441
BE90143,BE405255
EH400012,EH400012
EF103084,EF106325
CW475722,CW577081
CW1012233,ER27056
EB52992,EB18403
BG31785,BG31785
AS59250,AA68621
AG40814,BK26947
CW1028816,CW938187
CW336917,DH17838
BP66578,EH1033900
BN81746,BN118042
EL91597,EL91597
