globalID_A,globalID_B
AM91695,DL243020
DS76846,BM46494
CG127928,CG127928
DL175900,BE471205
BL390704,BR174150
CW586666,CW586666
CG139134,EN66150
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
CW147748,CW296022
BY375988,BY416270
CW29513,CW113526
AL200024,AL200024
DH58307,DL76801
DB202412,DB65351
EH108495,EH269216
AK57205,DB113599
CW848225,CW318611
BY375133,EG33783
CW561659,CN51869
CP17424,CP17424
CG62334,DX33847
CM53974,AP52403
CW269738,CW608098
CW227488,CW390587
EF161706,EN42619
EH937166,EH937166
CY28721,EH486537
DW50291,DM36931
ED20328,EL87708
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
CN48052,CJ85038
CG35865,CC75864
DB242445,DB84237
AK162859,AK162859
EC15143,EH162789
CE49150,CE49150
DL129280,DS68139
DS107923,BN506469
CW1063356,CW277029
BY52157,BY407452
DB122415,BB80368
CW71301,CW244249
EB34098,BK23792
CW527053,CW734473
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
EH462808,EH462808
BN448531,BN448531
DN54267,EH558682
CN55086,CN55086
DA100642,DA100642
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
BN397515,EH551952
EH1066260,EH1066260
EH337976,BY114153
AK111837,AK111837
DL263392,DL263392
DX46458,DL259835
EG42335,EG41402
CW931050,CW931050
DB267570,DB267570
BJ20830,DD173502
BN455380,BN213796
CW265302,CW579723
CW597632,CW673317
CW531964,CW562318
BW55753,DS68139
EH1045729,EP40896
EM44930,EM44973
CA66987,BX12753
DH51437,DH51437
BN469677,EH1281402
EF181642,BW58274
CN82791,CJ81761
EH663561,BA11772
BN311195,BN301707
BN20910,BN65472
BR181494,DD203430
EH516873,EH321145
DL98305,CW79495
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
CW83196,CW1159614
DB235690,DB259758
CW797584,BN285004
BE358629,EH952483
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
BN293278,CZ33909
AS67205,AS81200
CW168075,CW168075
BR195045,EA35260
CW878022,CW27432
EH161084,EH185624
ES14361,CG106828
EB69142,EN35127
CW162665,CW588237
EH388133,DE166091
DB219486,DB219486
CW1277473,CW1162478
CJ35343,BH114544
BL87589,BL381843
BN467024,EH999287
EH666884,BE252669
CW751538,CW128386
BN219288,DL37354
CT59613,DD68325
BY544864,BL209778
AS46149,EH778184
CC111145,CC111145
CG202206,AP88075
AA113631,BY327461
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
CW655811,CW199905
CW826323,CW630374
CW721988,CW997248
DA77290,DA77290
BP62854,EH354506
CW369263,CW298762
AA100490,ER31926
CG136352,DB130077
BE30483,BE30474
DL96761,DL85727
BN359645,BN247438
BN286167,BN163861
EH1224954,EF160308
CW437959,CW292769
CW229642,CW420845
CW537340,CW331967
EH142460,EH865951
BN74650,BN74638
CW360663,CW281673
DB196933,BY409682
BN531979,BJ36271
EH581420,EH581420
CW947419,CW947419
EL70860,BL155814
CW525855,CW492018
CW360663,CW860425
EB66969,EB66969
BL391927,CW724104
BY23499,BY23498
DD164420,DS90737
BL498496,BL532233
DE297919,DE297919
DH55881,DH44687
CW664616,CW543412
BN167062,BN252934
EH917382,EH917382
CW573042,CW526717
CW349223,CW390766
BN159700,CN24909
DT124674,BH128026
AM22671,AW157854
AP54834,AP54834
AW69900,AW69900
BL431864,AP73195
EH996536,DE176703
BY579576,BY172134
BZ12097,BZ25978
EG41117,EG41117
DB201045,CN51790
EH1107194,EH1107194
EH794859,EH794859
EH1128109,EH1128109
CW409983,CW444807
BY645737,EF186635
CW1045068,CW833620
EM109928,AE17255
DL283920,EF160308
DB137922,BN529026
DB145907,DB76218
EB33854,EB34573
EH225561,EH113618
BN421649,BN443645
CG122219,CG3355
DB265836,DX61085
CW974648,EF134195
DB242998,DB242998
BN409739,CB49899
EH581420,CZ32732
CA83553,DD131908
BY545872,BY24791
BY230864,AL103378
CG187003,DX15549
CW796104,CW724104
BA10879,BH81798
EH673055,EH673055
BR160326,CM52645
CW530629,CW546776
DB192689,DB276967
AZ8548,EH110713
CW350618,CW387933
CA115594,CA86058
DA46517,EF56403
BL147342,BR42082
BB85846,CN51869
ER22201,BL247109
EH1046372,EH1046372
BE384523,BN234657
CW591140,CW562133
BE453768,BE453768
EH346979,EH1147627
EH247088,EH181659
BE202741,BE210696
CW434797,CW453036
BE314225,BE314225
BY275561,EN24926
AN207907,AN85247
BP27499,CG83538
EH1212845,EH1212845
CW849860,CW591823
CJ190255,CJ204732
EH298457,EH298457
EB34098,DT155471
DE197880,DE55973
CW901234,CW686175
BE341001,BM46494
BY410425,AN96190
DE308708,DE320243
CG71608,CG74003
BE61427,BE195578
EH596565,AY31154
EH198902,EH661759
BN494219,BN494219
CW221602,CW155176
EP76514,EP76514
BL391927,CA131266
AL285815,AL286380
CA66987,AG56103
CW666023,CW460988
BY60440,DW28740
DE48403,DE68905
CA15787,BH93142
AL169362,AL169362
BL184970,BL184970
CW533974,EH422695
CY28721,DA50351
EH624191,EH624191
DA113709,DA113709
EF56983,EH125342
AL231013,AL231013
CW1164282,CW1164282
CW279624,CW332108
DL129280,CZ33909
EH797014,DD131908
AL109233,AL109233
EF210701,EF210701
CW1300113,CW860496
AK142480,AK142480
BY241749,BY261510
CW952229,BR151392
EH23953,DZ20081
CC90465,BN413113
EH458323,DE166091
DE162042,DE297329
BW18541,DD7327
BL352307,BL352307
EH735724,EH527436
DA73458,CN51869
DL20889,DL61936
EL67621,EL67621
EN70319,EN70319
AK90665,DF14388
CG17609,BH114410
CL57468,CL57468
AA105577,AA94390
DL208541,DL208541
EN45331,AL300350
BE382237,BE382237
EH494621,EH235064
EH850463,DL236262
BL417183,BL417183
BL308496,BL266141
DS17921,DS22571
EP82083,EP82083
CA125464,CA125464
BJ21878,EB49574
EH1093929,EH1093929
BN374692,BN324899
CW814148,CW900203
AL196415,AL352974
BW44166,BW44166
DB128450,BB41888
BN239276,BN304534
DB275842,BL122172
CW566646,CW232303
CW938114,CW237818
CW360663,CW525628
CJ111091,BL266141
CW822555,AR9386
AF23986,CN80083
EH1059338,EH112724
BY200450,BY141612
CW332959,CW1371432
DB298240,DB271257
AP61717,AA169727
CL48787,CB61784
AL332989,AL31809
CW109616,CW400145
BW23626,ER42142
CW1062035,CW1062035
DE223918,DE121651
CW188177,CW188177
EH1076567,EM82035
DD84435,DD84435
CA56764,EH820474
EH953884,EH953884
EG27881,EG9023
CW66436,CW215118
EH340053,AD11897
EH149209,EF56403
BN237029,BN223664
DD130416,DD130416
BL31966,BL367594
CW724721,BR141575
BM18098,BM51787
DT142452,DT142452
CG139134,EL50356
DL100258,BR70679
CW500809,CW339066
AW206991,AY17041
CW586324,CW900414
AM14280,AM77048
CJ111091,EH149027
DZ71015,DT64036
CW140341,CW1090500
BN67915,BN195492
BR151918,BR151918
DB197092,AN89643
CW459888,EF88803
CW506907,CW170385
AW128120,AW128120
BL308496,EH149027
AN207907,AT16359
CZ40673,CZ40673
CW867982,CW871503
EH515748,DE166091
BE270562,BE336290
DR39468,EH301474
CY21756,EH768196
EF21310,EF31887
EF166094,EF166094
BE270562,BE61507
EF119464,AC5691
BY182933,BY8983
BN255873,EH395013
EH919288,CT43551
DX46458,CG47281
BY410425,BY362114
AM28242,AM72703
EH833518,EH686329
BB4958,DW5775
EL55773,BW54008
EH418323,CW592554
DN106623,BY378203
CJ76493,AD4554
EH115074,EH348526
BR142249,BR142249
DZ68997,BL506290
CW1126841,ER34268
BB21141,BB117015
BJ10910,BH54180
CR19481,DX33847
EH414087,DE147345
AL204345,DL91745
AA135650,AA135650
BL66884,DE264784
CW349223,CW287845
CW300775,CW332386
EH1086177,EH1086177
EH1088914,EH349128
EN51443,EN51443
CW1137921,CW222470
CW78789,CW52867
DZ68997,BF25565
DB235739,DB235739
EH534711,BK34224
DB67685,DE225693
EH115074,EH355976
EF134195,BL506290
DA96203,DA96203
CW637013,CW692340
DS107221,DS22051
CW491399,DL176078
BN236612,BN236612
DB189161,DB114728
AA53528,AA147785
EH141448,EH439618
BY565240,BY202439
DM31100,AT3998
BN429382,BN241300
EH164356,EH179650
DH64416,DB113852
BR55748,DY17220
DE210351,BL240568
BY642113,BY344180
AN217197,AN217197
AL330285,CW372218
CJ173943,EH990103
EF158943,EF158943
EH149284,EH115904
BY585377,BY585377
CW540485,CW460292
CW373486,CW1015487
CW972453,CW972453
DE221593,DE57135
CW558104,EH422695
EH1002710,EH374157
CA83553,DE157987
BH16415,BH16434
EN49136,EN49136
BE226420,BY395525
BL64043,EH94148
DB193137,DB110208
CZ64839,CZ86196
EH805548,DE313119
CA72667,CA72667
EA33500,CC28678
CW274719,AL185729
CW606187,CW1060175
BE348918,BE206336
EF165725,BL394161
CA125134,DE197589
CW270703,CW52867
DD95751,DD186768
DB241547,CA120296
DB274558,DB247863
EF150296,DB229064
DL220591,CG17519
EH1055196,EH1055196
DE308736,DE308736
CW640429,CW305757
CS14309,CS14309
DW43285,DW43285
CC29365,CC26693
CW589261,CW190857
CG139134,DE230503
CW1131245,CW835206
CZ52345,CZ49828
EH768546,EH768546
DR81623,DR90394
BY182494,BY354837
AN79729,EF15409
CW650598,CW613682
BL315275,BL315275
CW731420,CW837183
DB206080,BH156139
EB34098,AC16498
EH1118304,EH1118304
CZ104108,CZ104108
DD35153,AP17480
BH24964,BH26081
CW167717,CW252898
EH1095873,EH456934
DL129280,CW277029
CC59391,AL126049
AG49802,AG49802
BH53048,DN125150
CW1189651,CW1189651
DT63600,DT51215
EH1080847,EH1080847
CW1024756,CW732623
BN208876,BN526892
DD154790,DD154790
BY221651,BY172244
AA167454,EH1027144
