globalID_A,globalID_B
BE5104,BE67462
ES14492,ES14492
BE126746,BE126746
BL456896,BL456896
BL144577,BL144577
EL77050,EL77050
EN79982,CW1081688
DA10659,ER23475
EM95730,BZ47588
DE237489,EH921347
CH51131,CH51131
EH967385,EH967385
BN82409,DS48533
EH118547,EH118547
BE307628,BE424690
CW456741,CW456741
CW1028273,CW89575
CK8165,CK8165
EH855427,EH570671
DB243974,DB146982
CW948502,CW1332368
DL247273,DL96397
CJ58748,CJ58748
BE467790,BE109314
AJ10983,EM132037
CW590414,CW590414
CW695560,CW648514
CW914508,CW398539
BD86541,BD86541
DB187393,DB204926
DL131992,DL131992
DD43769,DD164722
CH52285,CH52285
AL83915,BE168408
EH921057,EH921057
AL278949,DL161143
BL121386,BL143636
CW1033946,CW1339854
ES22186,ES22186
BL107613,BL107613
AN130998,AN159784
DE257450,DE257450
CG72940,CW283978
EH452842,EH452842
AL67528,AL67528
EH651126,EH651126
EH707883,CW265544
AL296039,AL296039
BR210491,BR210491
EH921347,BY559869
AL279715,AL52891
DZ24042,AA89265
EH352821,EH352821
AL166428,CW1032137
BY83189,BY83189
BE397609,BE397609
CD30937,CD30937
EH860266,EH875028
BE113840,BL419879
EG34927,CN51869
BR139355,AK90491
BL379353,BL379353
AL276571,BE108765
AL131417,CR8652
AN141974,AN141974
AA115754,CJ42624
CW449632,CW449632
EM63626,EH693984
DE234665,DE234665
BL387579,BL387579
EM89315,EM89315
EG52745,EG52745
BH100978,BH65591
CJ29541,EH348706
EA32643,EA32643
AD29032,AD29032
CG64464,CG64464
EH540392,EH540392
EJ29735,EJ29735
EH356358,EH356358
BE304161,BE166976
EH1099500,EH1099500
DH21199,DH31038
AL239794,AL239794
DL175090,DL175090
CM68557,CM68557
CA114842,CA114842
DL174685,DL174685
CW497254,CW168809
BE401657,BE401657
BD156822,BD156822
DL213646,DL213646
EG35921,EG35921
AA178284,AA178284
CW360440,CW736428
CW223907,CW223907
DR34732,DR102511
CW812501,CW773102
EH405015,EH196480
CW451539,CW451539
CW438679,CW145293
EF185420,EF185420
AL170754,AL170754
CW106990,CW345670
DH61978,DH61978
AA110751,AA88208
CW756239,CW1060175
EH24952,EH24952
BY558281,BY252522
DL204454,DL204454
BD106234,BD106234
EH145984,EH145984
BE453464,BE453464
BL37358,BL50519
EH1127604,EH1127604
BY340363,BY340363
CW517943,CW517943
BC48845,BC48845
BE290733,BE290733
CW475837,CW475837
CW1163575,CW1332368
DE297258,DE297258
DP23822,AZ10483
BN488799,BN488799
CW356638,CW356638
BN303738,EH215313
EH813028,EH813028
EH364777,EH440692
CG74349,CG74349
CW227488,CW704527
BD8052,BD8052
BL26052,BL26052
EH245397,EH245397
BY78522,BY78522
EH421842,EH421842
DE324337,DE324337
BL433579,BL433579
CA95928,CA95928
EF88192,EF88192
CW1095097,EH921057
CA105849,CA105849
EH89871,EH89871
BN303738,BN75017
EH758784,EH314955
BZ40570,EH652263
EF187943,EF187943
CW298463,CW372599
EP28157,EP28157
CA114719,CA114719
CG17952,CG17952
AA14327,BY3927
EH655298,EH655298
EG29640,EG29640
CB28532,CB28532
EH423287,EH546705
EH237263,AK160397
AP69882,AP69882
CJ177013,CJ177013
CW291800,CW291800
BL464439,BL464439
CW1071806,DA42039
CW504833,CW933820
DE313826,DE313826
BD8052,BD6237
BN289406,BN289406
CW447509,CW447509
CW296756,CW253271
CG28980,CG28980
BR31687,CC14078
EH705412,EH705412
AZ8036,AZ8036
BR44186,BR173650
CW883235,CG79441
EH400012,EH400012
CW1012233,ER27056
CG22291,DL96397
EB52992,EB18403
BG31785,BG31785
AG40814,BK26947
CW1028816,CW938187
BD62356,BD62356
CW336917,DH17838
BP66578,EH1033900
CW302157,CW302157
AE21221,AN90256
BN81746,BN118042
EL91597,EL91597
CS30809,CS30809
EP61471,EP61471
AL187433,AL187433
CW465173,CW465173
EH306814,AA64396
EH70727,DS36897
BW28951,BL322309
BY466363,BY466363
DE214665,DE214665
AL304027,AL304027
BL245472,BL245472
EH321769,EH321769
DB292801,DB292801
CJ139737,CJ139737
BC68885,BC68885
BY390598,DE198193
EF123975,DW53839
DA114000,DA114000
DE290227,DE290227
CN83136,CN83136
EH999116,EH999116
BR144748,BR166075
DE284951,DE284951
BL500024,BL500024
BY501977,BY133717
EH116364,EH116364
BL433296,BL433296
AN121074,DT103872
BY634619,BY634619
EH414043,EH414043
