globalID_A,globalID_B
CW1190811,CW1113962
CW92837,CW391302
CW1017710,CW714778
DB170315,DB57197
AK157865,AK143050
CW860169,DB324326
CW61964,CW509607
BE351892,BE390629
CJ165257,DE238611
BE424762,BE424762
CW384161,CW235169
CW510686,CW415629
EG46284,EG24193
CW382578,CW10019
CW1146909,CW732575
CW1294945,CW894555
CW175376,CW418402
CW857377,CW655059
CW891398,CW287993
DB243224,DL221220
CW242513,EF198239
BL58596,AA44302
CA20527,AX29272
CW760041,CW1257386
BL258096,BH91491
CW259146,CW644541
DE177691,DL176078
DT29550,EP30087
AL265252,BX18827
BY501777,DL139320
AS27296,AS16484
CW1096138,CW644541
CA20527,EH742520
CW551317,CW723856
AP44351,AP46568
BY497043,BY231696
AW112882,AW85159
CA143430,CA91926
BN471018,BN170074
CW1227289,CW1011549
BY486939,BY580602
EH816468,CC127514
AW85891,AW117307
CW105380,CW299287
CW1225794,CW1225794
BH25117,BH51180
AD2768,EF42181
CW1162640,CW1083292
CW227603,CW88585
EH508824,EH478943
CW741168,CW468652
CA20527,EP30087
EH169580,EH195774
EH262823,EH299875
DX39555,EP30087
BY408875,BP24280
EH729820,DA86813
CW748523,EH551191
DT17999,CT10714
AL239780,AL208631
CW455959,CW370322
EH1178862,EH334899
CZ39870,DT81309
DL76263,CC121907
DE102060,DE133370
BE257161,BE219940
EH533615,EB3882
DE181119,EH249684
BN119634,BN80742
AT23743,BY738238
EG25595,EG31708
BL131579,BL61070
BW43028,EP82056
CW1369426,CW54900
DS95556,BH132340
DR104461,DR6649
DX39555,DP37105
EH553694,EH385121
CW1145790,CW756260
CW408195,CW566973
BY209532,BY491083
DE285833,DE285833
CW751975,CW279817
CM11622,CM10542
BL379918,BL272260
DT29550,EA54857
CW725809,CW688993
CW155814,CW746828
BD19813,BB119869
CW751916,CW1250800
DA63593,AL301848
CW833184,CW443223
BR26125,BL104581
CW441887,CW299287
CW785366,CW646715
AN115149,AN116935
EH503301,EF198239
CJ122431,EH1112738
BD105133,BD121751
DE174892,DE44912
DB251262,ER41038
DB268428,DB203358
CW679536,CW301216
EF92616,EF104958
CW1199795,CW774051
EH337084,EH167159
DT29550,EH742520
CW337927,CW338642
BL258096,BE348137
CW1104637,CW812947
EG40334,CJ207780
EH816468,CN64039
CC25707,CH7059
BN200361,BN450178
BL304829,BL304829
BY489417,BY439752
BY181708,BY428920
CW740889,CW367656
BA8573,EH327301
CW48878,CW140443
CW1043632,CW1117810
DB49866,DB71414
BY159016,BY19602
CW297463,CW1243736
CW1131715,CW74461
CW227603,CW1243736
EH816468,CW427906
EB24634,BE88931
CW650951,EH949350
EH826180,EH484437
EL5863,EL13348
CW98491,CW468652
CW663410,CW732575
CW413473,CW294640
CW207535,CW3704
CW96802,CW109950
CW577704,CW746828
CW212793,CW310019
AL261288,DL176078
CW340536,CW832737
CW1190811,CW394423
CW1168020,CW200488
BE334563,BE214939
EH78195,BY504705
CW1174255,CW1030301
BC24035,CW222404
CW1287646,CW54900
CW891398,CW1327839
CJ165257,DS48249
CW492594,CW403432
CW650951,CW823251
AK7811,DA60164
CW752384,CW507272
BN365362,BN247856
CC61753,CC65056
DE163513,AX37896
BY286629,BY236293
CW608121,CW602026
BY491620,BY472436
CW1043632,CW567295
CW405397,CW501079
CB48049,CB48049
EP61471,EP61471
CP22615,CP3288
BB44491,BB65222
CW166615,CW88674
EH602989,EH923134
BY89989,BY461349
CW862372,CW740059
AL215435,CZ62098
CW119848,CW119601
DE284849,DE284849
AL75466,AL32968
EG38536,CC147438
CW1077631,CW888191
BY289101,EN51902
EH1121657,EH715219
BN176293,BN479127
CW162318,CW306622
DE177691,BP58961
BY188740,BY182012
BM46512,BM5263
CW338740,CW599459
DX35093,DX35093
CW862372,AX29272
CW755941,CW277849
EH377654,ED17448
CW861035,CW647747
CW312370,CW1298642
CN9461,AA10560
CW396027,CW887216
CW247570,CW317019
AP32097,AP22210
CG79936,CG86720
EH679913,EH224346
DG7044,DG6667
AN95413,AN51673
AA54039,CR8513
BE5424,BE2262
EH522013,DB148149
EH892923,EH892923
AM85563,BJ2552
CW518821,CW356785
EP36724,EH675488
EH781957,EH277822
BF40563,BL364462
CW569646,CW921637
CW725809,CW280305
DR26598,DR57971
BN5359,BN14465
AP25028,AL12573
BR74790,AF12695
BN147245,BN109440
BN37692,BN175436
CW207535,CW37591
AL28274,AL8928
DN61592,DN44293
BY135963,BY135961
EH498589,EH822409
CW751975,CW239580
DT148835,DT60803
DT16206,DT3826
DB70013,DB184262
CW1152872,CW383662
BN301541,BR80448
BY67393,EM56329
AN98590,BK8233
CW806196,CW1337673
EH461138,EH644180
CW92200,CW400596
EH616723,EH949350
CW774966,CW1347817
EH201844,EM56329
CW227224,CW1318155
BR6188,BR40870
EH107182,EH183128
CW61964,CW119601
CW817563,CW1251896
AW131813,AW75138
CW518821,CW746828
CW410476,CW222404
DE292342,DE291173
DE177691,DE319090
DH47165,AN188650
DL80766,DL201376
DB32083,DB85212
