globalID_A,globalID_B
CW1190811,CW1113962
EH224341,EH224045
CW250992,CW648511
CW1017710,CW714778
BN5359,BN59169
AK157865,AK143050
CW860169,DB324326
CW61964,CW509607
EL77050,EL77050
BE351892,BE390629
BY387546,BY681527
DT29550,AX29272
CJ165257,DE238611
BY223090,AW30384
CW384161,CW235169
EG46284,EG24193
CW382578,CW10019
CW1146909,CW732575
CW1294945,CW894555
EH840943,EH884429
CW175376,CW418402
DB229095,BA11511
CW891398,CW287993
DB243224,DL221220
CW242513,EF198239
BL58596,AA44302
CA20527,AX29272
CL21874,DS51909
CW760041,CW1257386
BL258096,BH91491
CW259146,CW644541
DT29550,EP30087
CM40606,CM40606
AL265252,BX18827
BK15083,CM12522
BY501777,DL139320
DB114207,DB60910
CW1096138,CW644541
CA20527,EH742520
AP44351,AP46568
BY497043,BY231696
BN471018,BN170074
CW1227289,CW1011549
BY486939,BY580602
EH816468,CC127514
AW85891,AW117307
CW105380,CW299287
CW1225794,CW1225794
DR2202,DR57971
AL319823,EP82056
BH25117,BH51180
DS67768,DS67768
CW1162640,CW1083292
AL319823,DE319090
CW227603,CW88585
EH508824,EH478943
AM85563,AP87156
DT126344,CW1044383
AJ29026,EF69218
EH816468,CL31416
BE431001,BE295330
CW741168,CW468652
EH169580,EH195774
EH262823,EH299875
DX39555,EP30087
EH503301,AG20450
EH729820,DA86813
CW748523,EH551191
DT17999,CT10714
AL239780,AL208631
CC153782,DZ19435
CW455959,CW370322
EF71616,EP67581
AL263727,DH49464
AA83648,AA80967
EH1178862,EH334899
CZ39870,DT81309
EH994868,EH551191
CG42681,DL122691
DE102060,DE133370
BY393598,DD95557
EH533615,EB3882
BN119634,BN80742
CW315884,CW275186
BN341520,EH1021597
AP17727,AP14669
BL131579,BL61070
BW43028,EP82056
EH735724,CM25074
CW1369426,CW54900
DS95556,BH132340
CW710312,BC33196
DR104461,DR6649
DX39555,DP37105
EH553694,EH385121
DT29550,EH210484
BY209532,BY491083
DE285833,DE285833
CW751975,CW279817
CM11622,CM10542
BL379918,BL272260
DT29550,EA54857
DE207164,AZ11400
CW155814,CW746828
BD19813,BB119869
CW751916,CW1250800
DB81926,DD189813
DE177691,EH478971
