globalID_A,globalID_B
EH671900,EH671900
DB197738,DB197738
EH1114694,EH1114694
DH54491,DH54491
DL239263,DL239263
BY391274,BY391274
BD110340,BD110340
CW115096,CW115096
CW166875,CW67638
BE203906,BE203906
BE349508,BE250272
EH225229,EH225229
CW951794,CW951794
CW398225,CW1072020
BP57458,BP57458
DN125961,DN125961
EH255631,EH221689
DY39772,DY39772
DE253893,DE253893
BN411607,BN411607
BN352599,BN365488
BL317389,BL317389
EL77925,EL77925
BY723051,BY723051
AD2768,AA43149
EH560722,EH560722
EG45334,EG45334
CW438979,CW438979
DR104607,DR104607
AL157702,AL157702
DE265301,DE265301
AW88567,AW72893
AA141790,AA141790
CG94151,CG94151
EH318389,EH278746
DB58976,DB58976
BH154078,BH154078
EA37307,EA37307
BL389542,BL389542
BL350900,BL350900
BN396607,BN396607
DL38872,AW82801
EP64692,EP64692
DR99090,DR99090
BY525196,BY525196
EH370781,EH162441
DE291968,DE291968
BY334470,AA73801
CB57831,CB57831
CW134345,CW33317
EM82035,EM82035
AA182254,AA182254
ER35374,ER35374
CW857181,CW857181
DA90050,DA90050
ED49312,ED49312
DA74365,DA74365
BW43507,BW43507
BK38623,BK38623
EH791723,EH791723
CC110760,CC110760
EM102257,EM102257
CA71093,CA71093
DR67808,DR30591
EH476437,EH476437
DL143243,DL143243
AN22705,AN47458
BY483330,BY509515
CW1106605,CW447947
BN423092,BN423092
BY649680,BY649680
BL91905,DB236318
DN135602,EH621793
CW1246873,CW1246873
AL146441,AL71839
BL40601,BL346905
AL227967,AL227967
BY71922,BY71922
EH739613,EM94966
CR9226,CR9226
CW737417,CW521308
EF93855,EF93855
BL309781,BL309781
CC88707,CC88707
EH926835,EH926835
DB243572,DB243572
EP64857,EP64857
AN202103,AN202103
EH313770,EH313770
DY8961,DY8961
DT129167,DT129167
DB247956,DB247956
BJ29744,BJ29744
BN85624,BN81616
DE209394,DE131350
CW208185,CW60701
EK18485,EK18485
EH794859,EH794859
AL71896,AL71896
DD112916,DD112916
BL217511,DE218898
DL88690,EH601590
CW693174,CW693174
CW420334,CW1037319
AF14070,BE163220
BD106380,DB172340
CW532546,CW532546
EH1080795,EH1080795
CW39782,CW140443
EH889319,EH889319
DW9688,DW9710
EH1166823,EH1166823
DB271977,DB271977
CJ145921,CJ145921
BE184309,BE89993
EH207913,EH207913
BR82335,CW515155
ED45623,ED45623
CW715368,CW551648
DH55881,DH55881
EH808961,EH808961
AH17544,AH17544
EH1271832,EH1271832
EH239795,EH645293
EB75603,EB75603
CB88936,BA15565
CB64081,CB64081
EH476437,EH230364
BK33492,BK16568
DB253775,DB253775
BN318563,BN318563
DL222944,DL222944
DD25512,DD25512
DH47424,DH47424
CW1144083,DL244553
CJ37437,CJ37437
EG29710,BR134095
AT8781,AT8781
DN101672,DN101672
BY25172,BY25154
CW158557,CW1114400
EH49676,CW482698
CL57468,CL57468
DE248156,DE248156
BE258370,BE258370
CW821067,CW1273797
BY562247,BY562247
BA8961,AF15583
BH154496,BH60758
BL217511,BL219397
CF7106,CF7106
CW650411,CW341890
BM63639,BM63639
CG108986,CG108986
DR83099,DR83099
CX15150,CX15150
DB29277,DB328103
EH786937,EH786937
EH885573,EH885573
CW702792,CW702792
EH93626,EH172987
CW329183,CW329183
CW72115,CW90600
EF234599,AL338543
BL416290,BL416290
CJ144265,CJ144265
EH577003,EH912781
CC131545,CC131545
AW179129,AW179129
BL494376,BL494376
BN119634,DB70795
EH123761,EH123761
EH650181,EH650181
CW179839,CW472886
BR177459,BR177459
CW695560,CW357266
CW1212388,CW1254032
DD194248,CG148754
BH92152,BH92152
CC32997,CC32997
CZ80861,CZ80861
CW977505,CW977505
EH622602,AZ15387
DS76303,DS76303
BN51351,BN11965
CW180664,CW102052
BY332487,BY10157
BL276088,EH1264834
CW267378,CW181770
DR26079,DR26079
AL260850,AL260850
DB232299,DB232299
DS103413,DS103413
CW61819,CW132290
BN271951,BN214565
CE41984,CE41984
BN408113,BN545340
EL73899,EL73899
CW991179,CW991179
EH1195024,EH1195024
EH1086177,EH1086177
EH1209154,DE238611
CW710186,CW643626
AL129624,AL166015
EH591950,EH591950
BN422941,BN74134
CW777206,CW777206
CW443518,CW443518
DD159653,DD159653
AE34120,AE34120
DE306780,DE306780
BJ31483,AA61606
CW269442,CW380466
EH903175,EH903175
DE322013,DE322013
AN197553,CB49899
EH1094052,EH1094052
BE398417,BE398417
AA94005,AA94005
EH952732,EH952732
EH1057900,EH1057900
EH1127031,EH1127031
DN38379,EP7339
EH10475,BE105059
DB281713,DB281713
EH704095,EH704095
CG186055,CG186055
CW755148,CW1316486
BY439514,BY21091
EH815527,EH815527
EH359007,EH233961
BN271951,BN271951
DE270119,DE270119
CX20257,CX20257
DL264909,DL264909
CW217782,CW908787
EH629819,EH629819
EP98871,EP98871
EM87768,DE58591
BN323070,BN290448
EH1217338,EH1217338
CW179839,CW423127
EH262823,EH520716
EH543061,EH543061
CW576729,CN65659
BG36050,BR134095
DB112291,DB188633
EA18746,DX35022
DR141715,DR141715
EH921127,EH921127
AG47761,AG47761
CW1061300,CW792957
EH304588,EF161519
BL336725,BL336725
CW691660,CW691660
DK43603,DK43603
CW727242,CW96856
CW46083,CW912574
DD98296,DD98296
CW499678,CW271528
EH304588,EL18149
DL56463,DK20408
DE279102,DE279102
BN157032,CJ23022
CG167988,CG167988
AL289073,AL289073
DE293374,DE293374
BY344284,BY417024
DZ70589,DZ70589
CG151643,CG151643
EM101693,EM101693
AL273773,AL273773
BL64952,BL64955
EH238266,EG17880
DL216237,DL216237
AD30399,AD30399
DD70885,DD70885
DM22935,DT87309
AS11784,AS11784
AL147557,AL147557
DE317590,DE317590
EH211812,EH278746
EH1003422,EH1003422
BE346835,BE346835
BA8961,AL222925
BD114402,BD114402
DE253025,DE253025
AY31563,AY31563
EH189673,EH378132
CW481241,CW771104
BE310844,BE82296
DD138856,DD138856
EH970257,EH970257
CA98609,CA98609
BL457457,BL457457
DL219612,DL219612
BW59801,BW59801
EH1120003,EH1120003
CJ198795,CJ198795
AG6958,AG54457
BN134012,BL78335
AW13932,AW19115
AA166454,AA166454
DB297999,DB297999
CW799048,CW748469
EH795080,EH795080
CG139624,CG139624
BY81998,BY78292
CW384161,CW1279028
BN234544,BN234544
EF150832,EF150832
BJ37484,BJ37484
CW645781,CW645781
EP99320,BL340756
CW813298,CW813298
EH737310,EH737310
BL445280,BL445280
EL81241,EL81241
EH932059,EH932059
DE260654,DE260654
AL14750,AY8550
EH918613,BY360744
CW230817,CW230817
BE121622,EH825801
CG177873,CG177873
EH825801,EH825801
AA136081,CG148754
DT112397,DT112397
CW975634,CW975634
EH674884,EH674884
BW17356,BW2759
BY32371,BY121186
DW67552,DW67552
EH244381,EH244381
CW267378,CW1072772
AN80154,AN80154
BR82335,DE115161
BL522471,BL522471
DD161928,DD161928
EN71931,DR87367
EH610396,EH296568
EH605579,EH605579
BH156139,BH156139
CW865598,CW865598
EP39482,AM5222
BL445493,BL445493
CJ56520,CJ56520
CW936623,CW936623
CW527833,CW675880
CW355331,CW757371
BY541708,BY541708
DL252391,DL252391
EH1217505,EH1217505
EH856282,EH856282
CW413521,CW1290035
CZ87537,CZ87537
AL271198,AL271198
BZ62827,BZ62827
EF138226,EF138226
BR23211,BR23774
CW672869,CW672869
DD38312,DX6228
EH918154,EH918154
DB177872,DB207936
CW219157,CW680928
EP89950,EP89950
