globalID_A,globalID_B
BE444695,BE444695
BY600963,BY600963
BE5104,BE67462
EN50049,AP35297
BN294245,BN126501
ES14492,ES14492
AB42966,AB42966
BL456896,BL456896
BL144577,BL144577
EN79982,CW1081688
EH1068442,EH1068442
BN497196,DY19772
DA10659,ER23475
EM95730,BZ47588
DE237489,EH921347
EH967385,EH967385
BN82409,DS48533
BE307628,BE424690
CW456741,CW456741
CW283819,CW172430
CW1028273,CW89575
CK8165,CK8165
EH855427,EH570671
DB243974,DB146982
CW948502,CW1332368
DL247273,DL96397
CJ58748,CJ58748
AM107743,CG172272
CW590414,CW590414
CW695560,CW648514
CW914508,CW398539
CW805407,EN38218
BD86541,BD86541
DB187393,DB204926
DL131992,DL131992
DD43769,DD164722
EH921057,EH921057
AL278949,DL161143
CW1033946,CW1339854
EH969781,EH1301564
ES22186,ES22186
BL107613,BL107613
CG150073,CG150073
AN130998,AN159784
DE257450,DE257450
CG72940,CW283978
EH452842,EH452842
AL67528,AL67528
EH752912,EH752912
AM106886,AM106886
AL296039,AL296039
AW87637,DP35867
DZ24042,AA89265
CW1225794,CW1225794
EH352821,EH352821
BY83189,BY83189
CJ35795,BR81884
BE397609,BE397609
CD30937,CD30937
EH860266,EH875028
BE113840,BL419879
EG34927,CN51869
BL379353,BL379353
AL131417,CR8652
AN141974,AN141974
CW729669,CW1129356
CW352294,CW150938
EM63626,EH693984
DE234665,DE234665
BL387579,BL387579
EM89315,EM89315
EG52745,EG52745
CG13459,CZ11762
BH100978,BH65591
CJ29541,EH348706
AD29032,AD29032
EH323668,DS59119
EJ29735,EJ29735
EH356358,EH356358
BE304161,BE166976
EH1099500,EH1099500
CW179971,CW191788
DH21199,DH31038
DL175090,DL175090
EH1044686,EH1044686
BY285945,AA189484
CM68557,CM68557
CW401010,CW342378
DL174685,DL174685
CW497254,CW168809
CG72395,BR56388
CJ52011,CJ69443
DL213646,DL213646
EG35921,EG35921
AA178284,AA178284
CW360440,CW736428
DR34732,DR102511
CW812501,CW773102
EH405015,EH196480
EH618477,EH618477
CW451539,CW451539
CW438679,CW145293
CA137601,CA137601
EF185420,EF185420
AL170754,AL170754
CW106990,CW345670
AA110751,AA88208
EH443588,EH443588
CW756239,CW1060175
BY558281,BY252522
DL204454,DL204454
EH145984,EH145984
CW813325,CW813325
EB67246,EB67246
BN188697,DB18486
BE453464,BE453464
BY340363,BY340363
CW475837,CW475837
CW1163575,CW1332368
EH1045896,EH408660
DE297258,DE297258
CA55647,CA55647
CW538664,CW862674
EH813028,EH813028
CW917523,CW973232
EH364777,EH440692
CG74349,CG74349
CW806102,CW806102
CW227488,CW704527
BD8052,BD8052
DB291593,DB291593
BL26052,BL26052
EH245397,EH245397
EH421842,EH421842
DE324337,DE324337
EH797014,AZ10483
CA95928,CA95928
DX39712,DX39712
EF88192,EF88192
CW1095097,EH921057
CW453088,CW453088
BN303738,BN75017
EH758784,EH314955
BZ40570,EH652263
EF187943,EF187943
CW298463,CW372599
EH196213,EH103244
EP28157,EP28157
CG17952,CG17952
BH37237,DE71770
AA14327,BY3927
EH655298,EH655298
EH1047172,EH703059
EG29640,EG29640
BL424633,BL424633
CB28532,CB28532
EH423287,EH546705
EH1200783,EH1200783
CW291800,CW291800
CW1071806,DA42039
CW504833,CW933820
EH1096119,EH1096119
BD8052,BD6237
BN289406,BN289406
CW296756,CW253271
BR31687,CC14078
EH705412,EH705412
AA139569,BJ25230
AZ8036,AZ8036
BR44186,BR173650
CT21819,BL109811
CW883235,CG79441
CW924778,CW924778
EH400012,EH400012
CW425005,CW425005
AL218571,AL218571
EB52992,EB18403
BG31785,BG31785
AP98643,AP98643
AG40814,BK26947
CW1028816,CW938187
BD62356,BD62356
CW336917,DH17838
AE21221,AN90256
BN81746,BN118042
CS30809,CS30809
EP61471,EP61471
AL187433,AL187433
CW465173,CW465173
EH70727,DS36897
CW533018,CW533018
DE214665,DE214665
AL304027,AL304027
BL245472,BL245472
EH321769,EH321769
DB292801,DB292801
CJ139737,CJ139737
BY390598,DE198193
EF123975,DW53839
DE135342,DE98821
EF201731,EF201731
CN83136,CN83136
EH488433,EH488433
EH999116,EH999116
BR144748,BR166075
DE284951,DE284951
BL500024,BL500024
BY501977,BY133717
BL433296,BL433296
AN121074,DT103872
BY634619,BY634619
EH414043,EH414043
CW626647,EF223212
BN294245,CW80724
BN424217,BN424217
BL134970,BL262500
EF149280,EF149280
CJ188496,CJ188496
CB56064,CB56064
BN40261,BN40325
DE109998,DE109998
EH41737,EH41737
DS71919,DS71919
CK11801,CK11801
AG43631,AG43631
CA112350,CA112350
EF156612,EF156612
EH856580,EH856580
BL140171,BL140171
EH24283,EH653805
BL496731,BL496731
CW785442,CW124040
CA94442,CA94442
DX67530,DX67530
CW914888,CW783479
DH64359,DH64359
CW1002224,CW1002224
EH981773,EH1027897
AL41868,BC11367
EH142927,EH142927
EH586372,EH305359
CW234188,CW397495
CW1155451,CW1155451
BR90253,DB187236
BE43818,BE43818
AL276571,CW1319974
CW971162,CW817996
DB178321,CC156645
CA64420,CA55567
CW454686,CW454686
DB266396,DB272652
BW53620,BY167329
BN331832,CN13336
EH591383,EH591383
