globalID_A,globalID_B
CW1190811,CW1113962
EH224341,EH224045
CW250992,CW648511
DB170315,DB57197
BN5359,BN59169
CW61964,CW509607
BE351892,BE390629
BY223090,AW30384
CW384161,CW235169
CW510686,CW415629
EG46284,EG24193
CW382578,CW10019
CW1146909,CW732575
CW1294945,CW894555
BY217502,BY105285
CW175376,CW418402
CW857377,CW655059
CW314719,CW420624
CW891398,CW287993
DB243224,DL221220
CW242513,EF198239
BL58596,AA44302
CA20527,AX29272
CL21874,DS51909
AN147673,AN55715
BL258096,BH91491
CW259146,CW644541
DK4504,CD11448
CJ132888,DD163025
DT29550,EP30087
CM40606,CM40606
DS95556,EH1050290
AL265252,BX18827
BK15083,CM12522
BY501777,DL139320
CW1096138,CW644541
CW551317,CW723856
CW74586,CW291711
AP44351,AP46568
BY497043,BY231696
CC92685,CC19159
BN471018,BN170074
CW1227289,CW1011549
BY486939,BY580602
EH816468,CC127514
AW85891,AW117307
CW105380,CW299287
EH485658,EH591007
DR2202,DR57971
BH25117,BH51180
DS67768,DS67768
CW484393,CW410863
CW1162640,CW1083292
AL319823,DE319090
CW227603,CW88585
DT126344,CW1044383
BE431001,BE295330
AL83915,BJ28997
CW321262,CW1153348
AD19467,CB52756
CW580220,CW418402
CW741168,CW468652
EH169580,EH195774
EH262823,EH299875
DX39555,EP30087
CG175079,EF215063
BY408875,BP24280
EH729820,DA86813
CW748523,EH551191
DT17999,CT10714
AL239780,AL208631
CW455959,CW370322
EF71616,EP67581
EH81697,AS33918
EH1178862,EH334899
CZ39870,DT81309
EH994868,EH551191
DL76263,CC121907
DE102060,DE133370
BD142570,AN193748
EH533615,EB3882
BN119634,BN80742
CW315884,CW275186
AT23743,BY738238
CW300850,CW460828
BW43028,EP82056
CW1369426,CW54900
CT2595,BN162812
DR104461,DR6649
DX39555,DP37105
EH553694,EH385121
AM34122,AM27993
CW1145790,CW756260
CW408195,CW566973
DE285833,DE285833
CW751975,CW279817
CM11622,CM10542
BL379918,BL272260
DT29550,EA54857
DL204454,DL204454
CG11179,BY279194
EH67182,EH163963
CW608121,CW1273860
BY151033,BH180982
DB94124,AW150647
CW155814,CW746828
BD19813,BB119869
CW751916,CW1250800
