globalID_A,globalID_B
CW1190811,CW1113962
CW92837,CW391302
DX39555,DL176078
CW860169,DB324326
CW61964,CW509607
EL77050,EL77050
BE351892,BE390629
BY387546,BY681527
BY223090,AW30384
CW384161,CW235169
CW510686,CW415629
EG46284,EG24193
CW382578,CW10019
CW1146909,CW732575
CW1294945,CW894555
CW175376,CW418402
CW857377,CW655059
CW314719,CW420624
CW891398,CW287993
DB243224,DL221220
CW242513,EF198239
BL58596,AA44302
BH77320,CW277849
DX39555,EP82056
CA20527,AX29272
CL21874,DS51909
BL258096,BH91491
CW259146,CW644541
DB110834,DB83788
DE177691,DL176078
DT29550,EP30087
DS95556,EH1050290
AL265252,BX18827
CW1096138,CW644541
CA20527,EH742520
CW551317,CW723856
AP44351,AP46568
BN471018,BN170074
CW1227289,CW1011549
BY486939,BY580602
EH816468,CC127514
AW85891,AW117307
CW105380,CW299287
CW1225794,CW1225794
EH129857,EH494970
DR2202,DR57971
BH25117,BH51180
DS67768,DS67768
AD2768,EF42181
CW1162640,CW1083292
AL319823,DE319090
CW227603,CW88585
EH508824,EH478943
AM85563,AP87156
DT126344,CW1044383
AJ29026,EF69218
EH816468,CL31416
BY22196,ES3306
CC71424,CC145991
EH735724,CM25929
CW321262,CW1153348
CW741168,CW468652
DZ72669,BJ47436
EH169580,EH195774
EH262823,EH299875
DX39555,EP30087
EH816468,AB23808
BY408875,BP24280
EH729820,DA86813
DT17999,CT10714
AL239780,AL208631
CW455959,CW370322
EF71616,EP67581
EH1178862,EH334899
CZ39870,DT81309
EH994868,EH551191
DL76263,CC121907
DE102060,DE133370
CW806196,BY525704
EH533615,EB3882
BN119634,BN80742
CW315884,CW275186
EH195894,CC25702
CW300850,CW460828
BN341520,EH1021597
EH450021,CH25942
EG25595,EG31708
BL131579,BL61070
BW43028,EP82056
CW1369426,CW54900
DR104461,DR6649
DX39555,DP37105
DT84209,AE19178
CW1043616,DB120936
EH1153059,EH224346
EH553694,EH385121
AM34122,AM27993
CW1145790,CW756260
DE38480,BY504705
DE285833,DE285833
CW751975,CW279817
CM11622,CM10542
BL379918,BL272260
DT29550,EA54857
DL204454,DL204454
CW608121,CW1273860
DE207164,AZ11400
BY151033,BH180982
