globalID_A,globalID_B
CW383914,CW245310
DS76846,BM46494
CG127928,CG127928
EG41205,AL122481
CW586666,CW586666
CW441887,CW272129
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
CW147748,CW296022
BY375988,BY416270
CW29513,CW113526
EH796783,AC13272
EH940689,EH285464
AL200024,AL200024
CJ129570,CJ129570
DH58307,DL76801
EH108495,EH269216
CW848225,CW318611
BY375133,EG33783
CW561659,CN51869
CP17424,CP17424
CM53974,AP52403
CW269738,CW608098
BL413358,BL525965
CW227488,CW390587
EF161706,EN42619
CC39028,CN17086
CY28721,EH486537
DW50291,DM36931
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
CG35865,CC75864
DB242445,DB84237
AK162859,AK162859
CE49150,CE49150
BY52157,BY407452
CW71301,CW244249
CW527053,CW734473
BL79724,EA22797
AM106886,AM106886
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
BG41037,BG41037
BN448531,BN448531
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH1066260,EH1066260
AK111837,AK111837
EG42335,EG41402
DB267570,DB267570
CW254053,CW445087
BN455380,BN213796
CW265302,CW579723
CW597632,CW673317
EH181963,BL50356
BW55753,DS68139
BE43631,BE64611
CN42821,CZ34056
EM44930,EM44973
DR149576,AL191328
BN20910,BN24403
BN469677,EH1281402
EF181642,BW58274
EH704163,AN96190
DL63721,CC32951
BN20910,BN65472
DL98305,CW79495
DE91299,DE137713
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
CW858219,CW224428
CW797584,BN285004
CC54430,AE6610
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
EH821019,EH821019
BH50811,EH394032
AS67205,AS81200
BR195045,EA35260
CW878022,CW27432
DE272432,DE272432
AA149552,DE72784
EH161084,EH185624
ES14361,CG106828
AW156888,AW156888
EB69142,EN35127
DB219486,DB219486
CW1277473,CW1162478
CJ35343,BH114544
BN467024,EH999287
EH666884,BE252669
CW751538,CW128386
BN219288,DL37354
DE289371,DE126480
EM11064,EM89043
AS46149,EH778184
AA113631,BY327461
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
CW655811,CW199905
CW927025,EF173576
DA6565,DA7491
CW721988,CW997248
DA77290,DA77290
BB98970,BB111655
CW369263,CW298762
CG136352,DB130077
BE30483,BE30474
DL96761,DL85727
BN286167,BN163861
CW437959,CW292769
CW229642,CW420845
