globalID_A,globalID_B
DD37260,CD11763
AL189421,BL452978
CW480894,CW305511
DE272447,DE272447
CJ182539,CJ182539
EG9843,EH97265
EH1123347,EH1123347
BN219288,DD64484
AL207969,DB123626
CW553389,CW1183326
BR108802,CB41528
CW1033457,CW495026
AP57157,AP4410
EH303460,BG16742
AW146145,AW147500
BH24125,BH24125
EH832350,EH832350
CW1045646,CW246712
BL399066,EH588118
DD29961,DD31990
BY372994,BY404626
CW1067849,EL77782
CJ145457,CJ145457
CW874562,CW465413
CW706557,CW419348
BY586881,BY644893
BE299421,BE308236
AL107714,AY32928
CW1166240,AL62522
EB58608,EF34844
CY28721,EH486537
BE272647,BE262110
AW60873,AW60873
BY515096,BY515096
CW975794,BY454939
AN170606,AN170606
EH860017,EH849706
CT6785,CT6785
AW131021,AW131021
CW259150,CW686329
BE378062,BE378062
BY233050,BY127038
AK23924,AK15754
CW995405,CW179038
DW79972,DW79972
DE270304,DE99676
CW994080,CW774360
EH804038,EH804038
DE309051,DE309051
DB333241,DB86036
BL217345,EH230527
BM61425,BM61425
EG42335,EG41402
EH745987,EH546224
DE281454,DE281454
EF31268,EF31268
EH518951,EH518951
CW830686,CW830686
BE381880,BE381880
EH651093,EH651093
AL248245,AL248245
CW1120745,CW1120745
CW882374,CW882374
BL322975,BL322975
EH143392,EH102117
EH646956,EH646956
BY101450,BY101455
CW870552,CW879913
CC116423,DR140963
BY689798,BY689798
CW219926,CA30631
EH671109,DT75107
DD159280,CW939421
BN481931,BN530276
BG7935,BG7935
BW36410,BL150803
BN366112,BN366112
CW1055893,CW1055893
CG24066,DL111776
CW721965,CW223304
EH187536,EH538516
CW805794,CW805794
BY509197,BY149626
AL272923,AL272923
BE192742,BE77126
BN157081,BN15521
CW573674,CW399512
BE70623,BE149487
CW893134,CW453847
CW418055,CW441259
BY209532,BY491083
AS97681,AS97681
DT115196,EL57912
BE271852,AS73674
BY516283,DE200677
DL231341,CW751076
CC102983,CC102983
CF8485,CF8485
CW521576,AP50078
DL196357,BY530728
BY19060,BY11422
DR25408,DR25408
CM33485,CM33485
EH419063,EH245924
AW109481,AW109481
BN351967,BN351967
CW1199842,CW859735
BN204249,BN246117
BM74817,BM74817
CG136352,DB130077
BN553104,CJ131524
CW690742,CW1036917
AN159041,AN159041
BN450842,BN195003
CW774360,CW1254045
BH93316,BH154092
DB60636,DB38511
BL91905,DB236318
EM107290,EM107290
BE192563,BE225119
BY569775,CG41773
CW643966,CW560058
DN48937,DN25855
BE297129,BE459558
BY23499,BY23498
BY634601,BY634601
BY265178,BY426715
EN15113,EN15113
EH429951,EH80250
CW72236,CW72236
BJ37599,EF180197
DB321033,CW1309557
BN487808,BN487808
CW806599,CW806599
