globalID_A,globalID_B
CW383914,CW245310
DS76846,BM46494
CG127928,CG127928
DL175900,BE471205
BL385304,DE216991
CW144274,CW451160
CW586666,CW586666
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
DE275792,AX55080
CW147748,CW296022
BY375988,BY416270
CW29513,CW113526
EH940689,EH285464
AL200024,AL200024
CJ129570,CJ129570
DH58307,DL76801
DB202412,DB65351
CW970511,CW157903
EH108495,EH269216
DR11196,CT34493
CW848225,CW318611
BY375133,EG33783
ES21119,DP42763
CW561659,CN51869
CP17424,CP17424
CM53974,AP52403
CW269738,CW608098
CY28721,EH486537
DW50291,DM36931
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
CN48052,CJ85038
CG35865,CC75864
DB242445,DB84237
CW533974,BE94031
AK29343,AK14721
AK162859,AK162859
DN3707,AP22210
CE49150,CE49150
CW259451,CW407343
DL129280,DS68139
CW1063356,CW277029
BY52157,BY407452
CW71301,CW244249
CW527053,CW734473
EH988415,EH1268667
CW111989,CW210287
CW781939,CW781939
AA95406,AA95406
EH462808,EH462808
BN448531,BN448531
CW438707,CW340776
CA50488,AH7788
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
EH533218,DE144527
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH1066260,EH1066260
AK111837,AK111837
DX46458,DL259835
EG42335,EG41402
CW931050,CW931050
ES23539,ES23539
DB267570,DB267570
CW254053,CW445087
BN455380,BN213796
CW265302,CW579723
CW597632,CW673317
CW531964,CW562318
CW181152,CW347617
EB16209,CN33753
BW55753,DS68139
CW491434,CW1012087
EH1045729,EP40896
EM44930,EM44973
CA66987,BX12753
BN20910,BN24403
BN184031,BN165262
BS11116,CW1339407
CN82791,CJ81761
EH704163,AN96190
DL63721,CC32951
BN20910,BN65472
BR181494,DD203430
DL98305,CW79495
CW817470,CW180765
DE91299,DE137713
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
CW797584,BN285004
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
EH316721,EH257429
AS67205,AS81200
BR195045,EA35260
CW878022,CW27432
AA149552,DE72784
EH161084,EH185624
ES14361,CG106828
AW156888,AW156888
EB69142,EN35127
CW1082180,CW933518
DB219486,DB219486
CJ35343,BH114544
BL87589,BL381843
CW1137856,CW1339043
EH666884,BE252669
CW751538,CW128386
BN219288,DL37354
EH255157,EH388766
AA113631,BY327461
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
CW655811,CW199905
