globalID_A,globalID_B
CW383914,CW245310
AM91695,DL243020
DS76846,BM46494
CG127928,CG127928
EG41205,AL122481
CW586666,CW586666
DB170471,DD87571
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
DE275792,AX55080
CW147748,CW296022
BY375988,BY416270
EH940689,EH285464
AL200024,AL200024
CW848225,CW318611
BY375133,EG33783
CP17424,CP17424
CM53974,AP52403
CW269738,CW608098
BL413358,BL525965
CW227488,CW390587
CY28721,EH486537
DW50291,DM36931
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
AN199694,EF121475
CN48052,CJ85038
CG35865,CC75864
DB242445,DB84237
AK29343,AK14721
AK162859,AK162859
CE49150,CE49150
CW259451,CW407343
DL129280,DS68139
CW1063356,CW277029
BY52157,BY407452
CW71301,CW244249
CW527053,CW734473
CN101800,CN93741
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
EH462808,EH462808
BN448531,BN448531
CA50488,AH7788
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
CJ142021,DP42763
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
BN397515,EH551952
EH1066260,EH1066260
AK111837,AK111837
DX46458,DL259835
EG42335,EG41402
DB267570,DB267570
BJ20830,DD173502
CW254053,CW445087
BN455380,BN213796
CW265302,CW579723
CW531964,CW562318
CW181152,CW347617
BH38217,CS6527
CW491434,CW1012087
EH1045729,EP40896
EM44930,EM44973
CZ84464,CZ84464
CW286537,CW48010
BN184031,BN165262
EF181642,BW58274
EH704163,AN96190
DL63721,CC32951
BN20910,BN65472
BR181494,DD203430
EH516873,EH321145
DL98305,CW79495
CW1091286,CW1094725
DE91299,DE137713
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
CW858219,CW224428
EH671109,DT75107
CW797584,BN285004
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
AS67205,AS81200
BR195045,EA35260
CW878022,CW27432
DE272432,DE272432
EH161084,EH185624
ES14361,CG106828
EB69142,EN35127
CW1082180,CW933518
DB219486,DB219486
CW1277473,CW1162478
BL87589,BL381843
CW1137856,CW1339043
BN467024,EH999287
EH666884,BE252669
CW751538,CW128386
BN219288,DL37354
CT59613,DD68325
DD44937,DD82624
CH22390,CZ33909
AA113631,BY327461
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
CW655811,CW199905
DA6565,DA7491
CW721988,CW997248
DA77290,DA77290
CW369263,CW298762
CG136352,DB130077
BE30483,BE30474
DL96761,DL85727
BN286167,BN163861
CW437959,CW292769
CW229642,CW420845
CW537340,CW331967
BN74650,BN74638
CW360663,CW281673
DB196933,BY409682
CW1001164,BY335235
BW3166,EG20219
BN531979,BJ36271
EH581420,EH581420
BL459184,BL459184
DB5361,DB72640
CW947419,CW947419
CW314876,CW307668
CW360663,CW860425
BL240989,BL271040
EH355683,EH310324
EP88882,DD102829
BY23499,BY23498
BL498496,BL532233
DE297919,DE297919
CB6034,CZ26446
CW342024,CW73205
BN167062,BN252934
EH917382,EH917382
CW573042,CW526717
CW349223,CW390766
BN159700,CN24909
DT124674,BH128026
AM22671,AW157854
AP54834,AP54834
AW69900,AW69900
BL431864,AP73195
AN69894,AN206936
BZ12097,BZ25978
DD196348,AK88987
EG41117,EG41117
EH1107194,EH1107194
EH794859,EH794859
EH1128109,EH1128109
CW409983,CW444807
