globalID_A,globalID_B
CW383914,CW245310
AM91695,DL243020
DS76846,BM46494
CG127928,CG127928
DL175900,BE471205
BL385304,DE216991
CW144274,CW451160
BL390704,BR174150
CW586666,CW586666
DZ10356,CY19773
EH144743,EH820407
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
DE275792,AX55080
CW147748,CW296022
CW108324,CW478608
BY375988,BY416270
CW29513,CW113526
EH940689,EH285464
CJ95160,BR128337
CJ129570,CJ129570
DH58307,DL76801
DB202412,DB65351
CS10157,EF8356
EH108495,EH269216
AK57205,DB113599
CW848225,CW318611
BY375133,EG33783
CP17424,CP17424
CM53974,AP52403
CW269738,CW608098
CW227488,CW390587
EH132350,EH635336
EF161706,EN42619
CY28721,EH486537
DW50291,DM36931
ED20328,EL87708
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
AN199694,EF121475
CG35865,CC75864
DB242445,DB84237
CW533974,BE94031
AK162859,AK162859
EA25240,CE4686
DN3707,AP22210
CE49150,CE49150
CW259451,CW407343
DS107923,BN506469
CW1063356,CW277029
AL189583,EH795212
BY52157,BY407452
CW71301,CW244249
CW527053,CW734473
CN101800,CN93741
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
EH462808,EH462808
BN448531,BN448531
CA50488,AH7788
EH481271,EH438758
DA100642,DA100642
CJ142021,DP42763
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH1066260,EH1066260
AK111837,AK111837
DX46458,DL259835
EG42335,EG41402
CW931050,CW931050
DB267570,DB267570
BN455380,BN213796
CW265302,CW579723
CW181152,CW347617
BW55753,DS68139
EH1045729,EP40896
CW286537,CW48010
BS11116,CW1339407
BN469677,EH1281402
EF181642,BW58274
CN82791,CJ81761
EH704163,AN96190
BN311195,BN301707
BN20910,BN65472
DL98305,CW79495
DG54355,DG14537
DE91299,DE137713
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
CW797584,BN285004
CC54430,AE6610
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
BN293278,CZ33909
EH149209,AY17041
AS67205,AS81200
EH322209,DH20592
CW168075,CW168075
BR195045,EA35260
CW878022,CW27432
DE272432,DE272432
AA149552,DE72784
EH161084,EH185624
ES14361,CG106828
AF9554,BR18249
AW156888,AW156888
EB69142,EN35127
CW162665,CW588237
BE384523,DE131551
CW1082180,CW933518
EH388133,DE166091
DB219486,DB219486
BL87589,BL381843
CW1137856,CW1339043
BN467024,EH999287
EH666884,BE252669
CW751538,CW128386
BN219288,DL37354
DE289371,DE126480
CH22390,CZ33909
AS46149,EH778184
AA113631,BY327461
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
CW655811,CW199905
BN259763,BN259763
EK9669,CW262304
DA6565,DA7491
CW721988,CW997248
DA77290,DA77290
BE224109,DT119363
BB98970,BB111655
CW369263,CW298762
AA100490,ER31926
BE30483,BE30474
DL96761,DL85727
BN286167,BN163861
CW437959,CW292769
CW229642,CW420845
CW537340,CW331967
EH142460,EH865951
BN74650,BN74638
EJ11790,BY114153
CW360663,CW281673
DB196933,BY409682
AL310402,DE231201
CW1001164,BY335235
BN531979,BJ36271
EH581420,EH581420
DB5361,DB72640
CW947419,CW947419
CW470235,CW842875
CW525855,CW492018
CW360663,CW860425
EB66969,EB66969
BL391927,CW724104
BY23499,BY23498
BL498496,BL532233
