globalID_A,globalID_B
BE5104,BE67462
EN50049,AP35297
AB42966,AB42966
BL456896,BL456896
EL77050,EL77050
EN79982,CW1081688
EH1068442,EH1068442
BN497196,DY19772
DA10659,ER23475
EM95730,BZ47588
DE237489,EH921347
EH967385,EH967385
BN82409,DS48533
CW456741,CW456741
CW1028273,CW89575
CK8165,CK8165
EH855427,EH570671
EH894349,EH952353
DB243974,DB146982
CN70795,CJ211733
CW600923,CW542374
DL247273,DL96397
CJ58748,CJ58748
DE290304,AX81613
CW590414,CW590414
CW695560,CW648514
CW914508,CW398539
BD86541,BD86541
BY611933,BY611933
CM40606,CM40606
EH937166,EH937166
DL131992,DL131992
DD43769,DD164722
CH52285,CH52285
AL278949,DL161143
AL244619,AL244619
BL485122,BL485122
EH969781,EH1301564
ES22186,ES22186
BL107613,BL107613
CG150073,CG150073
AN130998,AN159784
DE257450,DE257450
CG72940,CW283978
EH452842,EH452842
AL67528,AL67528
EH651126,EH651126
AM106886,AM106886
EH632392,EH632392
BR210491,BR210491
EG31678,EG31678
CW1225794,CW1225794
DP14060,BL179949
EH352821,EH352821
BE397609,BE397609
EH860266,EH875028
BE113840,BL419879
EH316123,BY623838
DE223026,DE200771
EG34927,CN51869
EB17724,AN91429
AL131417,CR8652
AN141974,AN141974
CW729669,CW1129356
AA115754,CJ42624
EH184709,EH184709
AK113640,AK113640
EH671841,BL193636
DE234665,DE234665
BL387579,BL387579
EM89315,EM89315
EG52745,EG52745
BH100978,BH65591
EH1056548,EH1056548
CW1232556,CW1254045
CJ29541,EH348706
AD29032,AD29032
BE121107,BE252992
EJ29735,EJ29735
EH356358,EH356358
BE304161,BE166976
EH648967,EH648967
EH1099500,EH1099500
DK9919,DK9919
DH21199,DH31038
DL175090,DL175090
BY285945,AA189484
CM68557,CM68557
CW246649,CW415033
CA114842,CA114842
DL174685,DL174685
CW497254,CW168809
DL213646,DL213646
EG35921,EG35921
AA178284,AA178284
CW360440,CW736428
DR34732,DR102511
CW812501,CW773102
EH405015,EH196480
EH618477,EH618477
CW451539,CW451539
EH1054657,EH1054657
CW438679,CW145293
CA137601,CA137601
EF185420,EF185420
AL170754,AL170754
CW442660,CW442660
AA110751,AA88208
EH443588,EH443588
CW756239,CW1060175
AK41822,AK41822
EH931144,EH931144
BY558281,BY252522
BD106234,BD106234
EH145984,EH145984
BE453464,BE453464
BL37358,BL50519
BY340363,BY340363
CW517943,CW517943
BY674321,BY674321
AN149019,AN149019
CW475837,CW475837
CW1163575,CW1332368
EH1045896,EH408660
DE297258,DE297258
EN37930,DB185795
EH1133370,EH1133370
BN488799,BN488799
EH813028,EH813028
EH364777,EH440692
CG74349,CG74349
CW227488,CW704527
DB291593,DB291593
EH245397,EH245397
EH421842,EH421842
DE324337,DE324337
EH797014,AZ10483
CA95928,CA95928
DE263381,DE199626
EF88192,EF88192
CW1095097,EH921057
CW453088,CW453088
CA105849,CA105849
EH89871,EH89871
BN303738,BN75017
EH758784,EH314955
BZ40570,EH652263
EF187943,EF187943
EH676960,DA42039
CW298463,CW372599
EP28157,EP28157
CA114719,CA114719
CG17952,CG17952
EH1269864,EH1269864
EH1047172,EH703059
EG29640,EG29640
BN131720,BN291074
CB28532,CB28532
EM86681,EM86681
EH237263,AK160397
EH1271647,EH1271647
BD8052,BD6237
CW296756,CW253271
EH427903,EH427903
BR31687,CC14078
EH705412,EH705412
BY652012,BY652012
AA139569,BJ25230
BR44186,BR173650
CT21819,BL109811
AL263727,AL263727
CW883235,CG79441
BE90143,BE405255
EH400012,EH400012
CW475722,CW577081
EB52992,EB18403
BG31785,BG31785
AS59250,AA68621
AP98643,AP98643
AG40814,BK26947
CW1028816,CW938187
CW734378,CW734378
CW336917,DH17838
BP66578,EH1033900
BN81746,BN118042
EL91597,EL91597
EN50049,BL500024
CS30809,CS30809
EP61471,EP61471
EH435692,EH435692
AL187433,AL187433
CW465173,CW465173
EH306814,AA64396
BY466363,BY466363
DE214665,DE214665
AL304027,AL304027
BL245472,BL245472
EH321769,EH321769
CJ139737,CJ139737
CG30605,CW891936
BP19266,BP19266
DA20658,DA20658
CW1131214,CW1131214
BY390598,DE198193
EF123975,DW53839
DA114000,DA114000
DE135342,DE98821
DT79339,EH558682
BL497593,BL497593
CW234188,CW1314542
EF201731,EF201731
CN83136,CN83136
EH488433,EH488433
EH999116,EH999116
BR144748,BR166075
DE284951,DE284951
BL456814,BL456814
BL500024,BL500024
BY501977,BY133717
EH116364,EH116364
BL433296,BL433296
AN121074,DT103872
BY634619,BY634619
EH414043,EH414043
CW626647,EF223212
BN294245,CW80724
EH558179,DL283060
BN424217,BN424217
CW641796,CW641796
EH70269,EH70269
BL134970,BL262500
EH53969,EH53969
CW1012817,CW1012817
EF149280,EF149280
CJ188496,CJ188496
DN97217,DN97217
CB56064,CB56064
BN40261,BN40325
EH41737,EH41737
DS71919,DS71919
CK11801,CK11801
EH75800,EH75800
DN86526,DN86526
AG43631,AG43631
CA112350,CA112350
EF156612,EF156612
EH24283,EH653805
CW785442,CW124040
CA94442,CA94442
DX67530,DX67530
BL511298,DE106699
BR130777,BR130777
CW1002224,CW1002224
AN168787,AN168787
DL247273,BN380369
EH981773,EH1027897
AL41868,BC11367
EH142927,EH142927
CW234188,CW397495
CB32498,CB32498
CW1155451,CW1155451
EH222112,EH222112
CA64420,CA55567
CW454686,CW454686
DB266396,DB272652
BW53620,BY167329
EH591383,EH591383
EH511114,EH1272959
EN37930,CN51869
CZ40673,CZ40673
EH431338,EH431338
CZ94473,CZ94473
EM134358,DE36320
BA18420,BA18420
EM96356,EM96356
BL471323,BL471323
BE40439,BE16559
CA54702,BN187244
EH797014,EH797014
EH1066928,EH1066928
DE243057,DE243057
BP66720,BP66720
EH1020201,EH1020201
EH408354,EH408354
EH306814,BH136636
EN37930,EM79096
CW884353,CW884353
CY27013,CY27013
CW355974,EB39501
AL290625,AL290625
EL57714,EL57714
BN467000,BN467000
EL100136,EL100136
EG60865,EG60865
BY342882,BY342882
EH476004,EH476004
EH279967,DL88524
AW218276,AW218276
EH420776,EH420776
BY232202,BY264291
AN79677,AN79677
DR80538,DR80538
CW438679,CW1307448
CW1047003,CW143767
EH323668,EH295676
CW343398,CW1319974
DL216292,DL216292
AH22472,AH22472
BK43885,DX10871
CG160762,AZ10483
BE357581,BE357581
EH1022016,EH1022016
CW147251,CW143767
DR94238,DR94238
EH881605,EH551191
CA50226,CA50226
EH1230919,EH775932
CW690003,CW690003
EP93115,EP93115
EH730938,EH730938
EH123588,EH123588
AB42640,DD143677
AL159151,AL159151
EH931144,EH303077
BN532394,BN532394
DE310018,DE310018
AL350921,AL350921
CW459482,CW459482
DE228744,DE191604
BE400307,BE400307
CW586153,CW586153
CW247570,CW143371
EH1179280,EH1179280
EF223212,EF223212
BL140219,BL140219
BW52796,BW52796
EH198429,EH198429
