globalID_A,globalID_B
CW1190811,CW1113962
CW250992,CW648511
CW92837,CW391302
CW1017710,CW714778
CW860169,DB324326
CW61964,CW509607
EL77050,EL77050
BE351892,BE390629
EB25926,BL55050
CW666023,CW204630
CW384161,CW235169
CW510686,CW415629
EF46694,EH235844
EG46284,EG24193
CW382578,CW10019
CW1146909,CW732575
CW1294945,CW894555
BY217502,BY105285
CW175376,CW418402
CW314719,CW420624
CW891398,CW287993
DB243224,DL221220
CW242513,EF198239
BL58596,AA44302
CA20527,AX29272
EH262823,CM27916
BL258096,BH91491
CW259146,CW644541
DK4504,CD11448
DB110834,DB83788
AK63607,AK65902
DE177691,DL176078
DT29550,EP30087
DS95556,EH1050290
AL265252,BX18827
BK15083,CM12522
DB114207,DB60910
DL191095,CN65484
CW1096138,CW644541
CW551317,CW723856
AP44351,AP46568
BY497043,BY231696
CA143430,CA91926
CW1227289,CW1011549
BY486939,BY580602
EH816468,CC127514
AW85891,AW117307
CW105380,CW299287
CW1225794,CW1225794
DR2202,DR57971
CW593142,CW436134
BH25117,BH51180
DS67768,DS67768
AD2768,EF42181
CW1162640,CW1083292
CW227603,CW88585
EH508824,EH478943
DT126344,CW1044383
EH816468,CL31416
BE431001,BE295330
AL97668,AL137977
CW321262,CW1153348
AL291673,AL338581
CW580220,CW418402
CW741168,CW468652
EH169580,EH195774
EH262823,EH299875
DX39555,EP30087
EH816468,AB23808
BY408875,BP24280
EH729820,DA86813
CW748523,EH551191
DT17999,CT10714
AL239780,AL208631
CW455959,CW370322
EF71616,EP67581
BN5359,BN72144
BL234248,BL366258
EH1178862,EH334899
CJ155584,AM101525
CZ39870,DT81309
EH994868,EH551191
DL76263,CC121907
DE102060,DE133370
BE257161,BE219940
CW806196,BY525704
EH533615,EB3882
BN119634,BN80742
CW315884,CW275186
EH195894,CC25702
CW300850,CW460828
AP17727,AP14669
BL131579,BL61070
BW43028,EP82056
CW1369426,CW54900
CT2595,BN162812
DR104461,DR6649
BR69795,CP3288
DX39555,DP37105
EH553694,EH385121
AM34122,AM27993
CW1145790,CW756260
BY209532,BY491083
DE285833,DE285833
CW751975,CW279817
CM11622,CM10542
BL379918,BL272260
DT29550,EA54857
EH67182,EH163963
DL138846,BR22894
CW608121,CW1273860
DE207164,AZ11400
BY151033,BH180982
