globalID_A,globalID_B
CW383914,CW245310
DS76846,BM46494
CG127928,CG127928
DL175900,BE471205
CW586666,CW586666
CW507414,CW132971
CW441887,CW272129
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
CW901893,EH979988
CW147748,CW296022
EH940689,EH285464
AL200024,AL200024
CW848225,CW318611
BY375133,EG33783
CP17424,CP17424
CW269738,CW608098
CW227488,CW390587
CY28721,EH486537
DW50291,DM36931
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
AN199694,EF121475
CN48052,CJ85038
CG35865,CC75864
DB242445,DB84237
AK29343,AK14721
DN3707,AP22210
CE49150,CE49150
CW259451,CW407343
CW1063356,CW277029
BY52157,BY407452
CW71301,CW244249
CW527053,CW734473
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
EH462808,EH462808
BG41037,BG41037
BN448531,BN448531
CA50488,AH7788
CN55086,CN55086
DA100642,DA100642
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH1066260,EH1066260
AK111837,AK111837
EG42335,EG41402
DB267570,DB267570
CW254053,CW445087
CW265302,CW579723
CW597632,CW673317
CW531964,CW562318
CW181152,CW347617
EH1045729,EP40896
EM44930,EM44973
BN20910,BN24403
BS11116,CW1339407
EF181642,BW58274
CN82791,CJ81761
EH704163,AN96190
BN20910,BN65472
EH516873,EH321145
DL98305,CW79495
CW1091286,CW1094725
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
EP60452,EP60452
CW858219,CW224428
CW797584,BN285004
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
AS67205,AS81200
CW168075,CW168075
CW878022,CW27432
DE272432,DE272432
AA149552,DE72784
EH161084,EH185624
ES14361,CG106828
AW156888,AW156888
EB69142,EN35127
CW1082180,CW933518
CW238574,AF13274
DB219486,DB219486
CW1137856,CW1339043
BN467024,EH999287
EH666884,BE252669
CW751538,CW128386
AA113631,BY327461
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
CW655811,CW199905
BN259763,BN259763
DA6565,DA7491
CW721988,CW997248
DA77290,DA77290
BE30483,BE30474
DL96761,DL85727
BN359645,BN247438
BN286167,BN163861
CW437959,CW292769
CW229642,CW420845
CW537340,CW331967
BN74650,BN74638
CW360663,CW281673
AL244810,CW886170
CW1001164,BY335235
EH581420,EH581420
DB5361,DB72640
CW947419,CW947419
CW470235,CW842875
CW525855,CW492018
CW314876,CW307668
CW360663,CW860425
EB66969,EB66969
BY23499,BY23498
