globalID_A,globalID_B
CW383914,CW245310
AM91695,DL243020
DS76846,BM46494
CG127928,CG127928
CW144274,CW451160
CW586666,CW586666
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
CW147748,CW296022
BY375988,BY416270
CW29513,CW113526
EH940689,EH285464
AX18280,AX18280
AL136232,EP55976
CJ129570,CJ129570
CW970511,CW157903
EH108495,EH269216
DR11196,CT34493
CW848225,CW318611
BY375133,EG33783
CW561659,CN51869
CP17424,CP17424
DT17411,DE4693
CW269738,CW608098
CW227488,CW390587
CY28721,EH486537
DW50291,DM36931
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
CG35865,CC75864
DB242445,DB84237
AK162859,AK162859
CE49150,CE49150
CW259451,CW407343
DL129280,DS68139
CW1063356,CW277029
BY52157,BY407452
CW71301,CW244249
EB34098,BK23792
CW527053,CW734473
CW1167151,AK88342
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
EH462808,EH462808
BN448531,BN448531
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH1107532,EH1307286
AK111837,AK111837
DD194248,EH682523
DX46458,DL259835
EG42335,EG41402
DB267570,DB267570
CW254053,CW445087
BN153899,BN232020
BN455380,BN213796
CW265302,CW579723
CW531964,CW562318
EH181963,BL50356
EH1045729,EP40896
EM44930,EM44973
BN20910,BN24403
BS11116,CW1339407
EF181642,BW58274
EH704163,AN96190
DL63721,CC32951
BN311195,BN301707
BN20910,BN65472
EH516873,EH321145
DL98305,CW79495
DA76812,EH252692
CW369263,CW454495
EH196091,EH240540
AK109695,AK109695
CW901885,CW330781
CW858219,CW224428
EH671109,DT75107
CW797584,BN285004
CC54430,AE6610
AL279828,AL243163
DE230400,DE230400
DB219506,DB219506
BH50811,EH394032
EH316721,EH257429
BN293278,CZ33909
AS67205,AS81200
CW168075,CW168075
BR195045,EA35260
CW878022,CW27432
EH161084,EH185624
ES14361,CG106828
EB69142,EN35127
DB219486,DB219486
CW1277473,CW1162478
CJ35343,BH114544
BL87589,BL381843
CW1137856,CW1339043
EH666884,BE252669
CW751538,CW128386
BN219288,DL37354
DE289371,DE126480
AS46149,EH778184
CG202206,AP88075
AA113631,BY327461
BY562922,BY562922
CW405250,EH875689
DE265680,DE265680
CW655811,CW199905
DA6565,DA7491
CW721988,CW997248
DA77290,DA77290
CW369263,CW298762
BE30483,BE30474
DL96761,DL85727
BN359645,BN247438
BN286167,BN163861
EH1224954,EF160308
CW437959,CW292769
CW229642,CW420845
CW537340,CW331967
BN74650,BN74638
CW360663,CW281673
DB196933,BY409682
EH581420,EH581420
CW947419,CW947419
BL391927,CW724104
DP12998,BR39247
BY23499,BY23498
BL498496,BL532233
DE297919,DE297919
DH55881,DH44687
CW664616,CW543412
CW342024,CW73205
BN167062,BN252934
EH917382,EH917382
CW349223,CW390766
BN159700,CN24909
DT124674,BH128026
AM22671,AW157854
AP54834,AP54834
AW69900,AW69900
BL431864,AP73195
EH996536,DE176703
BY579576,BY172134
BZ12097,BZ25978
BN361632,AC16498
EG41117,EG41117
BN331613,BN347501
EH794859,EH794859
EH1128109,EH1128109
CW409983,CW444807
CW1045068,CW833620
BN329253,AA195042
BE332339,EL80932
DB137922,BN529026
BN411471,AC2403
CG102345,CS25808
CW553247,CW1033109
EB33854,EB34573
