globalID_A,globalID_B
CW1190811,CW1113962
CW92837,CW391302
CW1017710,CW714778
DB170315,DB57197
DX39555,DL176078
CW828013,CW780067
AK157865,AK143050
BG21648,AL144183
CW61964,CW509607
DL191095,BD125673
BE351892,BE390629
BY387546,BY681527
DT29550,AX29272
CJ165257,DE238611
EL58350,EL58350
CW384161,CW235169
CW510686,CW415629
EG46284,EG24193
CW382578,CW10019
CW1146909,CW732575
CW1294945,CW894555
BY217502,BY105285
CW175376,CW418402
CW314719,CW420624
CW891398,CW287993
DB243224,DL221220
CW242513,EF198239
BL58596,AA44302
CA20527,AX29272
CW760041,CW1257386
BL258096,BH91491
CW259146,CW644541
DE177691,DL176078
DT29550,EP30087
DS95556,EH1050290
BK15083,CM12522
DB114207,DB60910
CW1096138,CW644541
CW551317,CW723856
CW74586,CW291711
AP44351,AP46568
BY497043,BY231696
CA143430,CA91926
BN471018,BN170074
CW1227289,CW1011549
BY486939,BY580602
EH816468,CC127514
AW85891,AW117307
CW105380,CW299287
CW1225794,CW1225794
BH25117,BH51180
DS67768,DS67768
AD2768,EF42181
CW1162640,CW1083292
DL175881,BE322455
CW227603,CW88585
EH508824,EH478943
DT126344,CW1044383
BK49307,EH875028
CT22101,EH660148
BE431001,BE295330
DB131692,DB81775
CW321262,CW1153348
CW580220,CW418402
CW741168,CW468652
EH169580,EH195774
EH262823,EH299875
DX39555,EP30087
EH816468,AB23808
EH729820,DA86813
CW748523,EH551191
DT17999,CT10714
AL239780,AL208631
CW455959,CW370322
EF71616,EP67581
EH81697,AS33918
EH1178862,EH334899
CJ155584,AM101525
CZ39870,DT81309
DL76263,CC121907
DE102060,DE133370
BE257161,BE219940
BD142570,AN193748
EH533615,EB3882
BN119634,BN80742
CW315884,CW275186
EH195894,CC25702
AP17727,AP14669
BL74698,EH1012181
BW43028,EP82056
CW1369426,CW54900
CT2595,BN162812
DR104461,DR6649
DX39555,DP37105
EH553694,EH385121
DT29550,EH210484
CW1145790,CW756260
CW408195,CW566973
BY209532,BY491083
DE285833,DE285833
CW751975,CW279817
CM11622,CM10542
BL379918,BL272260
AX37174,EH1050290
DE207164,AZ11400
CW725809,CW688993
CW155814,CW746828
BD19813,BB119869
