globalID_A,globalID_B
BE444695,BE444695
BY600963,BY600963
BE5104,BE67462
EN50049,AP35297
ES14492,ES14492
AB42966,AB42966
BL456896,BL456896
BN281030,BN281030
EL77050,EL77050
EN79982,CW1081688
EH1068442,EH1068442
DA10659,ER23475
EM95730,BZ47588
DE237489,EH921347
EH967385,EH967385
BN82409,DS48533
CW456741,CW456741
CW283819,CW172430
CW1028273,CW89575
ES22451,BE146692
CK8165,CK8165
EH855427,EH570671
EH894349,EH952353
EP55460,CN45217
DB243974,DB146982
CW948502,CW1332368
EH69237,EH69237
CW600923,CW542374
DL247273,DL96397
CJ58748,CJ58748
EK21153,EK21153
CW695560,CW648514
CW914508,CW398539
CW805407,EN38218
BD86541,BD86541
BY611933,BY611933
DL115591,DL115591
CM40606,CM40606
DB240524,DB240524
EH937166,EH937166
BL477212,BL477212
DL131992,DL131992
EH325076,EG26395
DD43769,DD164722
EH921057,EH921057
AL278949,DL161143
CW1033946,CW1339854
EH423740,EH423740
BL6881,BL429444
ES22186,ES22186
BL107613,BL107613
CG150073,CG150073
AN130998,AN159784
DE257450,DE257450
CG72940,CW283978
EH452842,EH452842
AL67528,AL67528
BL131728,BL419879
AM106886,AM106886
AL296039,AL296039
BR210491,BR210491
DZ24042,AA89265
CW1225794,CW1225794
BW47154,BW47154
EH352821,EH352821
BY83189,BY83189
CJ35795,BR81884
BE397609,BE397609
BE222294,BE222294
CD30937,CD30937
EH860266,EH875028
BE113840,BL419879
EH316123,BY623838
EG34927,CN51869
BR139355,AK90491
DL247273,BG59423
AL276571,BE108765
AL131417,CR8652
AN141974,AN141974
CW729669,CW1129356
AA115754,CJ42624
EH671841,BL193636
CW352294,CW150938
BL387579,BL387579
EM89315,EM89315
EG52745,EG52745
BH100978,BH65591
CJ29541,EH348706
EA32643,EA32643
AD29032,AD29032
CG64464,CG64464
BE121107,BE252992
EN50049,CA68875
EJ29735,EJ29735
EH356358,EH356358
BY507935,BY507935
BE304161,BE166976
EH648967,EH648967
EH1099500,EH1099500
DH21199,DH31038
AL239794,AL239794
DL175090,DL175090
BY285945,AA189484
CM68557,CM68557
CA114842,CA114842
DL174685,DL174685
CW497254,CW168809
EH113537,EH113537
BD156822,BD156822
CD33192,CD33192
DL213646,DL213646
EG35921,EG35921
AA178284,AA178284
CW360440,CW736428
BL4978,CH42331
DR34732,DR102511
CW812501,CW773102
CW451539,CW451539
CW438679,CW145293
CA137601,CA137601
EF185420,EF185420
AL170754,AL170754
CW106990,CW345670
DH61978,DH61978
AA110751,AA88208
CW756239,CW1060175
EH24952,EH24952
BY558281,BY252522
DL204454,DL204454
EH145984,EH145984
CW74104,CW263348
CW813325,CW813325
DE302637,EH579447
EB67246,EB67246
BN188697,DB18486
BE453464,BE453464
EN37930,CW648514
CW1163575,CW1332368
DL118854,DL118854
EH1045896,EH408660
EH125088,EH125088
DE297258,DE297258
EH1117838,EH1117838
CA55647,CA55647
EH668521,EH668521
EH1133370,EH1133370
BN488799,BN488799
CW356638,CW356638
EH813028,EH813028
EH364777,EH440692
CG74349,CG74349
CW227488,CW704527
BD8052,BD8052
DB291593,DB291593
BL26052,BL26052
EH245397,EH245397
EH421842,EH421842
DE324337,DE324337
CW222051,CW416149
CA95928,CA95928
BY177490,BY178686
EF88192,EF88192
CW1095097,EH921057
BN354347,AN126323
CW453088,CW453088
BR230860,BR230860
CA105849,CA105849
BN303738,BN75017
EH758784,EH314955
BZ40570,EH652263
EF187943,EF187943
EH676960,DA42039
CW298463,CW372599
EP28157,EP28157
CA114719,CA114719
DK33994,EH518932
BN339394,BN117531
CG17952,CG17952
EH655298,EH655298
EG29640,EG29640
BN131720,BN291074
CB28532,CB28532
EM86681,EM86681
EH423287,EH546705
CJ177013,CJ177013
CW291800,CW291800
BL464439,BL464439
CW1071806,DA42039
EH1271647,EH1271647
CW504833,CW933820
BD8052,BD6237
BE116703,BE175797
CW447509,CW447509
CW296756,CW253271
CW395908,CW395908
BR31687,CC14078
CN54259,CN54259
EH705412,EH705412
BR44186,BR173650
BY604576,DB239749
CT21819,BL109811
CW883235,CG79441
BE90143,BE405255
EH400012,EH400012
CW475722,CW577081
CW1012233,ER27056
EB52992,EB18403
BG31785,BG31785
AS59250,AA68621
AP98643,AP98643
AG40814,BK26947
CW1028816,CW938187
BY568493,BY568493
CW336917,DH17838
BP66578,EH1033900
CW302157,CW302157
BN81746,BN118042
EN50049,BL500024
CS30809,CS30809
EP61471,EP61471
EH435692,EH435692
AL187433,AL187433
CW465173,CW465173
CE52766,CE52766
EH306814,AA64396
EH70727,DS36897
CW533018,CW533018
BY466363,BY466363
DE214665,DE214665
AL304027,AL304027
CS14071,CS14071
EH321769,EH321769
DB292801,DB292801
CJ139737,CJ139737
DA20658,DA20658
CW1131214,CW1131214
CW490178,CW490178
BY390598,DE198193
DA114000,DA114000
BN373756,BN373756
CS31545,CS31545
DE135342,DE98821
BL497593,BL497593
BY466363,BL452978
CN83136,CN83136
EH488433,EH488433
EH999116,EH999116
EH1004435,EH1004435
BR144748,BR166075
DE284951,DE284951
BL500024,BL500024
BY501977,BY133717
BL433296,BL433296
AN121074,DT103872
BY634619,BY634619
