globalID_A,globalID_B
EH671900,EH671900
DB197738,DB197738
EH1114694,EH1114694
DH54491,DH54491
DL239263,DL239263
BY391274,BY391274
BD110340,BD110340
CW115096,CW115096
CW166875,CW67638
BE203906,BE203906
EH225229,EH225229
CW951794,CW951794
CW398225,CW1072020
DL139784,CW689956
BP57458,BP57458
DB189161,DB189161
DN125961,DN125961
EH858591,EH858591
AG27410,DL181412
DY39772,DY39772
DE253893,DE253893
BN411607,BN411607
BN352599,BN365488
BL317389,BL317389
EL77925,EL77925
BR184777,BR184777
EH1184947,EH1184947
EG45334,EG45334
CW438979,CW438979
DR104607,DR104607
EH1163956,EH1163956
AL157702,AL157702
DE265301,DE265301
AW88567,AW72893
AA141790,AA141790
EM105331,EM105331
EH318389,EH278746
CW712235,DD5520
DB58976,DB58976
BY618999,BY621498
EA37307,EA37307
DN128315,DN137629
BN412395,BN412395
AM81947,AW137259
BL350900,BL350900
BN396607,BN396607
DL38872,AW82801
EP64692,EP64692
DR99090,DR99090
BY525196,BY525196
EH370781,EH162441
DE291968,DE291968
BY334470,AA73801
CB57831,CB57831
CW134345,CW33317
EM82035,EM82035
EH1063990,EH1063990
AX71328,AX71328
AA182254,AA182254
CW857181,CW857181
DA90050,DA90050
ED49312,ED49312
BE240115,BY394470
DA74365,DA74365
BW43507,BW43507
BK38623,BK38623
EH791723,EH791723
CC110760,CC110760
EM102257,EM102257
CA71093,CA71093
DR67808,DR30591
EH476437,EH476437
DL143243,DL143243
AN150432,AN150432
AN22705,AN47458
CW1106605,CW447947
BN423092,BN423092
BY649680,BY649680
CW1246873,CW1246873
AL146441,AL71839
BL40601,BL346905
AP72598,BR72525
AL227967,AL227967
EH739613,EM94966
CR9226,CR9226
BL309781,BL309781
BY569278,BY569278
EH926835,EH926835
BR9588,CA2794
DB243572,DB243572
EP64857,EP64857
AF20036,EP53411
CW421938,CW421938
DT129167,DT129167
BN85624,BN81616
EH85779,EH291876
CW208185,CW60701
EK18485,EK18485
EH794859,EH794859
AL71896,AL71896
DD112916,DD112916
BL217511,DE218898
CW693174,CW693174
BR158069,BR158069
CW420334,CW1037319
BD106380,DB172340
CW532546,CW532546
EH1080795,EH1080795
CW39782,CW140443
EH889319,EH889319
DW9688,DW9710
EH1166823,EH1166823
DB271977,DB271977
CJ145921,CJ145921
CW495502,CW495502
BE184309,BE89993
EH207913,EH207913
BR82335,CW515155
BN50818,BN45789
ED45623,ED45623
EP64692,EC12573
CW715368,CW551648
DH55881,DH55881
EH808961,EH808961
EH571916,EH571916
BY491161,EH233961
AH17544,AH17544
EH1271832,EH1271832
EP64692,EH779676
DL200547,DL200547
BK33492,BK16568
DB253775,DB253775
BN318563,BN318563
AK115506,AK115506
EP37877,EP37877
DL222944,DL222944
DH47424,DH47424
EG29710,BR134095
AT8781,AT8781
DN101672,DN101672
BY25172,BY25154
AS65880,AS65880
EH49676,CW482698
CL57468,CL57468
DE248156,DE248156
BE258370,BE258370
CW821067,CW1273797
BY423980,BY178257
BY562247,BY562247
BA8961,AF15583
BH154496,BH60758
BL217511,BL219397
CF7106,CF7106
CW650411,CW341890
CG108986,CG108986
CX15150,CX15150
DB29277,DB328103
BY7614,BY17688
EH786937,EH786937
EH885573,EH885573
CW702792,CW702792
EH93626,EH172987
CW329183,CW329183
CW72115,CW90600
BL416290,BL416290
CJ144265,CJ144265
EH577003,EH912781
CC131545,CC131545
BL494376,BL494376
EH650181,EH650181
CW179839,CW472886
BH25016,BN133375
BR177459,BR177459
BL228699,EH278746
CW695560,CW357266
CW1212388,CW1254032
DD194248,CG148754
BH92152,BH92152
CC32997,CC32997
CZ80861,CZ80861
AL284174,AD31540
CW977505,CW977505
BN51351,BN11965
BN378040,BN378040
CW180664,CW102052
BL276088,EH1264834
EH810121,DN116516
DR26079,DR26079
AA72269,AA9346
EH1215474,EH810121
AL260850,AL260850
CW61819,CW132290
BN271951,BN214565
CE41984,CE41984
BN408113,BN545340
EL73899,EL73899
CW991179,CW991179
EH1195024,EH1195024
EH1086177,EH1086177
AN133839,CN13689
EH1209154,DE238611
CW710186,CW643626
AL129624,AL166015
EH591950,EH591950
BN422941,BN74134
DL216237,DN116516
CW777206,CW777206
CW399789,CW358778
CW443518,CW443518
DD159653,DD159653
AE34120,AE34120
BW30394,BW30394
DE306780,DE306780
DM24102,DM24102
BJ31483,AA61606
EH903175,EH903175
DE322013,DE322013
CJ76873,CJ10450
AN197553,CB49899
EH1094052,EH1094052
BE398417,BE398417
AA94005,AA94005
BE302585,BE143057
EH952732,EH952732
EH1057900,EH1057900
EH1127031,EH1127031
DN38379,EP7339
CW1179246,CW1179246
EH10475,BE105059
DB281713,DB281713
CR21527,CR21527
EH704095,EH704095
CG186055,CG186055
CW755148,CW1316486
BY439514,BY21091
BE89968,AL190772
EH815527,EH815527
EH359007,EH233961
BN271951,BN271951
DE270119,DE270119
CX20257,CX20257
DL264909,DL264909
CY30005,CY30005
EH629819,EH629819
EP98871,EP98871
BN323070,BN290448
EH1217338,EH1217338
EH514673,EH514673
CW179839,CW423127
EH262823,EH520716
EH543061,EH543061
CW576729,CN65659
BG36050,BR134095
DB112291,DB188633
DR141715,DR141715
EH921127,EH921127
AG47761,AG47761
CW1061300,CW792957
EH304588,EF161519
BL336725,BL336725
CW695560,AF15583
CW691660,CW691660
CW761917,CW1148004
DK43603,DK43603
CW727242,CW96856
BJ31483,CB23662
CW46083,CW912574
DD98296,DD98296
EH872141,EH872141
CW446392,CW614843
CW499678,CW271528
EH304588,EL18149
DL56463,DK20408
DE279102,DE279102
CG167988,CG167988
AL289073,AL289073
DE293374,DE293374
BL405978,BL405978
BY344284,BY417024
DZ70589,DZ70589
CG151643,CG151643
EM101693,EM101693
AL273773,AL273773
BL64952,BL64955
EH238266,EG17880
DL216237,DL216237
AD30399,AD30399
CW60757,CW60757
DD70885,DD70885
DN22135,EP53411
AS11784,AS11784
AL147557,AL147557
DE317590,DE317590
EH211812,EH278746
EH1003422,EH1003422
AP86891,AP86891
BY671654,BY671654
BA8961,AL222925
CN94502,CN94502
BD114402,BD114402
DE253025,DE253025
CW75010,CW75010
EH189673,EH378132
CW481241,CW771104
BE310844,BE82296
DD138856,DD138856
EH970257,EH970257
CA98609,CA98609
BL457457,BL457457
DL219612,DL219612
BW59801,BW59801
BL160943,BL160943
EH1120003,EH1120003
CW420797,CW221120
CJ198795,CJ198795
BE267874,BE267874
BN134012,BL78335
AW13932,AW19115
AA166454,AA166454
DB297999,DB297999
CW1242207,CW981685
EH795080,EH795080
BY81998,BY78292
BN70472,BN212109
CW384161,CW1279028
BN234544,BN234544
EF150832,EF150832
BJ37484,BJ37484
CW645781,CW645781
EP99320,BL340756
BN352282,BN352282
CW813298,CW813298
EH737310,EH737310
EL81241,EL81241
EH932059,EH932059
DE260654,DE260654
AL14750,AY8550
EH918613,BY360744
CW230817,CW230817
CG177873,CG177873
AA136081,CG148754
DT112397,DT112397
CW975634,CW975634
BP25787,CW399847
BY616246,BY616246
BW17356,BW2759
BY32371,BY121186
DW67552,DW67552
AK97982,AK97982
EH244381,EH244381
CW267378,CW1072772
AN80154,AN80154
BR82335,DE115161
BL522471,BL522471
DD161928,DD161928
EN71931,DR87367
EH610396,EH296568
EH605579,EH605579
BH156139,BH156139
EP39482,AM5222
BL445493,BL445493
CJ56520,CJ56520
CW936623,CW936623
AA189346,AA189346
EH615765,EH615765
CW355331,CW757371
