globalID_A,globalID_B
BE5104,BE67462
EN50049,AP35297
ES14492,ES14492
AB42966,AB42966
BL456896,BL456896
BL144577,BL144577
EN79982,CW1081688
EH1068442,EH1068442
BN497196,DY19772
DA10659,ER23475
EM95730,BZ47588
DE237489,EH921347
EH967385,EH967385
BC49985,BC49985
BN82409,DS48533
CW456741,CW456741
CW283819,CW172430
CW1028273,CW89575
ES22451,BE146692
CK8165,CK8165
CM62265,CM62265
EH855427,EH570671
CW695560,DB185795
EP55460,CN45217
EH667783,EH667783
DB243974,DB146982
CN70795,CJ211733
CW600923,CW542374
DL247273,DL96397
CJ58748,CJ58748
BE467790,BE109314
EH1271778,EH1271778
EK21153,EK21153
CW695560,CW648514
CW914508,CW398539
CW805407,EN38218
BD86541,BD86541
CM40606,CM40606
BL477212,BL477212
AJ5554,CZ32993
DL131992,DL131992
DD43769,DD164722
EH921057,EH921057
AL278949,DL161143
CW1033946,CW1339854
ES22186,ES22186
BL107613,BL107613
CG150073,CG150073
AN130998,AN159784
DE257450,DE257450
CG72940,CW283978
AL67528,AL67528
DN61242,BB37790
BL131728,BL419879
EH752912,EH752912
AL296039,AL296039
BR210491,BR210491
EH921347,BY559869
AL279715,AL52891
EH352821,EH352821
BE397609,BE397609
CD30937,CD30937
EH860266,EH875028
BE113840,BL419879
EG34927,CN51869
CW949296,CW949296
DL247273,BG59423
AL131417,CR8652
AN141974,AN141974
CW608075,CW880441
CW729669,CW1129356
AA115754,CJ42624
AK113640,AK113640
EH671841,BL193636
EM63626,EH693984
BL387579,BL387579
EM89315,EM89315
EG52745,EG52745
CG13459,CZ11762
BH100978,BH65591
CW1232556,CW1254045
CJ29541,EH348706
AD29032,AD29032
CG64464,CG64464
BE121107,BE252992
EN50049,CA68875
EJ29735,EJ29735
EH356358,EH356358
BY507935,BY507935
BE304161,BE166976
EH648967,EH648967
DA94742,AM84648
EH1099500,EH1099500
DK9919,DK9919
AS22761,AS22761
DH21199,DH31038
BL167428,BL42648
AL239794,AL239794
DL175090,DL175090
CM68557,CM68557
CW401010,CW342378
DL174685,DL174685
CW497254,CW168809
EB44964,DM30323
EH113537,EH113537
DL213646,DL213646
EG35921,EG35921
AA178284,AA178284
CW360440,CW736428
CG126977,CG126977
DR34732,DR102511
CW812501,CW773102
EH405015,EH196480
EH618477,EH618477
EH20019,EH11353
CW438679,CW145293
EF185420,EF185420
AL170754,AL170754
CW106990,CW345670
AA110751,AA88208
EH443588,EH443588
CW756239,CW1060175
EN35506,EN35506
BY558281,BY252522
DL204454,DL204454
CW74104,CW263348
CW813325,CW813325
DE302637,EH579447
CG57508,CG57508
CW693242,CW475846
BE453464,BE453464
EH262232,CW191788
BY340363,BY340363
DE287255,DE287255
CW1163575,CW1332368
EH1045896,EH408660
BL6881,BL83494
EN37930,DB185795
BN488799,BN488799
CW356638,CW356638
EH364777,EH440692
CW806102,CW806102
BR108947,BR108947
DL269993,DL269993
CW227488,CW704527
BD8052,BD8052
DB291593,DB291593
BL26052,BL26052
EH245397,EH245397
EH421842,EH421842
DE324337,DE324337
CW222051,CW416149
EH797014,AZ10483
CA95928,CA95928
BJ11304,CN45217
EF88192,EF88192
CW1095097,EH921057
CW342811,CW342811
CA105849,CA105849
CW246649,DD78331
BN303738,BN75017
EH758784,EH314955
EF187943,EF187943
EH676960,DA42039
CW298463,CW372599
EP28157,EP28157
BY323467,BL193636
DE183133,CR9129
CG17952,CG17952
EH1047172,EH703059
EG29640,EG29640
CB28532,CB28532
EH237263,AK160397
AP69882,AP69882
CW291800,CW291800
CW1071806,DA42039
EH1271647,EH1271647
BD8052,BD6237
BE116703,BE175797
CW296756,CW253271
BR31687,CC14078
EH705412,EH705412
BY652012,BY652012
BR44186,BR173650
EP27477,EP27477
CT21819,BL109811
CW883235,CG79441
CW924778,CW924778
BE90143,BE405255
EH400012,EH400012
CG22291,DL96397
EB52992,EB18403
BG31785,BG31785
AN104461,AN104461
AP98643,AP98643
AG40814,BK26947
CW1028816,CW938187
BY568493,BY568493
BD62356,BD62356
CW336917,DH17838
BN81746,BN118042
EN50049,BL500024
CS30809,CS30809
EP61471,EP61471
AL187433,AL187433
CW465173,CW465173
EH306814,AA64396
CW533018,CW533018
BY466363,BY466363
DE214665,DE214665
AL304027,AL304027
BL245472,BL245472
EH321769,EH321769
DB292801,DB292801
BC68885,BC68885
DA20658,DA20658
BY390598,DE198193
DA114000,DA114000
DT79339,EH558682
BY466363,BL452978
EF201731,EF201731
CN83136,CN83136
EH999116,EH999116
BR144748,BR166075
DE284951,DE284951
BL500024,BL500024
BY501977,BY133717
BL433296,BL433296
AN121074,DT103872
BY634619,BY634619
CW629473,CW629473
EH414043,EH414043
BN294245,CW80724
BL134970,BL262500
CW1012817,CW1012817
EF149280,EF149280
EH1308524,EH1308524
BE379943,BE379943
BN40261,BN40325
DE109998,DE109998
DS71919,DS71919
CK11801,CK11801
CA112350,CA112350
BL140171,BL140171
EH24283,EH653805
CW785442,CW124040
CA94442,CA94442
DX67530,DX67530
BL511298,DE106699
DD81121,DD75745
BL131245,BB119008
CW1002224,CW1002224
AN168787,AN168787
EH981773,EH1027897
AL41868,BC11367
EH142927,EH142927
CW234188,CW397495
CB32498,CB32498
EH1271607,EH1271607
CW1155451,CW1155451
CJ120608,BL406406
CW971162,CW817996
EH222112,EH222112
CA64420,CA55567
DB266396,DB272652
BK14936,BK14936
BW53620,BY167329
EH511114,EH1272959
EH431338,EH431338
BZ56408,BZ56408
EM134358,DE36320
DC11486,DC11486
CG79219,DB205234
BA18420,BA18420
CW1076572,CW1076572
EM96356,EM96356
BL471323,BL471323
BE40439,BE16559
CA54702,BN187244
EH797014,EH797014
EH1066928,EH1066928
DE243057,DE243057
CW990501,CW1348963
BP66720,BP66720
CE38929,CE38929
EH408354,EH408354
EH306814,BH136636
CY27013,CY27013
CW645488,CW674033
EL100136,EL100136
EG60865,EG60865
BY342882,BY342882
EH476004,EH476004
EH279967,DL88524
BY232202,BY264291
CW1047003,CW143767
CW1033457,CW950047
EH323668,EH295676
DA95226,AD26728
CW343398,CW1319974
CN70795,BG59423
BN365179,DB18455
CW591702,CW721741
AH22472,AH22472
CW793719,CW545190
BK43885,DX10871
CG160762,AZ10483
BE357581,BE357581
EH1022016,EH1022016
CH34301,CG2759
CW147251,CW143767
DR94238,DR94238
ES22451,EH345667
EH881605,EH551191
EH1230919,EH775932
AL159151,AL159151
DE310018,DE310018
AL350921,AL350921
CW459482,CW459482
DE228744,DE191604
BE400307,BE400307
CW586153,CW586153
EN37930,EN37930
EF154436,DZ20265
CW247570,CW143371
CW805407,BR81884
BL140219,BL140219
AN121074,CG79441
EH198429,EH198429
AG40521,AG40521
EH1318623,EH1318623
EH489542,EH489542
CW1034226,CW1020904
BL402723,BL402723
DD114963,DD74071
DE304929,DE284419
DS67768,DS67768
