globalID_A,globalID_B
CW383914,CW245310
CN78299,DE72784
AM91695,DL243020
DS76846,BM46494
CG127928,CG127928
DL175900,BE471205
BL385304,DE216991
CW144274,CW451160
CW586666,CW586666
EH482799,BN209343
AP81205,AP81205
CW441887,CW272129
DB235141,DB235141
DK25098,BL134193
CW801655,CW350489
CW449954,CW222695
DE275792,AX55080
CW901893,EH979988
CW147748,CW296022
BY375988,BY416270
CW29513,CW113526
EH940689,EH285464
AL200024,AL200024
DB202412,DB65351
CW970511,CW157903
EH108495,EH269216
CW848225,CW318611
BY375133,EG33783
CP17424,CP17424
BR145395,CT41413
CM53974,AP52403
CW269738,CW608098
BL413358,BL525965
CW227488,CW390587
CY28721,EH486537
DW50291,DM36931
ED20328,EL87708
CW925747,CW925747
BL366436,BL366436
CW61819,CW407436
BE341001,AL126524
DL228620,DL228620
CW111175,CW78391
BY512335,BY489703
AN199694,EF121475
CG35865,CC75864
DB242445,DB84237
AK162859,AK162859
DN3707,AP22210
CE49150,CE49150
CW259451,CW407343
CW1063356,CW277029
CW948204,CW948204
BY52157,BY407452
CW71301,CW244249
CW527053,CW734473
CN101800,CN93741
EH988415,EH1268667
CW111989,CW210287
AA95406,AA95406
EH462808,EH462808
BG41037,BG41037
BN448531,BN448531
CA50488,AH7788
CN55086,CN55086
EH481271,EH438758
DA100642,DA100642
BN136018,BN337069
EM74101,EM74101
BW46209,BW46209
CW1252681,CW581381
EF109599,EF109599
CW238574,CW533426
AS48497,BD66493
EA35184,EA35014
EH1066260,EH1066260
AK111837,AK111837
DX46458,DL259835
EG42335,EG41402
EH314684,DE259725
BY77400,BY77393
CW931050,CW931050
DB267570,DB267570
CW254053,CW445087
BN153899,BN232020
BN455380,BN213796
CW265302,CW579723
CW597632,CW673317
CW531964,CW562318
CW181152,CW347617
BW55753,DS68139
BE43631,BE64611
EH1045729,EP40896
EM44930,EM44973
CZ84464,CZ84464
BN20910,BN24403
BS11116,CW1339407
EF181642,BW58274
CN82791,CJ81761
EH704163,AN96190
DL63721,CC32951
BN311195,BN301707
BN20910,BN65472
EH516873,EH321145
DL98305,CW79495
