globalID_A,globalID_B
BY600963,BY600963
BE5104,BE67462
BL456896,BL456896
EL77050,EL77050
BN497196,DY19772
DA10659,ER23475
EM95730,BZ47588
DE237489,EH921347
CH51131,CH51131
EH967385,EH967385
BC49985,BC49985
BN82409,DS48533
BN354347,CC116240
CW456741,CW456741
CW283819,CW172430
CW1028273,CW89575
ES22451,BE146692
CK8165,CK8165
EH855427,EH570671
CC135021,EH942335
EH667783,EH667783
DB243974,DB146982
CW948502,CW1332368
CJ143698,CJ143698
CW600923,CW542374
DL247273,DL96397
CJ58748,CJ58748
EK21153,EK21153
CW590414,CW590414
CW695560,CW648514
CW914508,CW398539
CW805407,EN38218
BD86541,BD86541
DB187393,DB204926
DL131992,DL131992
DD43769,DD164722
AL83915,BE168408
EH921057,EH921057
AL278949,DL161143
BL121386,BL143636
CW1033946,CW1339854
EH969781,EH1301564
BL6881,BL429444
ES22186,ES22186
AN130998,AN159784
DE257450,DE257450
DN61242,BB37790
BL131728,BL419879
EH752912,EH752912
EH707883,CW265544
EH632392,EH632392
EH921347,BY559869
AL279715,AL52891
DZ24042,AA89265
CW1225794,CW1225794
EH352821,EH352821
CJ35795,BR81884
BE397609,BE397609
CD30937,CD30937
EH860266,EH875028
BE113840,BL419879
EG34927,CN51869
CW914888,CJ210512
AL131417,CR8652
AN141974,AN141974
CW729669,CW1129356
AA115754,CJ42624
BL448564,BL448564
CW352294,CW150938
EM63626,EH693984
EM89315,EM89315
BY717472,BY717472
EG52745,EG52745
BH100978,BH65591
CJ29541,EH348706
AD29032,AD29032
CG64464,CG64464
BE121107,BE252992
EN50049,CA68875
EJ29735,EJ29735
EH356358,EH356358
BE304161,BE166976
EH1099500,EH1099500
DK9919,DK9919
DH21199,DH31038
DL175090,DL175090
CM68557,CM68557
DL174685,DL174685
CW497254,CW168809
CJ52011,CJ69443
DL213646,DL213646
EG35921,EG35921
AA178284,AA178284
CW360440,CW736428
DR34732,DR102511
CW812501,CW773102
EH405015,EH196480
CW451539,CW451539
CW438679,CW145293
EF185420,EF185420
AL170754,AL170754
CW106990,CW345670
AA110751,AA88208
EH443588,EH443588
CW756239,CW1060175
AK41822,AK41822
BY558281,BY252522
EH145984,EH145984
CW74104,CW263348
BE453464,BE453464
CW475837,CW475837
CW1163575,CW1332368
EH1045896,EH408660
DE297258,DE297258
BE431494,CA64420
CW538664,CW862674
BL6881,BL83494
BN488799,BN488799
BN303738,EH215313
EH813028,EH813028
EH364777,EH440692
CG74349,CG74349
CW806102,CW806102
CW227488,CW704527
BD8052,BD8052
BL26052,BL26052
EH245397,EH245397
EH421842,EH421842
DE324337,DE324337
CW222051,CW416149
EH797014,AZ10483
CA95928,CA95928
DE263381,DE199626
EF88192,EF88192
CE47697,CE47697
CW1095097,EH921057
BN354347,AN126323
CW453088,CW453088
BR230860,BR230860
BN303738,BN75017
EH758784,EH314955
BZ40570,EH652263
EF187943,EF187943
CW298463,CW372599
EP28157,EP28157
BN339394,BN117531
CG17952,CG17952
EH655298,EH655298
CB28532,CB28532
EM86681,EM86681
EH237263,AK160397
EH293796,DN96621
CW291800,CW291800
CW504833,CW933820
BD8052,BD6237
BE116703,BE175797
CW447509,CW447509
CW296756,CW253271
CW395908,CW395908
BR31687,CC14078
EH705412,EH705412
AZ8036,AZ8036
BR44186,BR173650
CT21819,BL109811
CW883235,CG79441
EH400012,EH400012
EF103084,EF106325
EB52992,EB18403
BG31785,BG31785
AG40814,BK26947
BD62356,BD62356
CW336917,DH17838
BN81746,BN118042
EL91597,EL91597
CS30809,CS30809
EP61471,EP61471
AL187433,AL187433
CW465173,CW465173
CE52766,CE52766
EH306814,AA64396
BY466363,BY466363
DE214665,DE214665
