globalID_A,globalID_B
CW1190811,CW1113962
EH224341,EH224045
CW250992,CW648511
CW92837,CW391302
CW1017710,CW714778
CW828013,CW780067
EH153773,DL145851
AK56962,CW477095
CW860169,DB324326
CW61964,CW509607
BE351892,BE390629
BY387546,BY681527
DT29550,AX29272
CW384161,CW235169
CW510686,CW415629
EG46284,EG24193
CW382578,CW10019
CW1146909,CW732575
CW1294945,CW894555
BY217502,BY105285
CW175376,CW418402
CW857377,CW655059
CW314719,CW420624
CW891398,CW287993
DB243224,DL221220
CW242513,EF198239
BL58596,AA44302
BH77320,CW277849
CA20527,AX29272
CL21874,DS51909
CW760041,CW1257386
BL258096,BH91491
CW259146,CW644541
AL279828,CW1337673
DE177691,DL176078
DT29550,EP30087
AL265252,BX18827
DT29550,BM26019
BK15083,CM12522
DB114207,DB60910
DL191095,CN65484
CW1096138,CW644541
CW551317,CW723856
AP44351,AP46568
BY497043,BY231696
EH965276,BN265347
CC92685,CC19159
CA143430,CA91926
BN471018,BN170074
CW1227289,CW1011549
BY486939,BY580602
EH816468,CC127514
AW85891,AW117307
CW105380,CW299287
BY264104,CL11121
CW1225794,CW1225794
EH129857,EH494970
BH25117,BH51180
DS67768,DS67768
CW1162640,CW1083292
CW227603,CW88585
EH508824,EH478943
DT126344,CW1044383
EH816468,CL31416
BE431001,BE295330
CC71424,CC145991
AL83915,BJ28997
DB131692,DB81775
CW321262,CW1153348
CW741168,CW468652
EH169580,EH195774
EH262823,EH299875
DX39555,EP30087
EH816468,AB23808
EH503301,AG20450
CW92837,CW1251896
EH729820,DA86813
DT17999,CT10714
CW1001218,CW241742
AL239780,AL208631
CW455959,CW370322
EF71616,EP67581
EH81697,AS33918
BN5359,BN72144
EH1009066,EH1009066
EH1178862,EH334899
CZ39870,DT81309
DL76263,CC121907
CG42681,DL122691
DE102060,DE133370
CW806196,BY525704
EH533615,EB3882
BN119634,BN80742
AT23743,BY738238
CW300850,CW460828
BL131579,BL61070
BW43028,EP82056
CW1369426,CW54900
CT2595,BN162812
DR104461,DR6649
DX39555,DP37105
EH553694,EH385121
AM34122,AM27993
CW408195,CW566973
DE285833,DE285833
CW751975,CW279817
CM11622,CM10542
BL379918,BL272260
